unit_key,unit_type,layer,year,C3_proxy_n1l_over_standard,bt_users,n_ambiti,evidence,numerator,denominator,source_id
Abruzzo,region,3,2024,0.5586,885991,4,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Basilicata,region,3,2024,0.375855,351677,3,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Calabria,region,3,2024,0.653935,1243160,3,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Campania,region,3,2024,0.64432,2855200,3,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Emilia-Romagna,region,3,2024,0.286229,2893437,8,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Friuli-Venezia Giulia,region,3,2024,0.272445,792965,5,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Lazio,region,3,2024,0.395827,3479428,6,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Liguria,region,3,2024,0.347309,1290163,5,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Lombardia,region,3,2024,0.297256,6028330,12,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Marche,region,3,2024,0.342285,936220,5,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Molise,region,3,2024,0.461669,208337,2,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Piemonte,region,3,2024,0.344009,2882096,5,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Puglia,region,3,2024,0.613284,2449719,4,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Sardegna,region,3,2024,0.686668,1091024,3,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Sicilia,region,3,2024,0.813661,2945835,3,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Toscana,region,3,2024,0.36371,2443503,3,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Trentino-Alto Adige,region,3,2024,0.118355,585384,6,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Umbria,region,3,2024,0.356467,541945,5,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Valle d'Aosta,region,3,2024,0.184427,130162,2,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
Veneto,region,3,2024,0.323064,2960997,4,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
IT,national,3,2024,0.435987,36995573,91,PROXY — not a measurement,"N1L, unplanned long+short per BT user, ARERA 2024","TIQE del. 617/2023 all. A art. 32 class maximum (alta 6, media 9, bassa 10)",ARERA-TIQE-2024 / TIQE-617-2023-ART32
