country,substation_id,action,destination,reason
australia,AU_104114,remove,,unexplained: 5.4 km outside own territory
australia,AU_105286,remove,,unexplained: 5.5 km outside own territory
austria,AT_105_028,reassign,hungary,new to hungary
austria,AT_205_018,reassign,slovenia,new to slovenia
austria,AT_608_009,reassign,slovenia,new to slovenia
austria,AT_706_036,reassign,italy,new to italy
austria,AT_v43_960a7c09b0e9,remove,germany,duplicate of germany 11000174397 at 0.03 m
austria,AT_v43_c8897384054b,remove,germany,duplicate of germany 11000149026 at 0.05 m
austria,AT_v43_dc9f35e91fd9,remove,germany,duplicate of germany 11000142516 at 0.04 m
belgium,BE_v43_293f4775b12a,remove,france,duplicate of france 1000036777 at 0.06 m
belgium,BE_v43_3b5c97413d12,remove,france,duplicate of france 1000036778 at 0.01 m
belgium,BE_v43_795f1a90a73f,reassign,netherlands,new to netherlands
belgium,BE_v43_8a1d39af693c,remove,germany,duplicate of germany 11000032144 at 0.02 m
canada,CA_1050146661,remove,us,duplicate of us 120000007916 at 0.35 m
canada,CA_1145216139,remove,us,duplicate of us 120000008437 at 0.53 m
canada,CA_1167388565,remove,us,duplicate of us 120000048089 at 0.25 m
canada,CA_1167765971,remove,us,duplicate of us 120000048099 at 0.60 m
canada,CA_1324337282,remove,us,duplicate of us 120000100015 at 0.31 m
canada,CA_1443830852,remove,us,duplicate of us 120000011065 at 0.53 m
canada,CA_1485090096,remove,us,duplicate of us 120000053467 at 0.36 m
canada,CA_163865779,remove,us,duplicate of us 120000036745 at 0.55 m
canada,CA_178196881,remove,us,duplicate of us 120000003198 at 0.67 m
canada,CA_178197181,remove,us,duplicate of us 120000003199 at 0.18 m
canada,CA_682313157,remove,us,duplicate of us 120000006071 at 0.44 m
canada,CA_79293030,remove,us,duplicate of us 120000001227 at 0.10 m
canada,CA_866146997,remove,us,duplicate of us 120000045108 at 0.48 m
canada,CA_894055791,reassign,us,new to us
chile,CL_101088,remove,PE,containing state PE has no fleet in this cohort
france,1000000064,remove,belgium,duplicate of belgium BE_v43_97faac3cbea6 at 0.04 m
france,1000001274,remove,belgium,duplicate of belgium BE_v43_5728da448c49 at 0.05 m
france,1000006592,remove,belgium,duplicate of belgium BE_v43_3f6d06186c21 at 0.02 m
france,1000006593,remove,belgium,duplicate of belgium BE_v43_57d5a3590d31 at 0.05 m
france,1000006594,remove,belgium,duplicate of belgium BE_v43_c9968870c01d at 0.05 m
france,1000010712,remove,belgium,duplicate of belgium BE_13270000201 at 0.04 m
france,1000016957,remove,belgium,duplicate of belgium BE_93212889 at 15.28 m
france,1000019406,reassign,belgium,new to belgium
france,1000022777,remove,belgium,duplicate of belgium BE_135529273 at 7.50 m
france,1000025366,remove,belgium,duplicate of belgium BE_v43_0fffbf1a3eac at 0.06 m
france,1000028702,reassign,belgium,new to belgium
france,1000029060,remove,belgium,duplicate of belgium BE_v43_b531c7c6c467 at 0.02 m
france,1000030709,remove,belgium,duplicate of belgium BE_v43_842b825353cd at 0.05 m
france,1000030864,remove,belgium,duplicate of belgium BE_v43_fd34ac5d22c8 at 0.03 m
france,1000031046,remove,belgium,duplicate of belgium BE_v43_8e7f958208fe at 0.03 m
france,1000031988,remove,belgium,duplicate of belgium BE_v43_43aa17321d26 at 0.02 m
france,1000031995,remove,belgium,duplicate of belgium BE_v43_b832d29ff064 at 0.03 m
france,1000032011,remove,belgium,duplicate of belgium BE_v43_8daba0a3bbad at 0.01 m
france,1000032045,remove,belgium,duplicate of belgium BE_v43_e736402d60d4 at 0.05 m
france,1000032046,remove,belgium,duplicate of belgium BE_v43_865a09b489d1 at 0.03 m
france,1000032047,remove,belgium,duplicate of belgium BE_v43_279efe712380 at 0.07 m
france,1000032064,remove,belgium,duplicate of belgium BE_v43_68a2562f99c5 at 0.04 m
france,1000032068,remove,belgium,duplicate of belgium BE_v43_5eff2ce74533 at 0.05 m
france,1000032069,remove,belgium,duplicate of belgium BE_v43_ed2d0b0d41a7 at 0.03 m
france,1000032176,remove,belgium,duplicate of belgium BE_v43_c81cac8d4c5e at 0.04 m
france,1000032352,remove,belgium,duplicate of belgium BE_v43_20498e7ac1c8 at 0.02 m
france,1000032353,remove,belgium,duplicate of belgium BE_v43_f208d6f190d4 at 0.01 m
france,1000032641,remove,belgium,duplicate of belgium BE_v43_1ebe6120b6f8 at 0.04 m
france,1000032794,remove,belgium,duplicate of belgium BE_v43_9e1897af69dd at 0.06 m
france,1000032795,remove,belgium,duplicate of belgium BE_v43_68f419da2c0e at 0.03 m
france,1000033417,remove,belgium,duplicate of belgium BE_v43_ba422bcea109 at 0.01 m
france,1000033419,remove,belgium,duplicate of belgium BE_v43_cd674381bfe5 at 0.02 m
france,1000033612,remove,belgium,duplicate of belgium BE_427644436 at 6.61 m
france,1000033854,remove,belgium,duplicate of belgium BE_v43_920ab2fef51b at 0.06 m
france,1000033855,remove,belgium,duplicate of belgium BE_v43_e949ca94688e at 0.05 m
france,1000033856,remove,belgium,duplicate of belgium BE_v43_4c44a62df608 at 0.02 m
france,1000033857,remove,belgium,duplicate of belgium BE_v43_44d47db63455 at 0.05 m
france,1000033859,remove,belgium,duplicate of belgium BE_v43_19d9dc8e0650 at 0.03 m
france,1000033875,remove,belgium,duplicate of belgium BE_v43_2bed646cee18 at 0.06 m
france,1000033884,remove,belgium,duplicate of belgium BE_v43_9d2d111c26e3 at 0.03 m
france,1000034033,remove,belgium,duplicate of belgium BE_v43_59b0845d765f at 0.04 m
france,1000034061,remove,belgium,duplicate of belgium BE_v43_dce5ff0b70d2 at 0.01 m
france,1000034063,remove,belgium,duplicate of belgium BE_v43_213eb4128d6f at 0.05 m
france,1000034268,remove,belgium,duplicate of belgium BE_v43_73786bba94e7 at 0.05 m
france,1000034341,remove,belgium,duplicate of belgium BE_v43_83ce58280d30 at 0.05 m
france,1000034342,remove,belgium,duplicate of belgium BE_v43_729932d198af at 0.06 m
france,1000034500,remove,belgium,duplicate of belgium BE_v43_5e69b799c4de at 0.05 m
france,1000034938,remove,belgium,duplicate of belgium BE_v43_d1ad20de8cdf at 0.01 m
france,1000034990,remove,belgium,duplicate of belgium BE_v43_baf8ab1bbcf4 at 0.06 m
