lon,lat,pga_g
119.9750,-10.0250,0.3640
120.0250,-10.0250,0.3702
120.0750,-10.0250,0.3839
120.1250,-10.0250,0.3841
120.1750,-10.0250,0.3816
120.2250,-10.0250,0.3937
120.2750,-10.0250,0.3958
120.3250,-10.0250,0.4115
120.3750,-10.0250,0.4265
120.4250,-10.0250,0.4141
120.4750,-10.0250,0.4139
120.5250,-10.0250,0.4169
120.5750,-10.0250,0.4138
120.6250,-10.0250,0.4101
120.6750,-10.0250,0.3807
120.7250,-10.0250,0.3971
120.7750,-10.0250,0.4125
120.8250,-10.0250,0.4290
123.5750,-10.0250,0.3281
123.6250,-10.0250,0.3281
123.6750,-10.0250,0.3321
123.7250,-10.0250,0.3323
123.7750,-10.0250,0.3370
123.8250,-10.0250,0.3313
123.8750,-10.0250,0.3354
123.9250,-10.0250,0.3369
123.9750,-10.0250,0.3369
124.0250,-10.0250,0.3364
124.0750,-10.0250,0.3407
124.1250,-10.0250,0.3395
124.1750,-10.0250,0.3400
124.2250,-10.0250,0.3378
124.2750,-10.0250,0.3386
124.3250,-10.0250,0.3394
124.3750,-10.0250,0.3406
124.4250,-10.0250,0.3406
124.4750,-10.0250,0.3383
124.5250,-10.0250,0.3397
124.5750,-10.0250,0.3406
142.1250,-10.0250,0.0269
142.1750,-10.0250,0.0276
142.4250,-10.0250,0.0286
142.4750,-10.0250,0.0286
142.8250,-10.0250,0.0367
142.8750,-10.0250,0.0367
143.0750,-10.0250,0.0367
147.6750,-10.0250,0.1580
147.7250,-10.0250,0.1580
147.7750,-10.0250,0.1607
147.8250,-10.0250,0.1631
147.8750,-10.0250,0.1626
147.9250,-10.0250,0.1601
147.9750,-10.0250,0.1599
148.0250,-10.0250,0.1577
148.0750,-10.0250,0.1660
148.1250,-10.0250,0.1665
148.1750,-10.0250,0.1598
148.2250,-10.0250,0.1577
148.2750,-10.0250,0.1564
148.3250,-10.0250,0.1567
148.3750,-10.0250,0.1697
148.4250,-10.0250,0.1721
148.4750,-10.0250,0.1782
148.5250,-10.0250,0.1842
148.5750,-10.0250,0.1900
148.6250,-10.0250,0.1955
148.6750,-10.0250,0.1991
148.7250,-10.0250,0.2043
148.7750,-10.0250,0.2311
148.8250,-10.0250,0.2355
148.8750,-10.0250,0.2375
148.9250,-10.0250,0.2378
148.9750,-10.0250,0.2370
149.0250,-10.0250,0.2355
149.0750,-10.0250,0.2325
149.1250,-10.0250,0.2293
149.1750,-10.0250,0.2470
149.2250,-10.0250,0.2427
149.2750,-10.0250,0.2398
149.3250,-10.0250,0.2398
149.3750,-10.0250,0.2400
149.4250,-10.0250,0.2444
149.4750,-10.0250,0.2542
149.5250,-10.0250,0.2685
149.5750,-10.0250,0.3158
149.6250,-10.0250,0.3499
149.6750,-10.0250,0.4115
149.7250,-10.0250,0.4834
149.7750,-10.0250,0.4869
149.8250,-10.0250,0.5922
149.8750,-10.0250,0.6360
149.9250,-10.0250,0.6359
150.9250,-10.0250,1.0875
150.9750,-10.0250,1.2435
151.0250,-10.0250,0.9680
151.0750,-10.0250,0.9423
151.1250,-10.0250,0.7221
151.1750,-10.0250,0.5364
151.2250,-10.0250,0.5346
151.2750,-10.0250,0.4400
119.9750,-10.0750,0.3640
120.0250,-10.0750,0.4022
120.0750,-10.0750,0.4022
120.1250,-10.0750,0.4188
120.1750,-10.0750,0.4314
120.2250,-10.0750,0.4127
120.2750,-10.0750,0.4304
120.3250,-10.0750,0.4486
120.3750,-10.0750,0.4673
120.4250,-10.0750,0.4414
120.4750,-10.0750,0.4475
