lon,lat,pga_g
9.5250,49.4750,0.0271
9.5750,49.4750,0.0245
9.6250,49.4750,0.0244
9.6750,49.4750,0.0229
9.7250,49.4750,0.0215
9.7750,49.4750,0.0213
9.8250,49.4750,0.0198
9.8750,49.4750,0.0186
9.9250,49.4750,0.0186
9.9750,49.4750,0.0177
10.0250,49.4750,0.0177
10.0750,49.4750,0.0170
10.1250,49.4750,0.0161
10.1750,49.4750,0.0163
10.2250,49.4750,0.0154
10.2750,49.4750,0.0149
10.3250,49.4750,0.0149
10.3750,49.4750,0.0145
10.4250,49.4750,0.0145
10.4750,49.4750,0.0144
10.5250,49.4750,0.0140
10.5750,49.4750,0.0143
10.6250,49.4750,0.0140
10.6750,49.4750,0.0140
10.7250,49.4750,0.0140
10.7750,49.4750,0.0140
10.8250,49.4750,0.0140
10.8750,49.4750,0.0141
10.9250,49.4750,0.0138
10.9750,49.4750,0.0142
11.0250,49.4750,0.0139
11.0750,49.4750,0.0142
11.1250,49.4750,0.0140
11.1750,49.4750,0.0141
11.2250,49.4750,0.0141
11.2750,49.4750,0.0142
11.3250,49.4750,0.0140
11.3750,49.4750,0.0142
11.4250,49.4750,0.0141
11.4750,49.4750,0.0141
11.5250,49.4750,0.0142
11.5750,49.4750,0.0142
11.6250,49.4750,0.0142
11.6750,49.4750,0.0142
11.7250,49.4750,0.0142
11.7750,49.4750,0.0142
11.8250,49.4750,0.0142
11.8750,49.4750,0.0142
11.9250,49.4750,0.0142
11.9750,49.4750,0.0143
12.0250,49.4750,0.0141
12.0750,49.4750,0.0144
12.1250,49.4750,0.0140
12.1750,49.4750,0.0143
12.2250,49.4750,0.0142
12.2750,49.4750,0.0142
12.3250,49.4750,0.0142
12.3750,49.4750,0.0144
12.4250,49.4750,0.0141
12.4750,49.4750,0.0145
12.5250,49.4750,0.0140
12.5750,49.4750,0.0143
12.6250,49.4750,0.0140
12.6750,49.4750,0.0140
12.7250,49.4750,0.0137
12.7750,49.4750,0.0137
12.8250,49.4750,0.0138
12.8750,49.4750,0.0132
12.9250,49.4750,0.0132
12.9750,49.4750,0.0127
13.0250,49.4750,0.0126
13.0750,49.4750,0.0122
13.1250,49.4750,0.0121
13.1750,49.4750,0.0117
13.2250,49.4750,0.0116
13.2750,49.4750,0.0112
13.3250,49.4750,0.0112
13.3750,49.4750,0.0110
13.4250,49.4750,0.0110
13.4750,49.4750,0.0108
13.5250,49.4750,0.0107
13.5750,49.4750,0.0107
13.6250,49.4750,0.0106
13.6750,49.4750,0.0104
13.7250,49.4750,0.0104
13.7750,49.4750,0.0103
13.8250,49.4750,0.0103
13.8750,49.4750,0.0102
13.9250,49.4750,0.0102
13.9750,49.4750,0.0102
14.0250,49.4750,0.0102
14.0750,49.4750,0.0101
14.1250,49.4750,0.0102
14.1750,49.4750,0.0100
14.2250,49.4750,0.0100
14.2750,49.4750,0.0101
14.3250,49.4750,0.0101
14.3750,49.4750,0.0101
14.4250,49.4750,0.0100
14.4750,49.4750,0.0101
14.5250,49.4750,0.0100
14.5750,49.4750,0.0101
14.6250,49.4750,0.0101
14.6750,49.4750,0.0103
14.7250,49.4750,0.0101
14.7750,49.4750,0.0104
14.8250,49.4750,0.0102
14.8750,49.4750,0.0102
14.9250,49.4750,0.0103
14.9750,49.4750,0.0104
15.0250,49.4750,0.0105
