lon,lat,pga_g
3.4750,51.4850,0.0211
3.5250,51.4850,0.0250
3.5750,51.4850,0.0251
3.6250,51.4850,0.0249
3.6750,51.4850,0.0277
3.7250,51.4850,0.0277
3.7750,51.4850,0.0299
3.8250,51.4850,0.0298
3.8750,51.4850,0.0315
3.9250,51.4850,0.0316
3.9750,51.4850,0.0330
4.0250,51.4850,0.0330
4.0750,51.4850,0.0346
4.1250,51.4850,0.0346
4.1750,51.4850,0.0360
4.2250,51.4850,0.0372
4.2750,51.4850,0.0373
4.3250,51.4850,0.0383
4.3750,51.4850,0.0383
4.4250,51.4850,0.0394
4.4750,51.4850,0.0394
4.5250,51.4850,0.0403
4.5750,51.4850,0.0404
4.6250,51.4850,0.0413
4.6750,51.4850,0.0412
4.7250,51.4850,0.0422
4.7750,51.4850,0.0422
4.8250,51.4850,0.0436
4.8750,51.4850,0.0437
4.9250,51.4850,0.0451
4.9750,51.4850,0.0465
5.0250,51.4850,0.0465
5.0750,51.4850,0.0478
5.1250,51.4850,0.0478
5.1750,51.4850,0.0491
5.2250,51.4850,0.0488
5.2750,51.4850,0.0503
5.3250,51.4850,0.0498
5.3750,51.4850,0.0510
5.4250,51.4850,0.0507
5.4750,51.4850,0.0515
5.5250,51.4850,0.0515
5.5750,51.4850,0.0523
5.6250,51.4850,0.0525
5.6750,51.4850,0.0530
5.7250,51.4850,0.0536
5.7750,51.4850,0.0537
5.8250,51.4850,0.0542
5.8750,51.4850,0.0532
5.9250,51.4850,0.0547
5.9750,51.4850,0.0532
6.0250,51.4850,0.0550
6.0750,51.4850,0.0533
6.1250,51.4850,0.0527
6.1750,51.4850,0.0527
6.2250,51.4850,0.0511
6.2750,51.4850,0.0511
6.3250,51.4850,0.0488
6.3750,51.4850,0.0454
3.4750,51.4350,0.0233
3.5250,51.4350,0.0253
3.5750,51.4350,0.0251
3.6250,51.4350,0.0271
3.6750,51.4350,0.0297
3.7250,51.4350,0.0298
3.7750,51.4350,0.0312
3.8250,51.4350,0.0312
3.8750,51.4350,0.0315
3.9250,51.4350,0.0333
3.9750,51.4350,0.0340
4.0250,51.4350,0.0339
4.0750,51.4350,0.0359
4.1250,51.4350,0.0359
4.1750,51.4350,0.0372
4.2250,51.4350,0.0372
4.2750,51.4350,0.0383
4.3250,51.4350,0.0383
4.3750,51.4350,0.0392
4.4250,51.4350,0.0394
4.4750,51.4350,0.0402
4.5250,51.4350,0.0406
4.5750,51.4350,0.0411
4.6250,51.4350,0.0419
4.6750,51.4350,0.0422
4.7250,51.4350,0.0434
4.7750,51.4350,0.0438
4.8250,51.4350,0.0454
4.8750,51.4350,0.0454
4.9250,51.4350,0.0468
4.9750,51.4350,0.0468
5.0250,51.4350,0.0481
5.0750,51.4350,0.0481
5.1250,51.4350,0.0494
5.1750,51.4350,0.0494
5.2250,51.4350,0.0505
5.2750,51.4350,0.0512
5.3250,51.4350,0.0515
5.3750,51.4350,0.0525
5.4250,51.4350,0.0526
5.4750,51.4350,0.0535
5.5250,51.4350,0.0535
5.5750,51.4350,0.0542
5.6250,51.4350,0.0542
5.6750,51.4350,0.0549
5.7250,51.4350,0.0549
5.7750,51.4350,0.0556
5.8250,51.4350,0.0542
5.8750,51.4350,0.0566
5.9250,51.4350,0.0547
5.9750,51.4350,0.0569
6.0250,51.4350,0.0550
6.0750,51.4350,0.0550
6.1250,51.4350,0.0550
6.1750,51.4350,0.0544
6.2250,51.4350,0.0545
6.2750,51.4350,0.0528
6.3250,51.4350,0.0512
6.3750,51.4350,0.0512
3.1750,51.3850,0.0198
3.2250,51.3850,0.0200
3.2750,51.3850,0.0207
3.3250,51.3850,0.0218
3.3750,51.3850,0.0224
3.4250,51.3850,0.0227
3.4750,51.3850,0.0233
3.5250,51.3850,0.0253
3.5750,51.3850,0.0254
3.6250,51.3850,0.0277
3.6750,51.3850,0.0289
3.7250,51.3850,0.0289
3.7750,51.3850,0.0304
3.8250,51.3850,0.0312
3.8750,51.3850,0.0329
3.9250,51.3850,0.0329
3.9750,51.3850,0.0340
4.0250,51.3850,0.0346
4.0750,51.3850,0.0361
4.1250,51.3850,0.0361
4.1750,51.3850,0.0374
4.2250,51.3850,0.0379
4.2750,51.3850,0.0385
4.3250,51.3850,0.0390
4.3750,51.3850,0.0399
4.4250,51.3850,0.0399
4.4750,51.3850,0.0408
4.5250,51.3850,0.0410
4.5750,51.3850,0.0417
4.6250,51.3850,0.0420
4.6750,51.3850,0.0429
4.7250,51.3850,0.0434
4.7750,51.3850,0.0449
4.8250,51.3850,0.0449
4.8750,51.3850,0.0464
4.9250,51.3850,0.0464
4.9750,51.3850,0.0477
5.0250,51.3850,0.0490
5.0750,51.3850,0.0490
5.1250,51.3850,0.0504
5.1750,51.3850,0.0504
5.2250,51.3850,0.0516
5.2750,51.3850,0.0516
5.3250,51.3850,0.0529
5.3750,51.3850,0.0526
5.4250,51.3850,0.0541
5.4750,51.3850,0.0535
5.5250,51.3850,0.0543
5.5750,51.3850,0.0543
5.6250,51.3850,0.0550
5.6750,51.3850,0.0551
5.7250,51.3850,0.0564
5.7750,51.3850,0.0576
5.8250,51.3850,0.0576
5.8750,51.3850,0.0588
5.9250,51.3850,0.0586
5.9750,51.3850,0.0598
6.0250,51.3850,0.0571
6.0750,51.3850,0.0605
6.1250,51.3850,0.0567
6.1750,51.3850,0.0557
6.2250,51.3850,0.0555
6.2750,51.3850,0.0545
6.3250,51.3850,0.0545
6.3750,51.3850,0.0540
3.0750,51.3350,0.0197
3.1250,51.3350,0.0197
3.1750,51.3350,0.0198
3.2250,51.3350,0.0206
3.2750,51.3350,0.0207
3.3250,51.3350,0.0218
3.3750,51.3350,0.0218
3.4250,51.3350,0.0230
3.4750,51.3350,0.0239
3.5250,51.3350,0.0253
3.5750,51.3350,0.0253
3.6250,51.3350,0.0268
3.6750,51.3350,0.0289
3.7250,51.3350,0.0289
3.7750,51.3350,0.0301
3.8250,51.3350,0.0313
3.8750,51.3350,0.0313
3.9250,51.3350,0.0329
3.9750,51.3350,0.0343
4.0250,51.3350,0.0346
4.0750,51.3350,0.0361
4.1250,51.3350,0.0363
4.1750,51.3350,0.0374
4.2250,51.3350,0.0386
4.2750,51.3350,0.0386
4.3250,51.3350,0.0396
4.3750,51.3350,0.0396
4.4250,51.3350,0.0406
4.4750,51.3350,0.0410
4.5250,51.3350,0.0414
4.5750,51.3350,0.0423
4.6250,51.3350,0.0424
4.6750,51.3350,0.0441
4.7250,51.3350,0.0447
4.7750,51.3350,0.0456
4.8250,51.3350,0.0463
4.8750,51.3350,0.0472
4.9250,51.3350,0.0478
4.9750,51.3350,0.0492
5.0250,51.3350,0.0492
5.0750,51.3350,0.0506
5.1250,51.3350,0.0506
5.1750,51.3350,0.0519
5.2250,51.3350,0.0523
5.2750,51.3350,0.0530
5.3250,51.3350,0.0540
5.3750,51.3350,0.0541
5.4250,51.3350,0.0551
5.4750,51.3350,0.0552
5.5250,51.3350,0.0565
5.5750,51.3350,0.0569
5.6250,51.3350,0.0587
5.6750,51.3350,0.0587
5.7250,51.3350,0.0601
5.7750,51.3350,0.0601
5.8250,51.3350,0.0611
5.8750,51.3350,0.0590
5.9250,51.3350,0.0620
5.9750,51.3350,0.0598
6.0250,51.3350,0.0626
6.0750,51.3350,0.0605
6.1250,51.3350,0.0607
6.1750,51.3350,0.0607
6.2250,51.3350,0.0606
6.2750,51.3350,0.0608
6.3250,51.3350,0.0612
6.3750,51.3350,0.0603
2.9250,51.2850,0.0190
2.9750,51.2850,0.0196
3.0250,51.2850,0.0196
3.0750,51.2850,0.0197
3.1250,51.2850,0.0203
3.1750,51.2850,0.0204
3.2250,51.2850,0.0205
3.2750,51.2850,0.0214
3.3250,51.2850,0.0214
3.3750,51.2850,0.0223
3.4250,51.2850,0.0230
3.4750,51.2850,0.0240
3.5250,51.2850,0.0240
