province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
Newfoundland and Labrador,10,45409.0,10.0,24.8,9.0,0.5,P15-F-3 StatCan 36-10-0222-01 + 14-10-0287-01 + 17-10-0005-01 (2024)
Prince Edward Island,11,36558.0,7.3,21.4,9.0,0.5,P15-F-3 StatCan 36-10-0222-01 + 14-10-0287-01 + 17-10-0005-01 (2024)
Nova Scotia,12,39003.0,6.6,21.7,9.0,0.5,P15-F-3 StatCan 36-10-0222-01 + 14-10-0287-01 + 17-10-0005-01 (2024)
New Brunswick,13,39746.0,7.0,22.8,9.0,0.5,P15-F-3 StatCan 36-10-0222-01 + 14-10-0287-01 + 17-10-0005-01 (2024)
Québec,24,43505.0,5.2,20.7,9.0,0.5,P15-F-3 StatCan 36-10-0222-01 + 14-10-0287-01 + 17-10-0005-01 (2024)
Ontario,35,47432.0,7.5,18.8,9.0,0.5,P15-F-3 StatCan 36-10-0222-01 + 14-10-0287-01 + 17-10-0005-01 (2024)
Manitoba,46,39196.0,5.5,17.5,9.0,0.5,P15-F-3 StatCan 36-10-0222-01 + 14-10-0287-01 + 17-10-0005-01 (2024)
Saskatchewan,47,53704.0,6.2,17.6,9.0,0.5,P15-F-3 StatCan 36-10-0222-01 + 14-10-0287-01 + 17-10-0005-01 (2024)
Alberta,48,63080.0,6.7,14.8,9.0,0.5,P15-F-3 StatCan 36-10-0222-01 + 14-10-0287-01 + 17-10-0005-01 (2024)
British Columbia,59,47083.0,5.9,20.3,9.0,0.5,P15-F-3 StatCan 36-10-0222-01 + 14-10-0287-01 + 17-10-0005-01 (2024)
Yukon,60,57474.0,4.4,14.3,9.0,0.5,P15-F-3 StatCan 36-10-0222-01 + 14-10-0287-01 + 17-10-0005-01 (2024)
Northwest Territories,61,65092.0,5.8,9.0,9.0,0.5,P15-F-3 StatCan 36-10-0222-01 + 14-10-0287-01 + 17-10-0005-01 (2024)
Nunavut,62,52947.0,13.5,5.0,9.0,0.5,P15-F-3 StatCan 36-10-0222-01 + 14-10-0287-01 + 17-10-0005-01 (2024)
