province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
Tarapacá,01,13191.0,7.5,9.3,15.0,0.5,P15-F-6 Banco Central CCNR 2023 + INE ENE Q3 2024 + Proy Pop 2024
Antofagasta,02,29348.0,8.4,8.5,15.0,0.5,P15-F-6 Banco Central CCNR 2023 + INE ENE Q3 2024 + Proy Pop 2024
Atacama,03,17232.0,7.1,11.0,15.0,0.5,P15-F-6 Banco Central CCNR 2023 + INE ENE Q3 2024 + Proy Pop 2024
Coquimbo,04,8774.0,9.2,14.1,15.0,0.5,P15-F-6 Banco Central CCNR 2023 + INE ENE Q3 2024 + Proy Pop 2024
Valparaíso,05,10633.0,9.0,16.4,15.0,0.5,P15-F-6 Banco Central CCNR 2023 + INE ENE Q3 2024 + Proy Pop 2024
O'Higgins,06,11731.0,5.8,14.7,15.0,0.5,P15-F-6 Banco Central CCNR 2023 + INE ENE Q3 2024 + Proy Pop 2024
Maule,07,8588.0,6.8,14.8,15.0,0.5,P15-F-6 Banco Central CCNR 2023 + INE ENE Q3 2024 + Proy Pop 2024
Biobío,08,9647.0,8.6,16.0,15.0,0.5,P15-F-6 Banco Central CCNR 2023 + INE ENE Q3 2024 + Proy Pop 2024
Araucanía,09,7519.0,7.5,14.2,15.0,0.5,P15-F-6 Banco Central CCNR 2023 + INE ENE Q3 2024 + Proy Pop 2024
Los Lagos,10,10067.0,5.7,14.8,15.0,0.5,P15-F-6 Banco Central CCNR 2023 + INE ENE Q3 2024 + Proy Pop 2024
Aysén,11,14559.0,4.1,11.0,15.0,0.5,P15-F-6 Banco Central CCNR 2023 + INE ENE Q3 2024 + Proy Pop 2024
Magallanes,12,16436.0,4.4,14.6,15.0,0.5,P15-F-6 Banco Central CCNR 2023 + INE ENE Q3 2024 + Proy Pop 2024
Metropolitana (Santiago),13,14075.0,8.9,13.7,15.0,0.5,P15-F-6 Banco Central CCNR 2023 + INE ENE Q3 2024 + Proy Pop 2024
Los Ríos,14,8774.0,7.0,17.5,15.0,0.5,P15-F-6 Banco Central CCNR 2023 + INE ENE Q3 2024 + Proy Pop 2024
Arica y Parinacota,15,7106.0,8.9,11.7,15.0,0.5,P15-F-6 Banco Central CCNR 2023 + INE ENE Q3 2024 + Proy Pop 2024
Ñuble,16,7408.0,7.7,17.3,15.0,0.5,P15-F-6 Banco Central CCNR 2023 + INE ENE Q3 2024 + Proy Pop 2024
