lon,lat,pga_g
-72.1250,-17.0250,0.7279
-72.0750,-17.0250,0.7322
-72.0250,-17.0250,0.7322
-71.9750,-17.0250,0.7324
-71.9250,-17.0250,0.7365
-71.8750,-17.0250,0.7353
-71.8250,-17.0250,0.7317
-71.7750,-17.0250,0.7270
-71.7250,-17.0250,0.7268
-71.6750,-17.0250,0.7206
-71.6250,-17.0250,0.7148
-71.5750,-17.0250,0.7135
-71.5250,-17.0250,0.7078
-71.4750,-17.0250,0.7003
-71.4250,-17.0250,0.6960
-71.3750,-17.0250,0.6945
-71.3250,-17.0250,0.6888
-71.2750,-17.0250,0.6827
-71.2250,-17.0250,0.6747
-71.1750,-17.0250,0.6753
-71.1250,-17.0250,0.6683
-71.0750,-17.0250,0.6653
-71.0250,-17.0250,0.6630
-70.9750,-17.0250,0.6596
-70.9250,-17.0250,0.6581
-70.8750,-17.0250,0.6563
-70.8250,-17.0250,0.6588
-70.7750,-17.0250,0.6552
-70.7250,-17.0250,0.6564
-70.6750,-17.0250,0.6607
-70.6250,-17.0250,0.6600
-70.5750,-17.0250,0.6587
-70.5250,-17.0250,0.6593
-70.4750,-17.0250,0.6593
-70.4250,-17.0250,0.6599
-70.3750,-17.0250,0.6594
-70.3250,-17.0250,0.6544
-70.2750,-17.0250,0.6476
-70.2250,-17.0250,0.6358
-70.1750,-17.0250,0.6149
-70.1250,-17.0250,0.6146
-70.0750,-17.0250,0.5976
-70.0250,-17.0250,0.5831
-69.9750,-17.0250,0.5774
-69.9250,-17.0250,0.5630
-69.8750,-17.0250,0.5462
-69.8250,-17.0250,0.5236
-69.7750,-17.0250,0.5150
-69.7250,-17.0250,0.5004
-69.6750,-17.0250,0.4743
-69.6250,-17.0250,0.4597
-69.5750,-17.0250,0.4594
-69.5250,-17.0250,0.4484
-69.4750,-17.0250,0.4365
-69.4250,-17.0250,0.4242
-69.3750,-17.0250,0.4241
-69.3250,-17.0250,0.4120
-69.2750,-17.0250,0.3998
-69.2250,-17.0250,0.3997
-69.1750,-17.0250,0.3873
-69.1250,-17.0250,0.3748
-69.0750,-17.0250,0.3623
-69.0250,-17.0250,0.3623
-68.9750,-17.0250,0.3529
-68.9250,-17.0250,0.3470
-68.8750,-17.0250,0.3468
-68.8250,-17.0250,0.3407
-68.7750,-17.0250,0.3343
-68.7250,-17.0250,0.3275
-68.6750,-17.0250,0.3239
-68.6250,-17.0250,0.3205
-68.5750,-17.0250,0.3132
-68.5250,-17.0250,0.3093
-68.4750,-17.0250,0.3049
-68.4250,-17.0250,0.2968
-68.3750,-17.0250,0.2881
-68.3250,-17.0250,0.2792
-68.2750,-17.0250,0.2791
-68.2250,-17.0250,0.2713
-68.1750,-17.0250,0.2670
-68.1250,-17.0250,0.2667
-68.0750,-17.0250,0.2598
-68.0250,-17.0250,0.2556
-67.9750,-17.0250,0.2521
-67.9250,-17.0250,0.2510
-67.8750,-17.0250,0.2507
-67.8250,-17.0250,0.2488
-67.7750,-17.0250,0.2488
-67.7250,-17.0250,0.2471
-67.6750,-17.0250,0.2451
-67.6250,-17.0250,0.2412
-67.5750,-17.0250,0.2371
-67.5250,-17.0250,0.2379
-67.4750,-17.0250,0.2307
-67.4250,-17.0250,0.2220
-67.3750,-17.0250,0.2220
-67.3250,-17.0250,0.2123
-67.2750,-17.0250,0.2064
-67.2250,-17.0250,0.2041
-67.1750,-17.0250,0.2041
-67.1250,-17.0250,0.2044
-67.0750,-17.0250,0.2059
-67.0250,-17.0250,0.2078
-66.9750,-17.0250,0.2078
-66.9250,-17.0250,0.2154
-66.8750,-17.0250,0.2208
-66.8250,-17.0250,0.2186
-66.7750,-17.0250,0.2221
-66.7250,-17.0250,0.2266
-66.6750,-17.0250,0.2304
-66.6250,-17.0250,0.2300
-66.5750,-17.0250,0.2308
-66.5250,-17.0250,0.2295
-66.4750,-17.0250,0.2280
-66.4250,-17.0250,0.2285
-66.3750,-17.0250,0.2268
-66.3250,-17.0250,0.2286
-66.2750,-17.0250,0.2316
-66.2250,-17.0250,0.2537
-66.1750,-17.0250,0.2551
-66.1250,-17.0250,0.2533
-66.0750,-17.0250,0.2484
-66.0250,-17.0250,0.2484
-71.9750,-17.0750,0.7365
-71.9250,-17.0750,0.7365
-71.8750,-17.0750,0.7386
-71.8250,-17.0750,0.7365
-71.7750,-17.0750,0.7329
-71.7250,-17.0750,0.7272
-71.6750,-17.0750,0.7238
-71.6250,-17.0750,0.7216
-71.5750,-17.0750,0.7146
-71.5250,-17.0750,0.7079
-71.4750,-17.0750,0.7087
-71.4250,-17.0750,0.7026
-71.3750,-17.0750,0.6961
-71.3250,-17.0750,0.6952
-71.2750,-17.0750,0.6901
-71.2250,-17.0750,0.6827
-71.1750,-17.0750,0.6753
-71.1250,-17.0750,0.6770
-71.0750,-17.0750,0.6721
-71.0250,-17.0750,0.6693
-70.9750,-17.0750,0.6691
-70.9250,-17.0750,0.6671
-70.8750,-17.0750,0.6658
-70.8250,-17.0750,0.6637
-70.7750,-17.0750,0.6666
-70.7250,-17.0750,0.6673
-70.6750,-17.0750,0.6630
-70.6250,-17.0750,0.6624
-70.5750,-17.0750,0.6585
-70.5250,-17.0750,0.6551
-70.4750,-17.0750,0.6537
-70.4250,-17.0750,0.6538
-70.3750,-17.0750,0.6457
-70.3250,-17.0750,0.6454
-70.2750,-17.0750,0.6423
-70.2250,-17.0750,0.6385
-70.1750,-17.0750,0.6238
-70.1250,-17.0750,0.6045
-70.0750,-17.0750,0.5920
-70.0250,-17.0750,0.5860
-69.9750,-17.0750,0.5730
-69.9250,-17.0750,0.5605
-69.8750,-17.0750,0.5587
-69.8250,-17.0750,0.5423
-69.7750,-17.0750,0.5204
-69.7250,-17.0750,0.4966
