province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
Antioquia,05,6429.0,10.5,12.6,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Atlántico,08,4240.0,12.5,9.4,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Bogotá D.C.,11,10822.0,10.8,11.2,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Bolívar,13,5168.0,10.1,8.4,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Boyacá,15,5008.0,8.7,14.1,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Caldas,17,4557.0,11.2,16.2,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Caquetá,18,3036.0,10.2,9.7,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Cauca,19,2905.0,9.6,12.6,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Cesar,20,6433.0,11.5,8.0,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Córdoba,23,2996.0,12.3,8.2,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Cundinamarca,25,5573.0,9.8,11.6,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Chocó,27,2317.0,14.2,6.0,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Huila,41,4035.0,11.9,11.6,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
La Guajira,44,4846.0,13.3,5.4,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Magdalena,47,2905.0,11.9,7.9,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Meta,50,6368.0,9.7,9.8,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Nariño,52,2817.0,9.8,10.7,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Norte de Santander,54,3353.0,13.2,9.7,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Quindío,63,3901.0,13.0,16.6,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Risaralda,66,4396.0,12.9,14.7,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Santander,68,6751.0,10.0,13.5,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Sucre,70,2748.0,11.5,8.5,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Tolima,73,4125.0,10.6,13.6,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Valle del Cauca,76,5550.0,11.4,13.0,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Arauca,81,4489.0,11.3,7.4,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Casanare,85,12269.0,8.4,6.7,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Putumayo,86,3716.0,9.2,7.4,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
San Andrés y Providencia,88,5168.0,11.0,13.5,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Amazonas,91,2312.0,8.8,5.4,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Guainía,94,2222.0,7.8,4.6,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Guaviare,95,2679.0,9.5,6.0,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Vaupés,97,1978.0,7.2,4.4,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
Vichada,99,2131.0,7.4,5.2,25.0,0.5,P15-F-6 DANE Cuentas Departamentales 2023p + GEIH 2024 + Proy Pop 2024
