lon,lat,pga_g
-81.3750,13.3750,0.0000
-81.3250,13.3750,0.0000
-81.3750,13.3250,0.0000
-81.6750,12.6251,0.0000
-70.0750,12.6251,0.1329
-70.0250,12.6251,0.1329
-81.7250,12.5751,0.0000
-81.6750,12.5751,0.0000
-70.0750,12.5751,0.1330
-70.0250,12.5751,0.1289
-69.9750,12.5751,0.1289
-81.7250,12.5251,0.0000
-70.0750,12.5251,0.1327
-70.0250,12.5251,0.1327
-69.9750,12.5251,0.1281
-69.9250,12.5251,0.1311
-81.7250,12.4751,0.0000
-71.6750,12.4751,0.0700
-71.6250,12.4751,0.0700
-70.0250,12.4751,0.1327
-69.9750,12.4751,0.1296
-69.9250,12.4751,0.1296
-69.8750,12.4751,0.1255
-71.7250,12.4251,0.0701
-71.6750,12.4251,0.0700
-71.6250,12.4251,0.0710
-71.5750,12.4251,0.0714
-71.5250,12.4251,0.0736
-71.4750,12.4251,0.0736
-69.9250,12.4251,0.1300
-69.8750,12.4251,0.1255
-71.8750,12.3751,0.0805
-71.8250,12.3751,0.0805
-71.7750,12.3751,0.0715
-71.7250,12.3751,0.0715
-71.6750,12.3751,0.0741
-71.6250,12.3751,0.0710
-71.5750,12.3751,0.0725
-71.5250,12.3751,0.0729
-71.4750,12.3751,0.0745
-71.4250,12.3751,0.0777
-71.3750,12.3751,0.0817
-71.3250,12.3751,0.0817
-71.2750,12.3751,0.0870
-70.9250,12.3751,0.0886
-70.8750,12.3751,0.0887
-69.1750,12.3751,0.0412
-69.1250,12.3751,0.0410
-69.0750,12.3751,0.0410
-71.9250,12.3251,0.0852
-71.8750,12.3251,0.0805
-71.8250,12.3251,0.0822
-71.7750,12.3251,0.0791
-71.7250,12.3251,0.0790
-71.6750,12.3251,0.0772
-71.6250,12.3251,0.0761
-71.5750,12.3251,0.0732
-71.5250,12.3251,0.0731
-71.4750,12.3251,0.0743
-71.4250,12.3251,0.0756
-71.3750,12.3251,0.0780
-71.3250,12.3251,0.0820
-71.2750,12.3251,0.0871
-71.2250,12.3251,0.0871
-69.1750,12.3251,0.0466
-69.1250,12.3251,0.0466
-69.0750,12.3251,0.0411
-68.4250,12.3251,0.0239
-68.3750,12.3251,0.0239
-72.0250,12.2751,0.0922
-71.9750,12.2751,0.0921
-71.9250,12.2751,0.0852
-71.8750,12.2751,0.0852
-71.8250,12.2751,0.0828
-71.7750,12.2751,0.0858
-71.7250,12.2751,0.0810
-71.6750,12.2751,0.0834
-71.6250,12.2751,0.0812
-71.5750,12.2751,0.0789
-71.5250,12.2751,0.0771
-71.4750,12.2751,0.0759
-71.4250,12.2751,0.0765
-71.3750,12.2751,0.0767
-71.3250,12.2751,0.0790
-71.2750,12.2751,0.0826
-71.2250,12.2751,0.0877
-69.1750,12.2751,0.0466
-69.1250,12.2751,0.0463
