lon,lat,pga_g
-85.9250,11.2750,0.6032
-85.8750,11.2750,0.6033
-85.8250,11.2750,0.6048
-85.7750,11.2750,0.6023
-85.7250,11.2750,0.5992
-85.6750,11.2750,0.5968
-85.6250,11.2750,0.5949
-85.5750,11.2750,0.5956
-85.5250,11.2750,0.6033
-85.4750,11.2750,0.6115
-85.4250,11.2750,0.6462
-85.3750,11.2750,0.6335
-85.3250,11.2750,0.6822
-85.2750,11.2750,0.6514
-85.2250,11.2750,0.5982
-85.1750,11.2750,0.5970
-85.1250,11.2750,0.5769
-85.0750,11.2750,0.5630
-85.0250,11.2750,0.5490
-84.9750,11.2750,0.5352
-84.9250,11.2750,0.5309
-84.8750,11.2750,0.5079
-84.8250,11.2750,0.4802
-84.7750,11.2750,0.4567
-84.7250,11.2750,0.4391
-84.6750,11.2750,0.4466
-84.6250,11.2750,0.4191
-84.5750,11.2750,0.3860
-84.5250,11.2750,0.3777
-84.4750,11.2750,0.3678
-84.4250,11.2750,0.3434
-84.3750,11.2750,0.3227
-84.3250,11.2750,0.3038
-84.2750,11.2750,0.2896
-84.2250,11.2750,0.2871
-84.1750,11.2750,0.2718
-84.1250,11.2750,0.2643
-84.0750,11.2750,0.2571
-84.0250,11.2750,0.2511
-83.9750,11.2750,0.2567
-83.9250,11.2750,0.2491
-83.8750,11.2750,0.2383
-85.8750,11.2250,0.6048
-85.8250,11.2250,0.6053
-85.7750,11.2250,0.6073
-85.7250,11.2250,0.6043
-85.6750,11.2250,0.5995
-85.6250,11.2250,0.5938
-85.5750,11.2250,0.5928
-85.5250,11.2250,0.5928
-85.4750,11.2250,0.5913
-85.4250,11.2250,0.5984
-85.3750,11.2250,0.6209
-85.3250,11.2250,0.6203
-85.2750,11.2250,0.6262
-85.2250,11.2250,0.6172
-85.1750,11.2250,0.5954
-85.1250,11.2250,0.5935
-85.0750,11.2250,0.5847
-85.0250,11.2250,0.5749
-84.9750,11.2250,0.5621
-84.9250,11.2250,0.5447
-84.8750,11.2250,0.5225
-84.8250,11.2250,0.5224
-84.7750,11.2250,0.4957
-84.7250,11.2250,0.4643
-84.6750,11.2250,0.4468
-84.6250,11.2250,0.4535
-84.5750,11.2250,0.4343
-84.5250,11.2250,0.4120
-84.4750,11.2250,0.3847
-84.4250,11.2250,0.3782
-84.3750,11.2250,0.3519
-84.3250,11.2250,0.3323
-84.2750,11.2250,0.3151
-84.2250,11.2250,0.2996
-84.1750,11.2250,0.2833
-84.1250,11.2250,0.2833
-84.0750,11.2250,0.2697
-84.0250,11.2250,0.2629
-83.9750,11.2250,0.2567
-83.9250,11.2250,0.2629
-83.8750,11.2250,0.2570
-85.8250,11.1750,0.6073
-85.7750,11.1750,0.6128
-85.7250,11.1750,0.6060
-85.6750,11.1750,0.6060
-85.6250,11.1750,0.5975
-85.5750,11.1750,0.5873
-85.5250,11.1750,0.5828
-85.4750,11.1750,0.5784
-85.4250,11.1750,0.5747
-85.3750,11.1750,0.5909
-85.3250,11.1750,0.6043
-85.2750,11.1750,0.6259
-85.2250,11.1750,0.6054
-85.1750,11.1750,0.6039
-85.1250,11.1750,0.5996
-85.0750,11.1750,0.5941
-85.0250,11.1750,0.5861
-84.9750,11.1750,0.5860
-84.9250,11.1750,0.5740
-84.8750,11.1750,0.5576
-84.8250,11.1750,0.5362
-84.7750,11.1750,0.5102
-84.7250,11.1750,0.5219
-84.6750,11.1750,0.4897
-84.6250,11.1750,0.4544
-84.5750,11.1750,0.4376
-84.5250,11.1750,0.4432
-84.4750,11.1750,0.4234
-84.4250,11.1750,0.3988
-84.3750,11.1750,0.3653
-84.3250,11.1750,0.3422
-84.2750,11.1750,0.3421
-84.2250,11.1750,0.3260
-84.1750,11.1750,0.3101
-84.1250,11.1750,0.2932
-84.0750,11.1750,0.2775
-84.0250,11.1750,0.2886
-83.9750,11.1750,0.2763
-83.9250,11.1750,0.2642
-83.8750,11.1750,0.2599
-83.8250,11.1750,0.2571
-85.8250,11.1250,0.6127
-85.7750,11.1250,0.6130
-85.7250,11.1250,0.6170
-85.6750,11.1250,0.6030
-85.6250,11.1250,0.5888
-85.5750,11.1250,0.5885
-85.5250,11.1250,0.5784
-85.4750,11.1250,0.5720
-85.4250,11.1250,0.5735
-85.3750,11.1250,0.5836
-85.3250,11.1250,0.5777
-85.2750,11.1250,0.5926
-85.2250,11.1250,0.6026
-85.1750,11.1250,0.6073
-85.1250,11.1250,0.6076
-85.0750,11.1250,0.6077
-85.0250,11.1250,0.6029
-84.9750,11.1250,0.5955
-84.9250,11.1250,0.5848
-84.8750,11.1250,0.5843
-84.8250,11.1250,0.5695
-84.7750,11.1250,0.5483
-84.7250,11.1250,0.5220
-84.6750,11.1250,0.5223
-84.6250,11.1250,0.5007
-84.5750,11.1250,0.4692
-84.5250,11.1250,0.4507
-84.4750,11.1250,0.4337
-84.4250,11.1250,0.4329
-84.3750,11.1250,0.4116
-84.3250,11.1250,0.3830
-84.2750,11.1250,0.3523
-84.2250,11.1250,0.3357
-84.1750,11.1250,0.3351
-84.1250,11.1250,0.3183
-84.0750,11.1250,0.3022
-84.0250,11.1250,0.2886
-83.9750,11.1250,0.2977
-83.9250,11.1250,0.2862
-83.8750,11.1250,0.2725
-83.8250,11.1250,0.2725
-85.7250,11.0750,0.6188
-85.6750,11.0750,0.5939
-85.6250,11.0750,0.5927
-85.5750,11.0750,0.5803
-85.5250,11.0750,0.5730
-85.4750,11.0750,0.5711
-85.4250,11.0750,0.5682
-85.3750,11.0750,0.5696
-85.3250,11.0750,0.5777
-85.2750,11.0750,0.5746
-85.2250,11.0750,0.5894
-85.1750,11.0750,0.6037
-85.1250,11.0750,0.6204
-85.0750,11.0750,0.6235
-85.0250,11.0750,0.6235
-84.9750,11.0750,0.6161
-84.9250,11.0750,0.6040
-84.8750,11.0750,0.5940
-84.8250,11.0750,0.5786
-84.7750,11.0750,0.5836
-84.7250,11.0750,0.5623
-84.6750,11.0750,0.5333
-84.6250,11.0750,0.5015
-84.5750,11.0750,0.5086
-84.5250,11.0750,0.4794
-84.4750,11.0750,0.4567
-84.4250,11.0750,0.4412
-84.3750,11.0750,0.4234
-84.3250,11.0750,0.4233
-84.2750,11.0750,0.4001
-84.2250,11.0750,0.3704
-84.1750,11.0750,0.3444
-84.1250,11.0750,0.3262
-84.0750,11.0750,0.3338
-84.0250,11.0750,0.3197
-83.9750,11.0750,0.3044
-83.9250,11.0750,0.2875
-83.8750,11.0750,0.2923
-83.8250,11.0750,0.2791
-83.7750,11.0750,0.2810
-85.7750,11.0250,0.6319
-85.7250,11.0250,0.6319
