lat,lon,delta_t_c,delta_heat_pct,delta_ice_pct,delta_wind_pct
47.3,5.9,1.0,0.0172,-0.0115,0.05
47.3,6.4,1.0,0.0172,-0.0115,0.05
47.3,6.9,1.0,0.0172,-0.0115,0.05
47.3,7.4,1.0,0.0172,-0.0115,0.05
47.3,7.9,1.0,0.0172,-0.0115,0.05
47.3,8.4,1.0,0.0172,-0.0115,0.05
47.3,8.9,1.0,0.0172,-0.0115,0.05
47.3,9.4,1.0,0.0172,-0.0115,0.05
47.3,9.9,1.0,0.0172,-0.0115,0.05
47.3,10.4,1.0,0.0172,-0.0115,0.05
47.3,10.9,1.0,0.0172,-0.0115,0.05
47.3,11.4,1.0,0.0172,-0.0115,0.05
47.3,11.9,1.0,0.0172,-0.0115,0.05
47.3,12.4,1.0,0.0172,-0.0115,0.05
47.3,12.9,1.0,0.0172,-0.0115,0.05
47.3,13.4,1.0,0.0172,-0.0115,0.05
47.3,13.9,1.0,0.0172,-0.0115,0.05
47.3,14.4,1.0,0.0172,-0.0115,0.05
47.3,14.9,1.0,0.0172,-0.0115,0.05
47.3,15.4,1.0,0.0172,-0.0115,0.05
47.8,5.9,1.0,0.0172,-0.0115,0.05
47.8,6.4,1.0,0.0172,-0.0115,0.05
47.8,6.9,1.0,0.0172,-0.0115,0.05
47.8,7.4,1.0,0.0172,-0.0115,0.05
47.8,7.9,1.0,0.0172,-0.0115,0.05
47.8,8.4,1.0,0.0172,-0.0115,0.05
47.8,8.9,1.0,0.0172,-0.0115,0.05
47.8,9.4,1.0,0.0172,-0.0115,0.05
47.8,9.9,1.0,0.0172,-0.0115,0.05
47.8,10.4,1.0,0.0172,-0.0115,0.05
47.8,10.9,1.0,0.0172,-0.0115,0.05
47.8,11.4,1.0,0.0172,-0.0115,0.05
47.8,11.9,1.0,0.0172,-0.0115,0.05
47.8,12.4,1.0,0.0172,-0.0115,0.05
47.8,12.9,1.0,0.0172,-0.0115,0.05
47.8,13.4,1.0,0.0172,-0.0115,0.05
47.8,13.9,1.0,0.0172,-0.0115,0.05
47.8,14.4,1.0,0.0172,-0.0115,0.05
47.8,14.9,1.0,0.0172,-0.0115,0.05
47.8,15.4,1.0,0.0172,-0.0115,0.05
48.3,5.9,1.0,0.0172,-0.0115,0.05
48.3,6.4,1.0,0.0172,-0.0115,0.05
48.3,6.9,1.0,0.0172,-0.0115,0.05
48.3,7.4,1.0,0.0172,-0.0115,0.05
48.3,7.9,1.0,0.0172,-0.0115,0.05
48.3,8.4,1.0,0.0172,-0.0115,0.05
48.3,8.9,1.0,0.0172,-0.0115,0.05
48.3,9.4,1.0,0.0172,-0.0115,0.05
48.3,9.9,1.0,0.0172,-0.0115,0.05
48.3,10.4,1.0,0.0172,-0.0115,0.05
48.3,10.9,1.0,0.0172,-0.0115,0.05
