lat,lon,t_mean_c,heat_days,ice_days,wind_speed
46.4,9.5,8.8,0,9.8,4.5
46.4,10.0,8.8,0,9.8,4.5
46.4,10.5,8.8,0,9.8,4.5
46.4,11.0,8.8,0,9.8,4.5
46.4,11.5,8.8,0,9.8,4.5
46.4,12.0,8.8,0,9.8,4.5
46.4,12.5,8.8,0,9.8,4.5
46.4,13.0,8.8,0,9.8,4.5
46.4,13.5,8.8,0,9.8,4.5
46.4,14.0,8.8,0,9.8,4.5
46.4,14.5,8.8,0,9.8,4.5
46.4,15.0,8.8,0,9.8,4.5
46.4,15.5,8.8,0,9.8,4.5
46.4,16.0,8.8,0,9.8,4.5
46.4,16.5,8.8,0,9.8,4.5
46.4,17.0,8.8,0,9.8,4.5
46.4,17.5,8.8,0,9.8,4.5
46.9,9.5,8.5,0,12.2,4.5
46.9,10.0,8.5,0,12.2,4.5
46.9,10.5,8.5,0,12.2,4.5
46.9,11.0,8.5,0,12.2,4.5
46.9,11.5,8.5,0,12.2,4.5
46.9,12.0,8.5,0,12.2,4.5
46.9,12.5,8.5,0,12.2,4.5
46.9,13.0,8.5,0,12.2,4.5
46.9,13.5,8.5,0,12.2,4.5
46.9,14.0,8.5,0,12.2,4.5
46.9,14.5,8.5,0,12.2,4.5
46.9,15.0,8.5,0,12.2,4.5
46.9,15.5,8.5,0,12.2,4.5
46.9,16.0,8.5,0,12.2,4.5
46.9,16.5,8.5,0,12.2,4.5
46.9,17.0,8.5,0,12.2,4.5
46.9,17.5,8.5,0,12.2,4.5
47.4,9.5,8.2,0,14.6,4.5
47.4,10.0,8.2,0,14.6,4.5
47.4,10.5,8.2,0,14.6,4.5
47.4,11.0,8.2,0,14.6,4.5
47.4,11.5,8.2,0,14.6,4.5
47.4,12.0,8.2,0,14.6,4.5
47.4,12.5,8.2,0,14.6,4.5
47.4,13.0,8.2,0,14.6,4.5
47.4,13.5,8.2,0,14.6,4.5
47.4,14.0,8.2,0,14.6,4.5
47.4,14.5,8.2,0,14.6,4.5
47.4,15.0,8.2,0,14.6,4.5
47.4,15.5,8.2,0,14.6,4.5
47.4,16.0,8.2,0,14.6,4.5
47.4,16.5,8.2,0,14.6,4.5
47.4,17.0,8.2,0,14.6,4.5
47.4,17.5,8.2,0,14.6,4.5
47.9,9.5,7.9,0,17.0,4.5
47.9,10.0,7.9,0,17.0,4.5
47.9,10.5,7.9,0,17.0,4.5
47.9,11.0,7.9,0,17.0,4.5
47.9,11.5,7.9,0,17.0,4.5
47.9,12.0,7.9,0,17.0,4.5
47.9,12.5,7.9,0,17.0,4.5
47.9,13.0,7.9,0,17.0,4.5
47.9,13.5,7.9,0,17.0,4.5
47.9,14.0,7.9,0,17.0,4.5
47.9,14.5,7.9,0,17.0,4.5
47.9,15.0,7.9,0,17.0,4.5
47.9,15.5,7.9,0,17.0,4.5
47.9,16.0,7.9,0,17.0,4.5
47.9,16.5,7.9,0,17.0,4.5
47.9,17.0,7.9,0,17.0,4.5
47.9,17.5,7.9,0,17.0,4.5
48.4,9.5,7.6,0,19.4,4.6
48.4,10.0,7.6,0,19.4,4.6
48.4,10.5,7.6,0,19.4,4.6
48.4,11.0,7.6,0,19.4,4.6
48.4,11.5,7.6,0,19.4,4.6
48.4,12.0,7.6,0,19.4,4.6
48.4,12.5,7.6,0,19.4,4.6
48.4,13.0,7.6,0,19.4,4.6
48.4,13.5,7.6,0,19.4,4.6
48.4,14.0,7.6,0,19.4,4.6
48.4,14.5,7.6,0,19.4,4.6
48.4,15.0,7.6,0,19.4,4.6
48.4,15.5,7.6,0,19.4,4.6
48.4,16.0,7.6,0,19.4,4.6
48.4,16.5,7.6,0,19.4,4.6
48.4,17.0,7.6,0,19.4,4.6
48.4,17.5,7.6,0,19.4,4.6
48.9,9.5,7.3,0,21.8,4.6
48.9,10.0,7.3,0,21.8,4.6
48.9,10.5,7.3,0,21.8,4.6
48.9,11.0,7.3,0,21.8,4.6
48.9,11.5,7.3,0,21.8,4.6
48.9,12.0,7.3,0,21.8,4.6
48.9,12.5,7.3,0,21.8,4.6
48.9,13.0,7.3,0,21.8,4.6
48.9,13.5,7.3,0,21.8,4.6
48.9,14.0,7.3,0,21.8,4.6
48.9,14.5,7.3,0,21.8,4.6
48.9,15.0,7.3,0,21.8,4.6
48.9,15.5,7.3,0,21.8,4.6
48.9,16.0,7.3,0,21.8,4.6
48.9,16.5,7.3,0,21.8,4.6
48.9,17.0,7.3,0,21.8,4.6
48.9,17.5,7.3,0,21.8,4.6
49.4,9.5,7.0,0,24.2,4.6
49.4,10.0,7.0,0,24.2,4.6
49.4,10.5,7.0,0,24.2,4.6
49.4,11.0,7.0,0,24.2,4.6
49.4,11.5,7.0,0,24.2,4.6
49.4,12.0,7.0,0,24.2,4.6
49.4,12.5,7.0,0,24.2,4.6
49.4,13.0,7.0,0,24.2,4.6
49.4,13.5,7.0,0,24.2,4.6
49.4,14.0,7.0,0,24.2,4.6
49.4,14.5,7.0,0,24.2,4.6
49.4,15.0,7.0,0,24.2,4.6
49.4,15.5,7.0,0,24.2,4.6
49.4,16.0,7.0,0,24.2,4.6
49.4,16.5,7.0,0,24.2,4.6
49.4,17.0,7.0,0,24.2,4.6
49.4,17.5,7.0,0,24.2,4.6
