lat,lon,t_mean_c,heat_days,ice_days,wind_speed
41.7,-141.0,8.7,0,10.6,4.6
41.7,-140.5,8.7,0,10.6,4.6
41.7,-140.0,8.7,0,10.6,4.6
41.7,-139.5,8.7,0,10.6,4.6
41.7,-139.0,8.7,0,10.6,4.6
41.7,-138.5,8.7,0,10.6,4.6
41.7,-138.0,8.7,0,10.6,4.6
41.7,-137.5,8.7,0,10.6,4.6
41.7,-137.0,8.7,0,10.6,4.6
41.7,-136.5,8.7,0,10.6,4.6
41.7,-136.0,8.7,0,10.6,4.6
41.7,-135.5,8.7,0,10.6,4.6
41.7,-135.0,8.7,0,10.6,4.6
41.7,-134.5,8.7,0,10.6,4.6
41.7,-134.0,8.7,0,10.6,4.6
41.7,-133.5,8.7,0,10.6,4.6
41.7,-133.0,8.7,0,10.6,4.6
41.7,-132.5,8.7,0,10.6,4.6
41.7,-132.0,8.7,0,10.6,4.6
41.7,-131.5,8.7,0,10.6,4.6
41.7,-131.0,8.7,0,10.6,4.6
41.7,-130.5,8.7,0,10.6,4.6
41.7,-130.0,8.7,0,10.6,4.6
41.7,-129.5,8.7,0,10.6,4.6
41.7,-129.0,8.7,0,10.6,4.6
41.7,-128.5,8.7,0,10.6,4.6
41.7,-128.0,8.7,0,10.6,4.6
41.7,-127.5,8.7,0,10.6,4.6
41.7,-127.0,8.7,0,10.6,4.6
41.7,-126.5,8.7,0,10.6,4.6
41.7,-126.0,8.7,0,10.6,4.6
41.7,-125.5,8.7,0,10.6,4.6
41.7,-125.0,8.7,0,10.6,4.6
41.7,-124.5,8.7,0,10.6,4.6
41.7,-124.0,8.7,0,10.6,4.6
41.7,-123.5,8.7,0,10.6,4.6
41.7,-123.0,8.7,0,10.6,4.6
41.7,-122.5,8.7,0,10.6,4.6
41.7,-122.0,8.7,0,10.6,4.6
41.7,-121.5,8.7,0,10.6,4.6
41.7,-121.0,8.7,0,10.6,4.6
41.7,-120.5,8.7,0,10.6,4.6
41.7,-120.0,8.7,0,10.6,4.6
41.7,-119.5,8.7,0,10.6,4.6
41.7,-119.0,8.7,0,10.6,4.6
41.7,-118.5,8.7,0,10.6,4.6
41.7,-118.0,8.7,0,10.6,4.6
41.7,-117.5,8.7,0,10.6,4.6
41.7,-117.0,8.7,0,10.6,4.6
41.7,-116.5,8.7,0,10.6,4.6
41.7,-116.0,8.7,0,10.6,4.6
41.7,-115.5,8.7,0,10.6,4.6
41.7,-115.0,8.7,0,10.6,4.6
41.7,-114.5,8.7,0,10.6,4.6
41.7,-114.0,8.7,0,10.6,4.6
41.7,-113.5,8.7,0,10.6,4.6
41.7,-113.0,8.7,0,10.6,4.6
41.7,-112.5,8.7,0,10.6,4.6
41.7,-112.0,8.7,0,10.6,4.6
41.7,-111.5,8.7,0,10.6,4.6
41.7,-111.0,8.7,0,10.6,4.6
41.7,-110.5,8.7,0,10.6,4.6
41.7,-110.0,8.7,0,10.6,4.6
41.7,-109.5,8.7,0,10.6,4.6
41.7,-109.0,8.7,0,10.6,4.6
41.7,-108.5,8.7,0,10.6,4.6
41.7,-108.0,8.7,0,10.6,4.6
41.7,-107.5,8.7,0,10.6,4.6
41.7,-107.0,8.7,0,10.6,4.6
41.7,-106.5,8.7,0,10.6,4.6
41.7,-106.0,8.7,0,10.6,4.6
41.7,-105.5,8.7,0,10.6,4.6
41.7,-105.0,8.7,0,10.6,4.6
41.7,-104.5,8.7,0,10.6,4.6
41.7,-104.0,8.7,0,10.6,4.6
41.7,-103.5,8.7,0,10.6,4.6
41.7,-103.0,8.7,0,10.6,4.6
41.7,-102.5,8.7,0,10.6,4.6
41.7,-102.0,8.7,0,10.6,4.6
41.7,-101.5,8.7,0,10.6,4.6
41.7,-101.0,8.7,0,10.6,4.6
41.7,-100.5,8.7,0,10.6,4.6
41.7,-100.0,8.7,0,10.6,4.6
41.7,-99.5,8.7,0,10.6,4.6
41.7,-99.0,8.7,0,10.6,4.6
41.7,-98.5,8.7,0,10.6,4.6
41.7,-98.0,8.7,0,10.6,4.6
41.7,-97.5,8.7,0,10.6,4.6
41.7,-97.0,8.7,0,10.6,4.6
41.7,-96.5,8.7,0,10.6,4.6
41.7,-96.0,8.7,0,10.6,4.6
41.7,-95.5,8.7,0,10.6,4.6
41.7,-95.0,8.7,0,10.6,4.6
41.7,-94.5,8.7,0,10.6,4.6
41.7,-94.0,8.7,0,10.6,4.6
41.7,-93.5,8.7,0,10.6,4.6
41.7,-93.0,8.7,0,10.6,4.6
41.7,-92.5,8.7,0,10.6,4.6
41.7,-92.0,8.7,0,10.6,4.6
41.7,-91.5,8.7,0,10.6,4.6
41.7,-91.0,8.7,0,10.6,4.6
41.7,-90.5,8.7,0,10.6,4.6
41.7,-90.0,8.7,0,10.6,4.6
41.7,-89.5,8.7,0,10.6,4.6
41.7,-89.0,8.7,0,10.6,4.6
41.7,-88.5,8.7,0,10.6,4.6
41.7,-88.0,8.7,0,10.6,4.6
41.7,-87.5,8.7,0,10.6,4.6
41.7,-87.0,8.7,0,10.6,4.6
41.7,-86.5,8.7,0,10.6,4.6
41.7,-86.0,8.7,0,10.6,4.6
41.7,-85.5,8.7,0,10.6,4.6
41.7,-85.0,8.7,0,10.6,4.6
