lat,lon,t_mean_c,heat_days,ice_days,wind_speed
41.3,-5.1,14.8,16.9,0,4.6
41.3,-4.6,14.8,16.9,0,4.6
41.3,-4.1,14.8,16.9,0,4.6
41.3,-3.6,14.8,16.9,0,4.6
41.3,-3.1,14.8,16.9,0,4.6
41.3,-2.6,14.8,16.9,0,4.6
41.3,-2.1,14.8,16.9,0,4.6
41.3,-1.6,14.8,16.9,0,4.6
41.3,-1.1,14.8,16.9,0,4.6
41.3,-0.6,14.8,16.9,0,4.6
41.3,-0.1,14.8,16.9,0,4.6
41.3,0.4,14.8,16.9,0,4.6
41.3,0.9,14.8,16.9,0,4.6
41.3,1.4,14.8,16.9,0,4.6
41.3,1.9,14.8,16.9,0,4.6
41.3,2.4,14.8,16.9,0,4.6
41.3,2.9,14.8,16.9,0,4.6
41.3,3.4,14.8,16.9,0,4.6
41.3,3.9,14.8,16.9,0,4.6
41.3,4.4,14.8,16.9,0,4.6
41.3,4.9,14.8,16.9,0,4.6
41.3,5.4,14.8,16.9,0,4.6
41.3,5.9,14.8,16.9,0,4.6
41.3,6.4,14.8,16.9,0,4.6
41.3,6.9,14.8,16.9,0,4.6
41.3,7.4,14.8,16.9,0,4.6
41.3,7.9,14.8,16.9,0,4.6
41.3,8.4,14.8,16.9,0,4.6
41.3,8.9,14.8,16.9,0,4.6
41.3,9.4,14.8,16.9,0,4.6
41.3,9.9,14.8,16.9,0,4.6
41.8,-5.1,14.5,15.1,0,4.6
41.8,-4.6,14.5,15.1,0,4.6
41.8,-4.1,14.5,15.1,0,4.6
41.8,-3.6,14.5,15.1,0,4.6
41.8,-3.1,14.5,15.1,0,4.6
41.8,-2.6,14.5,15.1,0,4.6
41.8,-2.1,14.5,15.1,0,4.6
41.8,-1.6,14.5,15.1,0,4.6
41.8,-1.1,14.5,15.1,0,4.6
41.8,-0.6,14.5,15.1,0,4.6
41.8,-0.1,14.5,15.1,0,4.6
41.8,0.4,14.5,15.1,0,4.6
41.8,0.9,14.5,15.1,0,4.6
41.8,1.4,14.5,15.1,0,4.6
41.8,1.9,14.5,15.1,0,4.6
41.8,2.4,14.5,15.1,0,4.6
41.8,2.9,14.5,15.1,0,4.6
41.8,3.4,14.5,15.1,0,4.6
41.8,3.9,14.5,15.1,0,4.6
41.8,4.4,14.5,15.1,0,4.6
41.8,4.9,14.5,15.1,0,4.6
41.8,5.4,14.5,15.1,0,4.6
41.8,5.9,14.5,15.1,0,4.6
41.8,6.4,14.5,15.1,0,4.6
41.8,6.9,14.5,15.1,0,4.6
41.8,7.4,14.5,15.1,0,4.6
41.8,7.9,14.5,15.1,0,4.6
41.8,8.4,14.5,15.1,0,4.6
41.8,8.9,14.5,15.1,0,4.6
41.8,9.4,14.5,15.1,0,4.6
41.8,9.9,14.5,15.1,0,4.6
42.3,-5.1,14.2,13.3,0,4.5
