lat,lon,t_mean_c,heat_days,ice_days,wind_speed
47.3,5.9,11.7,0,0,3.5
47.3,6.4,11.7,0,0,3.5
47.3,6.9,11.7,0,0,3.5
47.3,7.4,11.7,0,0,3.5
47.3,7.9,11.7,0,0,3.5
47.3,8.4,11.7,0,0,3.5
47.3,8.9,11.7,0,0,3.5
47.3,9.4,11.7,0,0,3.5
47.3,9.9,11.7,0,0,3.5
47.3,10.4,11.7,0,0,3.5
47.3,10.9,11.7,0,0,3.5
47.3,11.4,11.7,0,0,3.5
47.3,11.9,11.7,0,0,3.5
47.3,12.4,11.7,0,0,3.5
47.3,12.9,11.7,0,0,3.5
47.3,13.4,11.7,0,0,3.5
47.3,13.9,11.7,0,0,3.5
47.3,14.4,11.7,0,0,3.5
47.3,14.9,11.7,0,0,3.5
47.3,15.4,11.7,0,0,3.5
47.8,5.9,11.4,0,0,3.5
47.8,6.4,11.4,0,0,3.5
47.8,6.9,11.4,0,0,3.5
47.8,7.4,11.4,0,0,3.5
47.8,7.9,11.4,0,0,3.5
47.8,8.4,11.4,0,0,3.5
47.8,8.9,11.4,0,0,3.5
47.8,9.4,11.4,0,0,3.5
47.8,9.9,11.4,0,0,3.5
47.8,10.4,11.4,0,0,3.5
47.8,10.9,11.4,0,0,3.5
47.8,11.4,11.4,0,0,3.5
47.8,11.9,11.4,0,0,3.5
47.8,12.4,11.4,0,0,3.5
47.8,12.9,11.4,0,0,3.5
47.8,13.4,11.4,0,0,3.5
47.8,13.9,11.4,0,0,3.5
47.8,14.4,11.4,0,0,3.5
47.8,14.9,11.4,0,0,3.5
47.8,15.4,11.4,0,0,3.5
48.3,5.9,11.1,0,0,3.6
48.3,6.4,11.1,0,0,3.6
48.3,6.9,11.1,0,0,3.6
48.3,7.4,11.1,0,0,3.6
48.3,7.9,11.1,0,0,3.6
48.3,8.4,11.1,0,0,3.6
48.3,8.9,11.1,0,0,3.6
48.3,9.4,11.1,0,0,3.6
48.3,9.9,11.1,0,0,3.6
48.3,10.4,11.1,0,0,3.6
48.3,10.9,11.1,0,0,3.6
48.3,11.4,11.1,0,0,3.6
48.3,11.9,11.1,0,0,3.6
48.3,12.4,11.1,0,0,3.6
48.3,12.9,11.1,0,0,3.6
48.3,13.4,11.1,0,0,3.6
48.3,13.9,11.1,0,0,3.6
48.3,14.4,11.1,0,0,3.6
48.3,14.9,11.1,0,0,3.6
48.3,15.4,11.1,0,0,3.6
48.8,5.9,10.8,0,0,3.6
48.8,6.4,10.8,0,0,3.6
48.8,6.9,10.8,0,0,3.6
48.8,7.4,10.8,0,0,3.6
48.8,7.9,10.8,0,0,3.6
48.8,8.4,10.8,0,0,3.6
48.8,8.9,10.8,0,0,3.6
48.8,9.4,10.8,0,0,3.6
48.8,9.9,10.8,0,0,3.6
48.8,10.4,10.8,0,0,3.6
48.8,10.9,10.8,0,0,3.6
48.8,11.4,10.8,0,0,3.6
48.8,11.9,10.8,0,0,3.6
48.8,12.4,10.8,0,0,3.6
48.8,12.9,10.8,0,0,3.6
48.8,13.4,10.8,0,0,3.6
48.8,13.9,10.8,0,0,3.6
48.8,14.4,10.8,0,0,3.6
48.8,14.9,10.8,0,0,3.6
48.8,15.4,10.8,0,0,3.6
49.3,5.9,10.5,0,0,3.6
49.3,6.4,10.5,0,0,3.6
49.3,6.9,10.5,0,0,3.6
49.3,7.4,10.5,0,0,3.6
49.3,7.9,10.5,0,0,3.6
49.3,8.4,10.5,0,0,3.6
49.3,8.9,10.5,0,0,3.6
49.3,9.4,10.5,0,0,3.6
49.3,9.9,10.5,0,0,3.6
49.3,10.4,10.5,0,0,3.6
49.3,10.9,10.5,0,0,3.6
49.3,11.4,10.5,0,0,3.6
49.3,11.9,10.5,0,0,3.6
