lat,lon,t_mean_c,heat_days,ice_days,wind_speed
34.5,19.0,18.0,65.0,8,6.5
34.5,19.5,18.0,64.8,8,6.5
34.5,20.0,17.9,64.5,8,6.5
34.5,20.5,17.9,64.2,8,6.5
34.5,21.0,17.9,64.0,8,6.5
34.5,21.5,19.4,68.8,1,6.5
34.5,22.0,19.4,68.5,1,6.5
34.5,22.5,19.3,68.2,1,6.5
34.5,23.0,19.3,68.0,1,6.5
34.5,23.5,19.3,67.8,1,6.5
34.5,24.0,19.2,67.5,1,6.5
34.5,24.5,19.2,67.2,1,6.5
34.5,25.0,19.2,67.0,1,6.5
34.5,25.5,19.2,74.8,1,7.7
34.5,26.0,19.1,74.5,1,7.7
34.5,26.5,19.1,74.2,1,7.7
34.5,27.0,19.1,74.0,1,7.7
34.5,27.5,19.1,73.8,1,7.7
34.5,28.0,19.1,73.5,1,7.7
34.5,28.5,19.0,73.2,1,7.7
34.5,29.0,19.0,73.0,1,7.7
34.5,29.5,19.0,72.8,1,7.7
35.0,19.0,18.0,65.0,8,6.5
35.0,19.5,18.0,64.8,8,6.5
35.0,20.0,17.9,64.5,8,6.5
35.0,20.5,17.9,64.2,8,6.5
35.0,21.0,17.9,64.0,8,6.5
35.0,21.5,19.4,68.8,1,6.5
35.0,22.0,19.4,68.5,1,6.5
35.0,22.5,19.3,68.2,1,6.5
35.0,23.0,19.3,68.0,1,6.5
35.0,23.5,19.3,67.8,1,6.5
35.0,24.0,19.2,67.5,1,6.5
35.0,24.5,19.2,67.2,1,6.5
35.0,25.0,19.2,67.0,1,6.5
35.0,25.5,19.2,74.8,1,7.7
35.0,26.0,19.1,74.5,1,7.7
35.0,26.5,19.1,74.2,1,7.7
35.0,27.0,19.1,74.0,1,7.7
35.0,27.5,19.1,73.8,1,7.7
35.0,28.0,19.1,73.5,1,7.7
35.0,28.5,19.0,73.2,1,7.7
35.0,29.0,19.0,73.0,1,7.7
35.0,29.5,19.0,72.8,1,7.7
35.5,19.0,18.0,65.0,8,6.5
35.5,19.5,18.0,64.8,8,6.5
35.5,20.0,17.9,64.5,8,6.5
35.5,20.5,17.9,64.2,8,6.5
35.5,21.0,17.9,64.0,8,6.5
35.5,21.5,19.4,68.8,1,6.5
35.5,22.0,19.4,68.5,1,6.5
35.5,22.5,19.3,68.2,1,6.5
