lat,lon,t_mean_c,heat_days,ice_days,wind_speed
35.5,6.5,21.6,57.6,0,5.0
35.5,7.0,21.6,57.6,0,5.0
35.5,7.5,21.6,57.6,0,5.0
35.5,8.0,21.6,57.6,0,5.0
35.5,8.5,21.6,57.6,0,5.0
35.5,9.0,21.6,57.6,0,5.0
35.5,9.5,21.6,57.6,0,5.0
35.5,10.0,21.6,57.6,0,5.0
35.5,10.5,21.6,57.6,0,5.0
35.5,11.0,21.6,57.6,0,5.0
35.5,11.5,21.6,57.6,0,5.0
35.5,12.0,21.6,57.6,0,5.0
35.5,12.5,21.6,57.6,0,5.0
35.5,13.0,21.6,57.6,0,5.0
35.5,13.5,21.6,57.6,0,5.0
35.5,14.0,21.6,57.6,0,5.0
35.5,14.5,21.6,57.6,0,5.0
35.5,15.0,21.6,57.6,0,5.0
35.5,15.5,21.6,57.6,0,5.0
35.5,16.0,21.6,57.6,0,5.0
35.5,16.5,21.6,57.6,0,5.0
35.5,17.0,21.6,57.6,0,5.0
35.5,17.5,21.6,57.6,0,5.0
35.5,18.0,21.6,57.6,0,5.0
35.5,18.5,21.6,57.6,0,5.0
35.5,19.0,21.6,57.6,0,5.0
36.0,6.5,21.0,54.0,0,5.0
36.0,7.0,21.0,54.0,0,5.0
36.0,7.5,21.0,54.0,0,5.0
36.0,8.0,21.0,54.0,0,5.0
36.0,8.5,21.0,54.0,0,5.0
36.0,9.0,21.0,54.0,0,5.0
36.0,9.5,21.0,54.0,0,5.0
36.0,10.0,21.0,54.0,0,5.0
36.0,10.5,21.0,54.0,0,5.0
36.0,11.0,21.0,54.0,0,5.0
36.0,11.5,21.0,54.0,0,5.0
36.0,12.0,21.0,54.0,0,5.0
36.0,12.5,21.0,54.0,0,5.0
36.0,13.0,21.0,54.0,0,5.0
36.0,13.5,21.0,54.0,0,5.0
36.0,14.0,21.0,54.0,0,5.0
36.0,14.5,21.0,54.0,0,5.0
36.0,15.0,21.0,54.0,0,5.0
36.0,15.5,21.0,54.0,0,5.0
36.0,16.0,21.0,54.0,0,5.0
36.0,16.5,21.0,54.0,0,5.0
36.0,17.0,21.0,54.0,0,5.0
36.0,17.5,21.0,54.0,0,5.0
36.0,18.0,21.0,54.0,0,5.0
36.0,18.5,21.0,54.0,0,5.0
36.0,19.0,21.0,54.0,0,5.0
36.5,6.5,20.4,50.4,0,5.0
36.5,7.0,20.4,50.4,0,5.0
36.5,7.5,20.4,50.4,0,3.5
36.5,8.0,20.4,50.4,0,3.5
36.5,8.5,20.4,50.4,0,3.5
36.5,9.0,20.4,50.4,0,3.5
36.5,9.5,20.4,50.4,0,3.5
36.5,10.0,20.4,50.4,0,3.5
36.5,10.5,20.4,50.4,0,3.5
36.5,11.0,20.4,50.4,0,3.5
36.5,11.5,20.4,50.4,0,3.5
36.5,12.0,20.4,50.4,0,3.5
36.5,12.5,20.4,50.4,0,3.5
36.5,13.0,20.4,50.4,0,3.5
36.5,13.5,20.4,50.4,0,3.5
36.5,14.0,20.4,50.4,0,3.5
36.5,14.5,20.4,50.4,0,3.5
36.5,15.0,20.4,50.4,0,3.5
36.5,15.5,20.4,50.4,0,3.5
36.5,16.0,20.4,50.4,0,3.5
36.5,16.5,20.4,50.4,0,3.5
36.5,17.0,20.4,50.4,0,3.5
36.5,17.5,20.4,50.4,0,3.5
36.5,18.0,20.4,50.4,0,5.0
36.5,18.5,20.4,50.4,0,5.0
36.5,19.0,20.4,50.4,0,5.0
37.0,6.5,19.8,46.8,0,5.0
37.0,7.0,19.8,46.8,0,5.0
37.0,7.5,19.8,46.8,0,3.5
37.0,8.0,19.8,46.8,0,3.5
37.0,8.5,19.8,46.8,0,3.5
37.0,9.0,19.8,46.8,0,3.5
37.0,9.5,19.8,46.8,0,3.5
37.0,10.0,19.8,46.8,0,3.5
37.0,10.5,19.8,46.8,0,3.5
37.0,11.0,19.8,46.8,0,3.5
37.0,11.5,19.8,46.8,0,3.5
37.0,12.0,19.8,46.8,0,3.5
37.0,12.5,19.8,46.8,0,3.5
37.0,13.0,19.8,46.8,0,3.5
37.0,13.5,19.8,46.8,0,3.5
37.0,14.0,19.8,46.8,0,3.5
37.0,14.5,19.8,46.8,0,3.5
37.0,15.0,19.8,46.8,0,3.5
37.0,15.5,19.8,46.8,0,3.5
37.0,16.0,19.8,46.8,0,3.5
37.0,16.5,19.8,46.8,0,3.5
37.0,17.0,19.8,46.8,0,3.5
37.0,17.5,19.8,46.8,0,3.5
37.0,18.0,19.8,46.8,0,5.0
37.0,18.5,19.8,46.8,0,5.0
37.0,19.0,19.8,46.8,0,5.0
37.5,6.5,19.2,43.2,0,5.0
37.5,7.0,19.2,43.2,0,5.0
37.5,7.5,19.2,43.2,0,3.5
37.5,8.0,19.2,43.2,0,3.5
37.5,8.5,19.2,43.2,0,3.5
37.5,9.0,19.2,43.2,0,3.5
37.5,9.5,19.2,43.2,0,3.5
37.5,10.0,19.2,43.2,0,3.5
37.5,10.5,19.2,43.2,0,3.5
37.5,11.0,19.2,43.2,0,3.5
37.5,11.5,19.2,43.2,0,3.5
37.5,12.0,19.2,43.2,0,3.5
37.5,12.5,19.2,43.2,0,3.5
37.5,13.0,19.2,43.2,0,3.5
37.5,13.5,19.2,43.2,0,3.5
37.5,14.0,19.2,43.2,0,3.5
37.5,14.5,19.2,43.2,0,3.5
37.5,15.0,19.2,43.2,0,3.5
37.5,15.5,19.2,43.2,0,3.5
37.5,16.0,19.2,43.2,0,3.5
37.5,16.5,19.2,43.2,0,3.5
37.5,17.0,19.2,43.2,0,3.5
37.5,17.5,19.2,43.2,0,3.5
37.5,18.0,19.2,43.2,0,5.0
37.5,18.5,19.2,43.2,0,5.0
37.5,19.0,19.2,43.2,0,5.0
38.0,6.5,18.6,39.6,0,5.0
38.0,7.0,18.6,39.6,0,5.0
38.0,7.5,18.6,39.6,0,3.5
38.0,8.0,18.6,39.6,0,3.5
38.0,8.5,18.6,39.6,0,3.5
38.0,9.0,18.6,39.6,0,3.5
38.0,9.5,18.6,39.6,0,3.5
38.0,10.0,18.6,39.6,0,3.5
38.0,10.5,18.6,39.6,0,3.5
38.0,11.0,18.6,39.6,0,3.5
38.0,11.5,18.6,39.6,0,3.5
38.0,12.0,18.6,39.6,0,3.5
38.0,12.5,18.6,39.6,0,3.5
38.0,13.0,18.6,39.6,0,3.5
38.0,13.5,18.6,39.6,0,3.5
38.0,14.0,18.6,39.6,0,3.5
38.0,14.5,18.6,39.6,0,3.5
38.0,15.0,18.6,39.6,0,3.5
38.0,15.5,18.6,39.6,0,3.5
38.0,16.0,18.6,39.6,0,3.5
38.0,16.5,18.6,39.6,0,3.5
38.0,17.0,18.6,39.6,0,3.5
38.0,17.5,18.6,39.6,0,3.5
38.0,18.0,18.6,39.6,0,5.0
38.0,18.5,18.6,39.6,0,5.0
38.0,19.0,18.6,39.6,0,5.0
38.5,6.5,18.0,36.0,0,5.0
38.5,7.0,18.0,36.0,0,5.0
38.5,7.5,18.0,36.0,0,3.5
38.5,8.0,18.0,36.0,0,3.5
38.5,8.5,18.0,36.0,0,3.5
38.5,9.0,18.0,36.0,0,3.5
38.5,9.5,18.0,36.0,0,3.5
38.5,10.0,18.0,36.0,0,3.5
38.5,10.5,18.0,36.0,0,3.5
38.5,11.0,15.5,21.0,0,4.5
38.5,11.5,15.5,21.0,0,4.5
38.5,12.0,15.5,21.0,0,4.5
38.5,12.5,15.5,21.0,0,4.5
38.5,13.0,15.5,21.0,0,4.5
38.5,13.5,15.5,21.0,0,4.5
38.5,14.0,18.0,36.0,0,3.5
38.5,14.5,18.0,36.0,0,3.5
38.5,15.0,18.0,36.0,0,3.5
38.5,15.5,18.0,36.0,0,3.5
38.5,16.0,18.0,36.0,0,3.5
38.5,16.5,18.0,36.0,0,3.5
38.5,17.0,18.0,36.0,0,3.5
38.5,17.5,18.0,36.0,0,3.5
38.5,18.0,18.0,36.0,0,5.0
38.5,18.5,18.0,36.0,0,5.0
38.5,19.0,18.0,36.0,0,5.0
39.0,6.5,17.4,32.4,0,5.0
39.0,7.0,17.4,32.4,0,5.0
39.0,7.5,17.4,32.4,0,3.5
39.0,8.0,17.4,32.4,0,3.5
39.0,8.5,17.4,32.4,0,3.5
39.0,9.0,17.4,32.4,0,3.5
39.0,9.5,17.4,32.4,0,3.5
39.0,10.0,17.4,32.4,0,3.5
39.0,10.5,17.4,32.4,0,3.5
39.0,11.0,14.9,17.4,0,4.5
39.0,11.5,14.9,17.4,0,4.5
39.0,12.0,14.9,17.4,0,4.5
39.0,12.5,14.9,17.4,0,4.5
39.0,13.0,14.9,17.4,0,4.5
39.0,13.5,14.9,17.4,0,4.5
39.0,14.0,17.4,32.4,0,3.5
39.0,14.5,17.4,32.4,0,3.5
39.0,15.0,17.4,32.4,0,3.5
39.0,15.5,17.4,32.4,0,3.5
39.0,16.0,17.4,32.4,0,3.5
39.0,16.5,17.4,32.4,0,3.5
39.0,17.0,17.4,32.4,0,3.5
39.0,17.5,17.4,32.4,0,3.5
39.0,18.0,17.4,32.4,0,5.0
39.0,18.5,17.4,32.4,0,5.0
39.0,19.0,17.4,32.4,0,5.0
39.5,6.5,16.8,28.8,0,5.0
39.5,7.0,16.8,28.8,0,5.0
39.5,7.5,16.8,28.8,0,3.5
39.5,8.0,16.8,28.8,0,3.5
39.5,8.5,16.8,28.8,0,3.5
39.5,9.0,16.8,28.8,0,3.5
39.5,9.5,16.8,28.8,0,3.5
39.5,10.0,16.8,28.8,0,3.5
39.5,10.5,16.8,28.8,0,3.5
39.5,11.0,14.3,13.8,0,4.5
39.5,11.5,14.3,13.8,0,4.5
