lat,lon,t_mean_c,heat_days,ice_days,wind_speed
24.0,122.9,25.1,78.6,0,4.8
24.0,123.4,25.1,78.6,0,4.8
24.0,123.9,25.1,78.6,0,4.8
24.0,124.4,25.1,78.6,0,4.8
24.0,124.9,25.1,78.6,0,4.8
24.0,125.4,25.1,78.6,0,4.8
24.0,125.9,25.1,78.6,0,4.8
24.0,126.4,25.1,78.6,0,4.8
24.0,126.9,25.1,78.6,0,4.8
24.0,127.4,25.1,78.6,0,4.8
24.0,127.9,25.1,78.6,0,4.8
24.0,128.4,25.1,78.6,0,4.8
24.0,128.9,25.1,78.6,0,4.8
24.0,129.4,25.1,78.6,0,4.8
24.0,129.9,25.1,78.6,0,4.8
24.0,130.4,25.1,78.6,0,4.8
24.0,130.9,25.1,78.6,0,4.8
24.0,131.4,25.1,78.6,0,4.8
24.0,131.9,25.1,78.6,0,4.8
24.0,132.4,25.1,78.6,0,4.8
24.0,132.9,25.1,78.6,0,4.8
24.0,133.4,25.1,78.6,0,4.8
24.0,133.9,25.1,78.6,0,4.8
24.0,134.4,25.1,78.6,0,4.8
24.0,134.9,25.1,78.6,0,4.8
24.0,135.4,25.1,78.6,0,4.8
24.0,135.9,25.1,78.6,0,4.8
24.0,136.4,25.1,78.6,0,4.8
24.0,136.9,25.1,78.6,0,4.8
24.0,137.4,25.1,78.6,0,4.8
24.0,137.9,25.1,78.6,0,4.8
24.0,138.4,25.1,78.6,0,4.8
24.0,138.9,25.1,78.6,0,4.8
24.0,139.4,25.1,78.6,0,4.8
24.0,139.9,25.1,78.6,0,4.8
24.0,140.4,25.1,78.6,0,4.8
24.0,140.9,25.1,78.6,0,4.8
24.0,141.4,25.1,78.6,0,4.8
24.0,141.9,25.1,78.6,0,4.8
24.0,142.4,25.1,78.6,0,4.8
24.0,142.9,25.1,78.6,0,4.8
24.0,143.4,25.1,78.6,0,4.8
24.0,143.9,25.1,78.6,0,4.8
24.0,144.4,25.1,78.6,0,4.8
24.0,144.9,25.1,78.6,0,4.8
24.0,145.4,25.1,78.6,0,4.8
24.0,145.9,25.1,78.6,0,4.8
24.0,146.4,25.1,78.6,0,4.8
24.0,146.9,25.1,78.6,0,4.8
24.0,147.4,25.1,78.6,0,4.8
24.0,147.9,25.1,78.6,0,4.8
24.0,148.4,25.1,78.6,0,4.8
24.0,148.9,25.1,78.6,0,4.8
24.0,149.4,25.1,78.6,0,4.8
24.0,149.9,25.1,78.6,0,4.8
24.0,150.4,25.1,78.6,0,4.8
24.0,150.9,25.1,78.6,0,4.8
24.0,151.4,25.1,78.6,0,4.8
24.0,151.9,25.1,78.6,0,4.8
24.0,152.4,25.1,78.6,0,4.8
24.0,152.9,25.1,78.6,0,4.8
