lat,lon,t_mean_c,heat_days,ice_days,wind_speed
36.0,-9.3,17.4,32.4,0,4.6
36.0,-8.8,17.4,32.4,0,4.6
36.0,-8.3,17.4,32.4,0,4.6
36.0,-7.8,17.4,32.4,0,4.6
36.0,-7.3,17.4,32.4,0,4.6
36.0,-6.8,17.4,32.4,0,4.6
36.0,-6.3,17.4,32.4,0,4.6
36.0,-5.8,17.4,32.4,0,4.6
36.0,-5.3,17.4,32.4,0,4.6
36.0,-4.8,17.4,32.4,0,4.6
36.0,-4.3,17.4,32.4,0,4.6
36.0,-3.8,17.4,32.4,0,4.6
36.0,-3.3,17.4,32.4,0,4.6
36.0,-2.8,17.4,32.4,0,4.6
36.0,-2.3,17.4,32.4,0,4.6
36.0,-1.8,17.4,32.4,0,4.6
36.0,-1.3,17.4,32.4,0,4.6
36.0,-0.8,17.4,32.4,0,4.6
36.0,-0.3,17.4,32.4,0,4.6
36.0,0.2,17.4,32.4,0,4.6
36.0,0.7,17.4,32.4,0,4.6
36.0,1.2,17.4,32.4,0,4.6
36.0,1.7,17.4,32.4,0,4.6
36.0,2.2,17.4,32.4,0,4.6
36.0,2.7,17.4,32.4,0,4.6
36.0,3.2,17.4,32.4,0,4.6
36.0,3.7,17.4,32.4,0,4.6
36.5,-9.3,17.1,30.6,0,4.6
36.5,-8.8,17.1,30.6,0,4.6
36.5,-8.3,17.1,30.6,0,4.6
36.5,-7.8,17.1,30.6,0,4.6
36.5,-7.3,17.1,30.6,0,4.6
36.5,-6.8,17.1,30.6,0,4.6
36.5,-6.3,17.1,30.6,0,4.6
36.5,-5.8,17.1,30.6,0,4.6
36.5,-5.3,17.1,30.6,0,4.6
36.5,-4.8,17.1,30.6,0,4.6
36.5,-4.3,17.1,30.6,0,4.6
36.5,-3.8,17.1,30.6,0,4.6
36.5,-3.3,17.1,30.6,0,4.6
36.5,-2.8,17.1,30.6,0,4.6
36.5,-2.3,17.1,30.6,0,4.6
36.5,-1.8,17.1,30.6,0,4.6
36.5,-1.3,17.1,30.6,0,4.6
36.5,-0.8,17.1,30.6,0,4.6
36.5,-0.3,17.1,30.6,0,4.6
36.5,0.2,17.1,30.6,0,4.6
36.5,0.7,17.1,30.6,0,4.6
36.5,1.2,17.1,30.6,0,4.6
36.5,1.7,17.1,30.6,0,4.6
36.5,2.2,17.1,30.6,0,4.6
36.5,2.7,17.1,30.6,0,4.6
36.5,3.2,17.1,30.6,0,4.6
36.5,3.7,17.1,30.6,0,4.6
37.0,-9.3,16.8,28.8,0,4.6
37.0,-8.8,16.8,28.8,0,4.6
37.0,-8.3,16.8,28.8,0,4.6
37.0,-7.8,16.8,28.8,0,4.6
37.0,-7.3,16.8,28.8,0,4.6
37.0,-6.8,16.8,28.8,0,4.6
37.0,-6.3,16.8,28.8,0,4.6
37.0,-5.8,16.8,28.8,0,4.6
37.0,-5.3,16.8,28.8,0,4.6
37.0,-4.8,16.8,28.8,0,4.6
37.0,-4.3,16.8,28.8,0,4.6
37.0,-3.8,16.8,28.8,0,4.6
37.0,-3.3,16.8,28.8,0,4.6
37.0,-2.8,16.8,28.8,0,4.6
37.0,-2.3,16.8,28.8,0,4.6
37.0,-1.8,16.8,28.8,0,4.6
37.0,-1.3,16.8,28.8,0,4.6
37.0,-0.8,16.8,28.8,0,4.6
37.0,-0.3,16.8,28.8,0,4.6
37.0,0.2,16.8,28.8,0,4.6
37.0,0.7,16.8,28.8,0,4.6
37.0,1.2,16.8,28.8,0,4.6
37.0,1.7,16.8,28.8,0,4.6
37.0,2.2,16.8,28.8,0,4.6
37.0,2.7,16.8,28.8,0,4.6
37.0,3.2,16.8,28.8,0,4.6
37.0,3.7,16.8,28.8,0,4.6
37.5,-9.3,16.5,27.0,0,4.6
37.5,-8.8,16.5,27.0,0,4.6
37.5,-8.3,16.5,27.0,0,4.6
37.5,-7.8,16.5,27.0,0,4.6
37.5,-7.3,16.5,27.0,0,4.6
37.5,-6.8,16.5,27.0,0,4.6
37.5,-6.3,16.5,27.0,0,4.6
37.5,-5.8,16.5,27.0,0,4.6
37.5,-5.3,16.5,27.0,0,4.6
37.5,-4.8,16.5,27.0,0,4.6
37.5,-4.3,16.5,27.0,0,4.6
37.5,-3.8,16.5,27.0,0,4.6
37.5,-3.3,16.5,27.0,0,4.6
37.5,-2.8,16.5,27.0,0,4.6
37.5,-2.3,16.5,27.0,0,4.6
37.5,-1.8,16.5,27.0,0,4.6
37.5,-1.3,16.5,27.0,0,4.6
37.5,-0.8,16.5,27.0,0,4.6
37.5,-0.3,16.5,27.0,0,4.6
37.5,0.2,16.5,27.0,0,4.6
37.5,0.7,16.5,27.0,0,4.6
37.5,1.2,16.5,27.0,0,4.6
37.5,1.7,16.5,27.0,0,4.6
37.5,2.2,16.5,27.0,0,4.6
37.5,2.7,16.5,27.0,0,4.6
37.5,3.2,16.5,27.0,0,4.6
37.5,3.7,16.5,27.0,0,4.6
38.0,-9.3,16.2,25.2,0,4.6
38.0,-8.8,16.2,25.2,0,4.6
38.0,-8.3,16.2,25.2,0,4.6
38.0,-7.8,16.2,25.2,0,4.6
38.0,-7.3,16.2,25.2,0,4.6
38.0,-6.8,16.2,25.2,0,4.6
38.0,-6.3,16.2,25.2,0,4.6
38.0,-5.8,16.2,25.2,0,4.6
