lat,lon,t_mean_c,heat_days,ice_days,wind_speed
45.8,5.9,7.6,0,19.2,4.5
45.8,6.4,7.6,0,19.2,4.5
45.8,6.9,7.6,0,19.2,4.5
45.8,7.4,7.6,0,19.2,4.5
45.8,7.9,7.6,0,19.2,4.5
45.8,8.4,7.6,0,19.2,4.5
45.8,8.9,7.6,0,19.2,4.5
45.8,9.4,7.6,0,19.2,4.5
45.8,9.9,7.6,0,19.2,4.5
45.8,10.4,7.6,0,19.2,4.5
45.8,10.9,7.6,0,19.2,4.5
46.3,5.9,7.3,0,21.6,4.5
46.3,6.4,7.3,0,21.6,4.5
46.3,6.9,7.3,0,21.6,4.5
46.3,7.4,7.3,0,21.6,4.5
46.3,7.9,7.3,0,21.6,4.5
46.3,8.4,7.3,0,21.6,4.5
46.3,8.9,7.3,0,21.6,4.5
46.3,9.4,7.3,0,21.6,4.5
46.3,9.9,7.3,0,21.6,4.5
46.3,10.4,7.3,0,21.6,4.5
46.3,10.9,7.3,0,21.6,4.5
46.8,5.9,7.0,0,24.0,4.5
46.8,6.4,7.0,0,24.0,4.5
46.8,6.9,7.0,0,24.0,4.5
46.8,7.4,7.0,0,24.0,4.5
46.8,7.9,7.0,0,24.0,4.5
46.8,8.4,7.0,0,24.0,4.5
46.8,8.9,7.0,0,24.0,4.5
46.8,9.4,7.0,0,24.0,4.5
46.8,9.9,7.0,0,24.0,4.5
46.8,10.4,7.0,0,24.0,4.5
46.8,10.9,7.0,0,24.0,4.5
47.3,5.9,6.7,0,26.4,4.5
47.3,6.4,6.7,0,26.4,4.5
47.3,6.9,6.7,0,26.4,4.5
47.3,7.4,6.7,0,26.4,4.5
47.3,7.9,6.7,0,26.4,4.5
47.3,8.4,6.7,0,26.4,4.5
47.3,8.9,6.7,0,26.4,4.5
47.3,9.4,6.7,0,26.4,4.5
47.3,9.9,6.7,0,26.4,4.5
47.3,10.4,6.7,0,26.4,4.5
47.3,10.9,6.7,0,26.4,4.5
47.8,5.9,6.4,0,28.8,4.5
47.8,6.4,6.4,0,28.8,4.5
47.8,6.9,6.4,0,28.8,4.5
47.8,7.4,6.4,0,28.8,4.5
47.8,7.9,6.4,0,28.8,4.5
47.8,8.4,6.4,0,28.8,4.5
47.8,8.9,6.4,0,28.8,4.5
47.8,9.4,6.4,0,28.8,4.5
47.8,9.9,6.4,0,28.8,4.5
47.8,10.4,6.4,0,28.8,4.5
47.8,10.9,6.4,0,28.8,4.5
