lat,lon,t_mean_c,heat_days,ice_days,wind_speed
24.5,-124.8,21.0,54.0,0,3.8
24.5,-124.3,21.0,54.0,0,3.8
24.5,-123.8,21.0,54.0,0,3.8
24.5,-123.3,21.0,54.0,0,3.8
24.5,-122.8,21.0,54.0,0,3.8
24.5,-122.3,21.0,54.0,0,3.8
24.5,-121.8,21.0,54.0,0,3.8
24.5,-121.3,21.0,54.0,0,3.8
24.5,-120.8,21.0,54.0,0,3.8
24.5,-120.3,21.0,54.0,0,3.8
24.5,-119.8,21.0,54.0,0,3.8
24.5,-119.3,21.0,54.0,0,3.8
24.5,-118.8,21.0,54.0,0,3.8
24.5,-118.3,21.0,54.0,0,3.8
24.5,-117.8,21.0,54.0,0,3.8
24.5,-117.3,21.0,54.0,0,3.8
24.5,-116.8,21.0,54.0,0,3.8
24.5,-116.3,21.0,54.0,0,3.8
24.5,-115.8,21.0,54.0,0,3.8
24.5,-115.3,21.0,54.0,0,3.8
24.5,-114.8,21.0,54.0,0,3.8
24.5,-114.3,21.0,54.0,0,3.8
24.5,-113.8,21.0,54.0,0,3.8
24.5,-113.3,21.0,54.0,0,3.8
24.5,-112.8,21.0,54.0,0,3.8
24.5,-112.3,21.0,54.0,0,3.8
24.5,-111.8,21.0,54.0,0,3.8
24.5,-111.3,21.0,54.0,0,3.8
24.5,-110.8,21.0,54.0,0,3.8
24.5,-110.3,21.0,54.0,0,3.8
24.5,-109.8,21.0,54.0,0,3.8
24.5,-109.3,21.0,54.0,0,3.8
24.5,-108.8,21.0,54.0,0,3.8
24.5,-108.3,21.0,54.0,0,3.8
24.5,-107.8,21.0,54.0,0,3.8
24.5,-107.3,21.0,54.0,0,3.8
24.5,-106.8,21.0,54.0,0,3.8
24.5,-106.3,21.0,54.0,0,3.8
24.5,-105.8,21.0,54.0,0,3.8
24.5,-105.3,21.0,54.0,0,3.8
24.5,-104.8,21.0,54.0,0,3.8
24.5,-104.3,21.0,54.0,0,3.8
24.5,-103.8,21.0,54.0,0,3.8
24.5,-103.3,21.0,54.0,0,3.8
24.5,-102.8,21.0,54.0,0,3.8
24.5,-102.3,21.0,54.0,0,3.8
24.5,-101.8,21.0,54.0,0,3.8
24.5,-101.3,21.0,54.0,0,3.8
24.5,-100.8,21.0,54.0,0,3.8
24.5,-100.3,21.0,54.0,0,3.8
24.5,-99.8,21.0,54.0,0,3.8
24.5,-99.3,21.0,54.0,0,3.8
24.5,-98.8,21.0,54.0,0,3.8
24.5,-98.3,21.0,54.0,0,3.8
24.5,-97.8,21.0,54.0,0,3.8
24.5,-97.3,21.0,54.0,0,3.8
24.5,-96.8,21.0,54.0,0,3.8
24.5,-96.3,21.0,54.0,0,3.8
24.5,-95.8,21.0,54.0,0,3.8
24.5,-95.3,21.0,54.0,0,3.8
24.5,-94.8,21.0,54.0,0,3.8
24.5,-94.3,21.0,54.0,0,3.8
24.5,-93.8,21.0,54.0,0,3.8
24.5,-93.3,21.0,54.0,0,3.8
24.5,-92.8,21.0,54.0,0,3.8
24.5,-92.3,21.0,54.0,0,3.8
24.5,-91.8,21.0,54.0,0,3.8
24.5,-91.3,21.0,54.0,0,3.8
24.5,-90.8,21.0,54.0,0,3.8
24.5,-90.3,21.0,54.0,0,3.8
24.5,-89.8,21.0,54.0,0,3.8
24.5,-89.3,21.0,54.0,0,3.8
24.5,-88.8,21.0,54.0,0,3.8
24.5,-88.3,21.0,54.0,0,3.8
24.5,-87.8,21.0,54.0,0,3.8
24.5,-87.3,21.0,54.0,0,3.8
24.5,-86.8,21.0,54.0,0,3.8
24.5,-86.3,21.0,54.0,0,3.8
24.5,-85.8,21.0,54.0,0,3.8
24.5,-85.3,21.0,54.0,0,3.8
24.5,-84.8,21.0,54.0,0,3.8
24.5,-84.3,21.0,54.0,0,3.8
