lon,lat,pga_g
12.1150,51.0350,0.0371
12.1650,51.0350,0.0435
12.2150,51.0350,0.0374
12.2650,51.0350,0.0391
12.3150,51.0350,0.0376
12.3650,51.0350,0.0376
12.4150,51.0350,0.0366
12.4650,51.0350,0.0324
12.5150,51.0350,0.0351
12.5650,51.0350,0.0308
12.6150,51.0350,0.0330
12.6650,51.0350,0.0297
12.7150,51.0350,0.0281
12.7650,51.0350,0.0281
12.8150,51.0350,0.0261
12.8650,51.0350,0.0261
12.9150,51.0350,0.0238
12.9650,51.0350,0.0211
13.0150,51.0350,0.0211
13.0650,51.0350,0.0188
13.1150,51.0350,0.0188
13.1650,51.0350,0.0175
13.2150,51.0350,0.0159
13.2650,51.0350,0.0165
13.3150,51.0350,0.0148
13.3650,51.0350,0.0148
13.4150,51.0350,0.0142
13.4650,51.0350,0.0137
13.5150,51.0350,0.0137
13.5650,51.0350,0.0132
13.6150,51.0350,0.0130
13.6650,51.0350,0.0124
13.7150,51.0350,0.0119
13.7650,51.0350,0.0119
13.8150,51.0350,0.0115
13.8650,51.0350,0.0114
13.9150,51.0350,0.0111
13.9650,51.0350,0.0104
14.0150,51.0350,0.0110
14.0650,51.0350,0.0101
14.1150,51.0350,0.0098
14.1650,51.0350,0.0098
14.2150,51.0350,0.0093
14.2650,51.0350,0.0093
14.3150,51.0350,0.0084
14.3650,51.0350,0.0081
14.4150,51.0350,0.0081
14.4650,51.0350,0.0079
14.5150,51.0350,0.0079
14.5650,51.0350,0.0076
14.6150,51.0350,0.0072
14.6650,51.0350,0.0075
14.7150,51.0350,0.0072
14.7650,51.0350,0.0072
14.8150,51.0350,0.0072
14.8650,51.0350,0.0071
14.9150,51.0350,0.0074
14.9650,51.0350,0.0073
15.0150,51.0350,0.0077
15.0650,51.0350,0.0076
15.1150,51.0350,0.0080
15.1650,51.0350,0.0080
15.2150,51.0350,0.0084
15.2650,51.0350,0.0084
15.3150,51.0350,0.0083
15.3650,51.0350,0.0089
15.4150,51.0350,0.0089
15.4650,51.0350,0.0096
15.5150,51.0350,0.0096
15.5650,51.0350,0.0103
15.6150,51.0350,0.0098
15.6650,51.0350,0.0098
15.7150,51.0350,0.0103
15.7650,51.0350,0.0103
15.8150,51.0350,0.0107
15.8650,51.0350,0.0101
15.9150,51.0350,0.0111
15.9650,51.0350,0.0105
16.0150,51.0350,0.0108
16.0650,51.0350,0.0108
16.1150,51.0350,0.0109
16.1650,51.0350,0.0111
16.2150,51.0350,0.0104
16.2650,51.0350,0.0106
16.3150,51.0350,0.0106
16.3650,51.0350,0.0106
16.4150,51.0350,0.0106
16.4650,51.0350,0.0107
16.5150,51.0350,0.0099
16.5650,51.0350,0.0099
16.6150,51.0350,0.0099
16.6650,51.0350,0.0099
16.7150,51.0350,0.0099
16.7650,51.0350,0.0092
16.8150,51.0350,0.0099
