province,region,nuts_level,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
DK011,DK011,3,92200.0,6.7,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DK012,DK012,3,118900.0,6.7,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DK013,DK013,3,57700.0,6.7,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DK014,DK014,3,42900.0,6.7,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DK021,DK021,3,43400.0,5.4,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DK022,DK022,3,47800.0,5.4,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DK031,DK031,3,46700.0,6.0,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DK032,DK032,3,61700.0,6.0,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DK041,DK041,3,57600.0,6.4,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DK042,DK042,3,55200.0,6.4,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DK050,DK050,3,51500.0,6.5,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
