lon,lat,pga_g
25.0050,59.6650,0.0106
25.5050,59.6650,0.0104
25.5550,59.6650,0.0104
25.7050,59.6650,0.0104
25.7550,59.6650,0.0099
25.8050,59.6650,0.0099
25.8550,59.6650,0.0099
26.5550,59.6650,0.0098
28.0050,59.6650,0.0290
28.0550,59.6650,0.0282
28.1050,59.6650,0.0223
28.1550,59.6650,0.0281
28.2050,59.6650,0.0214
24.5050,59.6150,0.0111
24.5550,59.6150,0.0111
24.7550,59.6150,0.0120
25.0050,59.6150,0.0106
25.0550,59.6150,0.0106
25.1050,59.6150,0.0106
25.1550,59.6150,0.0106
25.3550,59.6150,0.0118
25.5050,59.6150,0.0104
25.5550,59.6150,0.0104
25.6050,59.6150,0.0104
25.6550,59.6150,0.0104
25.7050,59.6150,0.0104
25.7550,59.6150,0.0099
25.8050,59.6150,0.0099
25.9050,59.6150,0.0103
25.9550,59.6150,0.0099
26.0050,59.6150,0.0098
26.0550,59.6150,0.0094
26.1050,59.6150,0.0094
26.1550,59.6150,0.0099
28.0550,59.6150,0.0223
28.1050,59.6150,0.0242
28.1550,59.6150,0.0242
28.2050,59.6150,0.0213
24.5050,59.5650,0.0111
24.5550,59.5650,0.0111
24.6050,59.5650,0.0111
24.7550,59.5650,0.0124
24.8050,59.5650,0.0114
24.8550,59.5650,0.0114
24.9050,59.5650,0.0114
25.2050,59.5650,0.0106
25.2550,59.5650,0.0117
25.3050,59.5650,0.0117
25.5550,59.5650,0.0104
25.6050,59.5650,0.0104
25.6550,59.5650,0.0104
25.7050,59.5650,0.0104
25.7550,59.5650,0.0104
25.8050,59.5650,0.0104
25.8550,59.5650,0.0104
25.9050,59.5650,0.0104
25.9550,59.5650,0.0099
26.0050,59.5650,0.0099
26.0550,59.5650,0.0099
26.1050,59.5650,0.0099
26.1550,59.5650,0.0099
26.2050,59.5650,0.0099
26.2550,59.5650,0.0099
26.3050,59.5650,0.0099
26.3550,59.5650,0.0099
26.4050,59.5650,0.0099
26.4550,59.5650,0.0099
26.5050,59.5650,0.0098
26.6050,59.5650,0.0097
26.6550,59.5650,0.0092
26.7050,59.5650,0.0092
28.1050,59.5650,0.0242
28.1550,59.5650,0.0269
28.2050,59.5650,0.0231
24.5550,59.5150,0.0111
24.6050,59.5150,0.0122
24.8050,59.5150,0.0124
24.8550,59.5150,0.0114
24.9050,59.5150,0.0114
24.9550,59.5150,0.0120
25.0050,59.5150,0.0121
25.0550,59.5150,0.0121
25.1050,59.5150,0.0122
25.1550,59.5150,0.0121
25.2050,59.5150,0.0117
25.2550,59.5150,0.0117
25.3050,59.5150,0.0117
25.3550,59.5150,0.0118
25.4050,59.5150,0.0118
25.4550,59.5150,0.0114
25.5050,59.5150,0.0113
25.5550,59.5150,0.0113
25.6050,59.5150,0.0113
25.6550,59.5150,0.0109
25.7050,59.5150,0.0109
25.7550,59.5150,0.0109
25.8050,59.5150,0.0104
25.8550,59.5150,0.0109
25.9050,59.5150,0.0104
25.9550,59.5150,0.0109
26.0050,59.5150,0.0104
26.0550,59.5150,0.0104
26.1050,59.5150,0.0104
26.1550,59.5150,0.0099
26.2050,59.5150,0.0104
26.2550,59.5150,0.0099
26.3050,59.5150,0.0103
26.3550,59.5150,0.0099
26.4050,59.5150,0.0099
26.4550,59.5150,0.0099
26.5050,59.5150,0.0098
26.5550,59.5150,0.0098
26.6050,59.5150,0.0098
26.6550,59.5150,0.0092
26.7050,59.5150,0.0092
26.7550,59.5150,0.0094
26.8050,59.5150,0.0096
28.1050,59.5150,0.0269
28.1550,59.5150,0.0275
28.2050,59.5150,0.0250
24.3550,59.4650,0.0130
24.4050,59.4650,0.0126
24.4550,59.4650,0.0126
24.5050,59.4650,0.0127
24.5550,59.4650,0.0127
24.6050,59.4650,0.0128
24.6550,59.4650,0.0123
24.7050,59.4650,0.0123
24.7550,59.4650,0.0124
24.8050,59.4650,0.0124
24.8550,59.4650,0.0125
24.9050,59.4650,0.0120
24.9550,59.4650,0.0120
25.0050,59.4650,0.0121
25.0550,59.4650,0.0121
25.1050,59.4650,0.0122
25.1550,59.4650,0.0122
25.2050,59.4650,0.0122
25.2550,59.4650,0.0117
25.3050,59.4650,0.0122
25.3550,59.4650,0.0118
25.4050,59.4650,0.0118
25.4550,59.4650,0.0118
25.5050,59.4650,0.0113
25.5550,59.4650,0.0118
25.6050,59.4650,0.0113
25.6550,59.4650,0.0114
25.7050,59.4650,0.0114
25.7550,59.4650,0.0113
25.8050,59.4650,0.0113
25.8550,59.4650,0.0112
25.9050,59.4650,0.0110
25.9550,59.4650,0.0109
26.0050,59.4650,0.0108
26.0550,59.4650,0.0108
26.1050,59.4650,0.0108
26.1550,59.4650,0.0108
26.2050,59.4650,0.0108
26.2550,59.4650,0.0104
26.3050,59.4650,0.0104
26.3550,59.4650,0.0103
26.4050,59.4650,0.0103
26.4550,59.4650,0.0103
26.5050,59.4650,0.0099
26.5550,59.4650,0.0103
26.6050,59.4650,0.0098
26.6550,59.4650,0.0098
26.7050,59.4650,0.0097
26.7550,59.4650,0.0097
26.8050,59.4650,0.0096
26.8550,59.4650,0.0096
26.9050,59.4650,0.0095
26.9550,59.4650,0.0094
27.2550,59.4650,0.0085
27.3050,59.4650,0.0083
27.3550,59.4650,0.0083
27.4050,59.4650,0.0082
27.4550,59.4650,0.0082
28.0550,59.4650,0.0349
28.1050,59.4650,0.0349
28.1550,59.4650,0.0296
28.2050,59.4650,0.0321
24.2050,59.4150,0.0137
24.2550,59.4150,0.0134
24.3050,59.4150,0.0134
24.3550,59.4150,0.0130
24.4050,59.4150,0.0130
24.4550,59.4150,0.0131
24.5050,59.4150,0.0127
24.5550,59.4150,0.0131
24.6050,59.4150,0.0128
24.6550,59.4150,0.0128
24.7050,59.4150,0.0128
24.7550,59.4150,0.0125
24.8050,59.4150,0.0129
24.8550,59.4150,0.0125
24.9050,59.4150,0.0129
24.9550,59.4150,0.0125
25.0050,59.4150,0.0126
25.0550,59.4150,0.0126
25.1050,59.4150,0.0126
25.1550,59.4150,0.0126
25.2050,59.4150,0.0122
25.2550,59.4150,0.0122
25.3050,59.4150,0.0122
25.3550,59.4150,0.0123
25.4050,59.4150,0.0123
25.4550,59.4150,0.0124
25.5050,59.4150,0.0119
25.5550,59.4150,0.0124
25.6050,59.4150,0.0119
25.6550,59.4150,0.0119
25.7050,59.4150,0.0119
25.7550,59.4150,0.0119
25.8050,59.4150,0.0119
25.8550,59.4150,0.0113
25.9050,59.4150,0.0119
25.9550,59.4150,0.0113
26.0050,59.4150,0.0116
26.0550,59.4150,0.0113
26.1050,59.4150,0.0111
26.1550,59.4150,0.0113
26.2050,59.4150,0.0108
26.2550,59.4150,0.0112
26.3050,59.4150,0.0108
