lon,lat,pga_g
-3.7250,51.4750,0.0170
-3.6750,51.4750,0.0170
-3.6250,51.4750,0.0171
-3.5750,51.4750,0.0171
-3.5250,51.4750,0.0169
-3.4750,51.4750,0.0186
-3.4250,51.4750,0.0166
-3.3750,51.4750,0.0182
-3.3250,51.4750,0.0178
-3.2750,51.4750,0.0178
-3.2250,51.4750,0.0175
-3.1750,51.4750,0.0175
-3.1250,51.4750,0.0189
-2.8750,51.4750,0.0167
-2.8250,51.4750,0.0182
-2.7750,51.4750,0.0182
-2.7250,51.4750,0.0196
-2.6750,51.4750,0.0187
-2.6250,51.4750,0.0187
-2.5750,51.4750,0.0174
-2.5250,51.4750,0.0174
-2.4750,51.4750,0.0156
-2.4250,51.4750,0.0153
-2.3750,51.4750,0.0139
-2.3250,51.4750,0.0137
-2.2750,51.4750,0.0125
-2.2250,51.4750,0.0125
-2.1750,51.4750,0.0115
-2.1250,51.4750,0.0114
-2.0750,51.4750,0.0109
-2.0250,51.4750,0.0108
-1.9750,51.4750,0.0105
-1.9250,51.4750,0.0104
-1.8750,51.4750,0.0101
-1.8250,51.4750,0.0101
-1.7750,51.4750,0.0099
-1.7250,51.4750,0.0098
-1.6750,51.4750,0.0098
-1.6250,51.4750,0.0095
-1.5750,51.4750,0.0095
-1.5250,51.4750,0.0092
-1.4750,51.4750,0.0092
-1.4250,51.4750,0.0090
-1.3750,51.4750,0.0090
-1.3250,51.4750,0.0087
-1.2750,51.4750,0.0087
-1.2250,51.4750,0.0086
-1.1750,51.4750,0.0085
-1.1250,51.4750,0.0085
-1.0750,51.4750,0.0084
-1.0250,51.4750,0.0084
-0.9750,51.4750,0.0084
-0.9250,51.4750,0.0083
-0.8750,51.4750,0.0083
-0.8250,51.4750,0.0083
-0.7750,51.4750,0.0083
-0.7250,51.4750,0.0083
-0.6750,51.4750,0.0082
-0.6250,51.4750,0.0082
-0.5750,51.4750,0.0082
-0.5250,51.4750,0.0082
-0.4750,51.4750,0.0082
-0.4250,51.4750,0.0082
-0.3750,51.4750,0.0082
-0.3250,51.4750,0.0082
-0.2750,51.4750,0.0082
-0.2250,51.4750,0.0081
-0.1750,51.4750,0.0082
-0.1250,51.4750,0.0081
-0.0750,51.4750,0.0082
-0.0250,51.4750,0.0082
0.0250,51.4750,0.0082
0.0750,51.4750,0.0081
0.1250,51.4750,0.0081
