province,region,nuts_level,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
DE111,DE111,3,118100.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE112,DE112,3,86900.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE113,DE113,3,53000.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE114,DE114,3,37600.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE115,DE115,3,59600.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE116,DE116,3,40500.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE117,DE117,3,67200.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE118,DE118,3,77400.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE119,DE119,3,65500.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE11A,DE11A,3,56900.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE11B,DE11B,3,49600.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE11C,DE11C,3,44000.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE11D,DE11D,3,56400.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE121,DE121,3,70600.0,3.4,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE122,DE122,3,83300.0,3.4,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE123,DE123,3,42900.0,3.4,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE124,DE124,3,50800.0,3.4,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
