province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score
Attica,Attica,26800,13.2,21.5,17.5,2.5
Central Macedonia,Central Macedonia,16200,17.8,22.8,29.3,-1.5
Thessaly,Thessaly,14800,18.5,24.2,31.2,-2.8
Central Greece,Central Greece,17100,16.5,23.5,27.8,-1.2
Western Greece,Western Greece,13800,21.5,24.8,35.2,-3.5
Peloponnese,Peloponnese,16400,16.2,26.5,26.5,-2.0
Epirus,Epirus,14200,19.8,25.0,33.0,-3.0
Western Macedonia,Western Macedonia,16500,25.1,23.5,38.0,-4.5
Eastern Macedonia and Thrace,Eastern Macedonia and Thrace,14500,20.2,22.0,34.5,-3.8
Crete,Crete,16800,13.8,21.0,22.1,0.5
North Aegean,North Aegean,15200,15.5,24.5,25.0,-2.5
South Aegean,South Aegean,19500,11.2,20.5,18.5,1.8
Ionian Islands,Ionian Islands,16900,14.5,23.0,21.8,0.2
