province,region,nuts_level,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
EL301,EL30 Attiki,3,24800.0,10.4,22.8,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL302,EL30 Attiki,3,17600.0,13.2,22.4,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL303,EL30 Attiki,3,32100.0,9.8,23.6,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL304,EL30 Attiki,3,26400.0,10.1,22.9,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL305,EL30 Attiki,3,21200.0,11.5,21.7,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL306,EL30 Attiki,3,16800.0,13.9,20.4,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL307,EL30 Attiki,3,19400.0,11.8,23.2,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL411,EL41 Voreio Aigaio,3,14800.0,13.4,25.6,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL412,EL41 Voreio Aigaio,3,14500.0,13.9,25.2,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL413,EL41 Voreio Aigaio,3,15200.0,12.8,25.0,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL421,EL42 Notio Aigaio,3,20500.0,11.8,20.5,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL422,EL42 Notio Aigaio,3,19800.0,12.1,20.8,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL431,EL43 Kriti,3,17600.0,11.5,21.4,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL432,EL43 Kriti,3,15900.0,12.4,24.8,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL433,EL43 Kriti,3,16400.0,12.0,23.9,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL434,EL43 Kriti,3,17200.0,11.7,22.6,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL511,EL51 Anatoliki Makedonia Thraki,3,13500.0,15.2,23.1,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL512,EL51 Anatoliki Makedonia Thraki,3,12800.0,16.4,22.8,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL513,EL51 Anatoliki Makedonia Thraki,3,12400.0,17.1,22.5,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL514,EL51 Anatoliki Makedonia Thraki,3,13200.0,15.8,23.4,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL515,EL51 Anatoliki Makedonia Thraki,3,14600.0,14.2,23.2,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL521,EL52 Kentriki Makedonia,3,14800.0,13.5,24.2,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL522,EL52 Kentriki Makedonia,3,18400.0,12.4,22.9,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL523,EL52 Kentriki Makedonia,3,13800.0,14.1,25.1,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL524,EL52 Kentriki Makedonia,3,14200.0,13.8,23.6,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL525,EL52 Kentriki Makedonia,3,15100.0,13.2,22.7,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL526,EL52 Kentriki Makedonia,3,13600.0,14.6,25.8,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL527,EL52 Kentriki Makedonia,3,15400.0,12.8,22.3,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL531,EL53 Dytiki Makedonia,3,17800.0,17.6,24.5,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL532,EL53 Dytiki Makedonia,3,13100.0,18.9,25.7,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
EL533,EL53 Dytiki Makedonia,3,13400.0,17.2,25.1,17.8,0.5,TODO_ELSTAT_NA_2023_LFS_2024_POP_2024
