lon,lat,pga_g
-72.3250,83.1250,0.0480
-72.2750,83.1250,0.0480
-72.2250,83.1250,0.0480
-72.1750,83.1250,0.0475
-72.1250,83.1250,0.0475
-72.0750,83.1250,0.0472
-72.0250,83.1250,0.0474
-71.9750,83.1250,0.0475
-71.9250,83.1250,0.0475
-71.8750,83.1250,0.0475
-71.8250,83.1250,0.0475
-71.7750,83.1250,0.0475
-71.7250,83.1250,0.0473
-71.6750,83.1250,0.0470
-71.6250,83.1250,0.0468
-71.5750,83.1250,0.0466
-71.0250,83.1250,0.0465
-70.9750,83.1250,0.0465
-70.9250,83.1250,0.0465
-70.8750,83.1250,0.0465
-70.8250,83.1250,0.0464
-70.7750,83.1250,0.0462
-70.7250,83.1250,0.0465
-70.6750,83.1250,0.0465
-70.6250,83.1250,0.0465
-70.5750,83.1250,0.0465
-70.5250,83.1250,0.0465
-70.4750,83.1250,0.0465
-70.4250,83.1250,0.0463
-70.3750,83.1250,0.0459
-70.3250,83.1250,0.0465
-70.2750,83.1250,0.0465
-70.2250,83.1250,0.0465
-70.1750,83.1250,0.0465
-70.1250,83.1250,0.0465
-70.0750,83.1250,0.0464
-70.0250,83.1250,0.0459
-69.9750,83.1250,0.0457
-69.9250,83.1250,0.0455
-69.8750,83.1250,0.0458
-69.8250,83.1250,0.0458
-69.7750,83.1250,0.0458
-69.7250,83.1250,0.0458
-73.9750,83.0750,0.0476
-72.8750,83.0750,0.0474
-72.8250,83.0750,0.0479
-72.7750,83.0750,0.0479
-72.7250,83.0750,0.0479
-72.6750,83.0750,0.0479
-72.6250,83.0750,0.0479
-72.5750,83.0750,0.0475
-72.5250,83.0750,0.0474
-72.4750,83.0750,0.0471
-72.4250,83.0750,0.0480
-72.3750,83.0750,0.0480
-72.3250,83.0750,0.0480
-72.2750,83.0750,0.0480
-72.2250,83.0750,0.0475
-72.1750,83.0750,0.0475
-72.1250,83.0750,0.0472
-72.0750,83.0750,0.0470
-72.0250,83.0750,0.0468
-71.9750,83.0750,0.0475
-71.9250,83.0750,0.0475
-71.8750,83.0750,0.0475
-71.8250,83.0750,0.0475
-71.7750,83.0750,0.0472
-71.7250,83.0750,0.0470
-71.6750,83.0750,0.0469
-71.6250,83.0750,0.0465
-71.5750,83.0750,0.0463
-71.3250,83.0750,0.0453
-71.2750,83.0750,0.0453
-71.2250,83.0750,0.0453
-71.1750,83.0750,0.0454
-71.1250,83.0750,0.0465
-71.0750,83.0750,0.0465
-71.0250,83.0750,0.0465
-70.9750,83.0750,0.0465
-70.9250,83.0750,0.0465
-70.8750,83.0750,0.0465
-70.8250,83.0750,0.0461
-70.7750,83.0750,0.0459
-70.7250,83.0750,0.0465
-70.6750,83.0750,0.0465
-70.6250,83.0750,0.0465
-70.5750,83.0750,0.0465
-70.5250,83.0750,0.0465
-70.4750,83.0750,0.0460
-70.4250,83.0750,0.0458
-70.3750,83.0750,0.0456
-70.3250,83.0750,0.0463
-70.2750,83.0750,0.0465
-70.2250,83.0750,0.0465
-70.1750,83.0750,0.0465
-70.1250,83.0750,0.0459
-70.0750,83.0750,0.0458
-70.0250,83.0750,0.0457
-69.9750,83.0750,0.0452
-69.9250,83.0750,0.0450
-69.8750,83.0750,0.0458
-69.8250,83.0750,0.0458
-69.7750,83.0750,0.0458
-69.7250,83.0750,0.0458
-69.6750,83.0750,0.0458
-69.6250,83.0750,0.0450
-73.6250,83.0250,0.0471
-73.5750,83.0250,0.0473
-73.5250,83.0250,0.0474
-73.4750,83.0250,0.0474
-73.2750,83.0250,0.0474
-73.2250,83.0250,0.0477
-73.1750,83.0250,0.0479
-73.1250,83.0250,0.0479
-73.0750,83.0250,0.0479
-73.0250,83.0250,0.0479
-72.9750,83.0250,0.0474
-72.9250,83.0250,0.0474
-72.8750,83.0250,0.0472
-72.8250,83.0250,0.0477
-72.7750,83.0250,0.0479
-72.7250,83.0250,0.0479
-72.6750,83.0250,0.0479
-72.6250,83.0250,0.0475
-72.5750,83.0250,0.0475
-72.5250,83.0250,0.0471
-72.4750,83.0250,0.0470
-72.4250,83.0250,0.0471
-72.3750,83.0250,0.0480
-72.3250,83.0250,0.0480
-72.2750,83.0250,0.0475
-72.2250,83.0250,0.0475
-72.1750,83.0250,0.0470
-72.1250,83.0250,0.0470
-72.0750,83.0250,0.0468
-72.0250,83.0250,0.0465
-71.9750,83.0250,0.0475
-71.9250,83.0250,0.0475
-71.8750,83.0250,0.0475
-71.8250,83.0250,0.0470
-71.7750,83.0250,0.0470
-71.7250,83.0250,0.0470
-71.6750,83.0250,0.0465
-71.4250,83.0250,0.0453
-71.3750,83.0250,0.0453
-71.3250,83.0250,0.0453
-71.2750,83.0250,0.0453
-71.2250,83.0250,0.0453
-71.1750,83.0250,0.0453
-71.1250,83.0250,0.0463
-71.0750,83.0250,0.0465
-71.0250,83.0250,0.0465
-70.9750,83.0250,0.0465
-70.9250,83.0250,0.0465
-70.8750,83.0250,0.0459
-70.8250,83.0250,0.0459
-70.7750,83.0250,0.0458
-70.7250,83.0250,0.0462
-70.6750,83.0250,0.0465
-70.6250,83.0250,0.0465
-70.5750,83.0250,0.0465
-70.5250,83.0250,0.0458
-70.4750,83.0250,0.0458
-70.4250,83.0250,0.0453
-70.3750,83.0250,0.0451
-70.3250,83.0250,0.0449
-70.2750,83.0250,0.0464
-70.2250,83.0250,0.0464
-70.1750,83.0250,0.0458
-70.1250,83.0250,0.0458
-70.0750,83.0250,0.0451
-70.0250,83.0250,0.0451
-69.9750,83.0250,0.0449
-69.9250,83.0250,0.0444
-69.8750,83.0250,0.0457
-69.8250,83.0250,0.0458
-69.7750,83.0250,0.0458
-69.7250,83.0250,0.0451
-69.6750,83.0250,0.0450
-69.6250,83.0250,0.0450
-69.5750,83.0250,0.0442
-69.5250,83.0250,0.0441
-69.4750,83.0250,0.0437
-69.4250,83.0250,0.0441
-69.3750,83.0250,0.0441
-69.3250,83.0250,0.0441
-69.2750,83.0250,0.0441
-69.2250,83.0250,0.0441
-69.1750,83.0250,0.0441
-69.1250,83.0250,0.0435
