lon,lat,pga_g
16.1250,48.5750,0.0418
16.1750,48.5750,0.0409
16.2250,48.5750,0.0450
16.2750,48.5750,0.0434
16.3250,48.5750,0.0438
16.3750,48.5750,0.0470
16.4250,48.5750,0.0460
16.4750,48.5750,0.0502
16.5250,48.5750,0.0487
16.5750,48.5750,0.0521
16.6250,48.5750,0.0521
16.6750,48.5750,0.0563
16.7250,48.5750,0.0562
16.7750,48.5750,0.0589
16.8250,48.5750,0.0623
16.8750,48.5750,0.0623
16.9250,48.5750,0.0714
16.9750,48.5750,0.0751
17.0250,48.5750,0.0863
17.0750,48.5750,0.0888
17.1250,48.5750,0.0932
17.1750,48.5750,0.0933
17.2250,48.5750,0.0941
17.2750,48.5750,0.0941
17.3250,48.5750,0.0979
17.3750,48.5750,0.0919
17.4250,48.5750,0.0919
17.4750,48.5750,0.0902
17.5250,48.5750,0.0901
17.5750,48.5750,0.0879
17.6250,48.5750,0.0859
17.6750,48.5750,0.0859
17.7250,48.5750,0.0833
17.7750,48.5750,0.0813
17.8250,48.5750,0.0785
17.8750,48.5750,0.0802
17.9250,48.5750,0.0713
17.9750,48.5750,0.0712
18.0250,48.5750,0.0643
18.0750,48.5750,0.0643
18.1250,48.5750,0.0611
18.1750,48.5750,0.0546
18.2250,48.5750,0.0546
18.2750,48.5750,0.0529
18.3250,48.5750,0.0524
18.3750,48.5750,0.0522
18.4250,48.5750,0.0510
18.4750,48.5750,0.0510
18.5250,48.5750,0.0505
18.5750,48.5750,0.0497
18.6250,48.5750,0.0503
18.6750,48.5750,0.0490
18.7250,48.5750,0.0487
18.7750,48.5750,0.0487
18.8250,48.5750,0.0485
18.8750,48.5750,0.0485
18.9250,48.5750,0.0473
18.9750,48.5750,0.0469
19.0250,48.5750,0.0469
19.0750,48.5750,0.0466
19.1250,48.5750,0.0454
19.1750,48.5750,0.0454
19.2250,48.5750,0.0447
19.2750,48.5750,0.0447
19.3250,48.5750,0.0442
19.3750,48.5750,0.0429
19.4250,48.5750,0.0435
19.4750,48.5750,0.0422
19.5250,48.5750,0.0419
19.5750,48.5750,0.0419
19.6250,48.5750,0.0414
19.6750,48.5750,0.0413
19.7250,48.5750,0.0410
19.7750,48.5750,0.0407
19.8250,48.5750,0.0407
19.8750,48.5750,0.0404
19.9250,48.5750,0.0402
19.9750,48.5750,0.0402
20.0250,48.5750,0.0401
20.0750,48.5750,0.0401
20.1250,48.5750,0.0401
20.1750,48.5750,0.0400
20.2250,48.5750,0.0400
20.2750,48.5750,0.0402
20.3250,48.5750,0.0404
20.3750,48.5750,0.0403
20.4250,48.5750,0.0405
20.4750,48.5750,0.0406
20.5250,48.5750,0.0407
20.5750,48.5750,0.0413
20.6250,48.5750,0.0410
20.6750,48.5750,0.0414
20.7250,48.5750,0.0415
20.7750,48.5750,0.0415
20.8250,48.5750,0.0424
20.8750,48.5750,0.0431
20.9250,48.5750,0.0431
20.9750,48.5750,0.0441
