lon,lat,pga_g
-18.0250,66.5750,0.5863
-17.9750,66.5750,0.6063
-18.0250,66.5250,0.5910
-17.9750,66.5250,0.6149
-16.5750,66.5250,0.0926
-16.5250,66.5250,0.0924
-16.4750,66.5250,0.0924
-16.4250,66.5250,0.0924
-16.3750,66.5250,0.0891
-16.3250,66.5250,0.0891
-16.2750,66.5250,0.0889
-16.2250,66.5250,0.0849
-16.1750,66.5250,0.0835
-16.1250,66.5250,0.0807
-16.0750,66.5250,0.0809
-16.0250,66.5250,0.0810
-15.9750,66.5250,0.0763
-15.9250,66.5250,0.0763
-22.9750,66.4750,0.0220
-22.9250,66.4750,0.0220
-22.8750,66.4750,0.0227
-22.8250,66.4750,0.0229
-22.7750,66.4750,0.0232
-22.6250,66.4750,0.0239
-22.5750,66.4750,0.0239
-22.5250,66.4750,0.0240
-22.4750,66.4750,0.0249
-22.4250,66.4750,0.0250
-22.3750,66.4750,0.0250
-16.5750,66.4750,0.1101
-16.5250,66.4750,0.0990
-16.4750,66.4750,0.0924
-16.4250,66.4750,0.0985
-16.3750,66.4750,0.0892
-16.3250,66.4750,0.0891
-16.2750,66.4750,0.0925
-16.2250,66.4750,0.0849
-16.1750,66.4750,0.0850
-16.1250,66.4750,0.0811
-16.0750,66.4750,0.0811
-16.0250,66.4750,0.0837
-15.9750,66.4750,0.0763
-15.9250,66.4750,0.0763
-23.1250,66.4250,0.0209
-23.0750,66.4250,0.0216
-23.0250,66.4250,0.0219
-22.9750,66.4250,0.0220
-22.9250,66.4250,0.0220
-22.8750,66.4250,0.0228
-22.8250,66.4250,0.0228
-22.7750,66.4250,0.0232
-22.7250,66.4250,0.0232
-22.6750,66.4250,0.0235
-22.6250,66.4250,0.0239
-22.5750,66.4250,0.0239
-22.5250,66.4250,0.0242
-22.4750,66.4250,0.0250
-22.4250,66.4250,0.0250
-22.3750,66.4250,0.0250
-16.5250,66.4250,0.1102
-16.4750,66.4250,0.1102
-16.4250,66.4250,0.0985
-16.3750,66.4250,0.1030
-16.3250,66.4250,0.0925
-16.2750,66.4250,0.0925
-16.2250,66.4250,0.0940
-16.1750,66.4250,0.0892
-16.1250,66.4250,0.0904
-16.0750,66.4250,0.0841
-16.0250,66.4250,0.0841
-15.9750,66.4250,0.0764
-15.9250,66.4250,0.0786
-15.8750,66.4250,0.0786
-15.8250,66.4250,0.0700
-15.7750,66.4250,0.0700
-15.7250,66.4250,0.0701
-23.1750,66.3750,0.0209
-23.1250,66.3750,0.0209
-23.0750,66.3750,0.0216
-23.0250,66.3750,0.0216
-22.9750,66.3750,0.0220
-22.9250,66.3750,0.0220
-22.8750,66.3750,0.0223
-22.8250,66.3750,0.0228
-22.7750,66.3750,0.0229
-22.7250,66.3750,0.0235
-22.6750,66.3750,0.0235
-22.6250,66.3750,0.0237
-22.5750,66.3750,0.0242
-22.5250,66.3750,0.0242
-22.4750,66.3750,0.0250
-22.4250,66.3750,0.0250
-22.3750,66.3750,0.0250
-22.3250,66.3750,0.0264
-22.2750,66.3750,0.0264
-22.2250,66.3750,0.0264
-16.5250,66.3750,0.1102
-16.4750,66.3750,0.1164
-16.4250,66.3750,0.1128
-16.3750,66.3750,0.1030
-16.3250,66.3750,0.1095
-16.2750,66.3750,0.0940
-16.2250,66.3750,0.0942
-16.1750,66.3750,0.0912
-16.1250,66.3750,0.0912
-16.0750,66.3750,0.0935
-16.0250,66.3750,0.0858
-15.9750,66.3750,0.0858
-15.9250,66.3750,0.0788
-15.8750,66.3750,0.0808
-15.8250,66.3750,0.0700
-15.7750,66.3750,0.0706
-15.7250,66.3750,0.0706
-15.6750,66.3750,0.0706
-15.0250,66.3750,0.0441
-14.9750,66.3750,0.0410
-14.9250,66.3750,0.0410
-14.8750,66.3750,0.0386
-14.8250,66.3750,0.0386
-14.7750,66.3750,0.0388
-14.7250,66.3750,0.0388
-14.6750,66.3750,0.0388
-14.6250,66.3750,0.0388
-14.5750,66.3750,0.0388
-14.5250,66.3750,0.0388
-23.1750,66.3250,0.0209
-23.1250,66.3250,0.0209
-23.0750,66.3250,0.0216
-23.0250,66.3250,0.0216
-22.9750,66.3250,0.0216
-22.9250,66.3250,0.0223
-22.8750,66.3250,0.0223
-22.8250,66.3250,0.0228
-22.7750,66.3250,0.0230
-22.7250,66.3250,0.0230
-22.6750,66.3250,0.0237
-22.6250,66.3250,0.0237
-22.5750,66.3250,0.0238
-22.5250,66.3250,0.0242
-22.4750,66.3250,0.0247
-22.4250,66.3250,0.0249
-22.3750,66.3250,0.0255
-22.3250,66.3250,0.0255
-22.2750,66.3250,0.0264
-22.2250,66.3250,0.0272
-22.1750,66.3250,0.0273
-16.4750,66.3250,0.1164
-16.4250,66.3250,0.1214
-16.3750,66.3250,0.1095
-16.3250,66.3250,0.1095
-16.2750,66.3250,0.1126
-16.2250,66.3250,0.1013
-16.1750,66.3250,0.1057
-16.1250,66.3250,0.0938
-16.0750,66.3250,0.0938
-16.0250,66.3250,0.0868
-15.9750,66.3250,0.0892
-15.9250,66.3250,0.0892
-15.8750,66.3250,0.0817
-15.8250,66.3250,0.0818
-15.7750,66.3250,0.0706
-15.7250,66.3250,0.0706
-15.6750,66.3250,0.0706
-15.1250,66.3250,0.0482
-15.0750,66.3250,0.0449
-15.0250,66.3250,0.0441
-14.9750,66.3250,0.0441
-14.9250,66.3250,0.0410
-14.8750,66.3250,0.0410
-14.8250,66.3250,0.0388
-14.7750,66.3250,0.0388
-14.7250,66.3250,0.0388
-22.9250,66.2750,0.0222
-22.8750,66.2750,0.0222
-22.8250,66.2750,0.0229
-22.7750,66.2750,0.0229
-22.7250,66.2750,0.0230
-22.6750,66.2750,0.0236
-22.6250,66.2750,0.0236
-22.5750,66.2750,0.0242
-22.5250,66.2750,0.0242
-22.4750,66.2750,0.0247
-22.4250,66.2750,0.0247
-22.3750,66.2750,0.0254
-22.3250,66.2750,0.0260
-22.2750,66.2750,0.0260
-22.2250,66.2750,0.0273
-22.1750,66.2750,0.0273
-22.1250,66.2750,0.0274
-22.0750,66.2750,0.0277
-22.0250,66.2750,0.0289
-21.9750,66.2750,0.0289
-21.9250,66.2750,0.0289
-16.4250,66.2750,0.1214
-16.3750,66.2750,0.1261
-16.3250,66.2750,0.1126
-16.2750,66.2750,0.1127
-16.2250,66.2750,0.1083
-16.1750,66.2750,0.1067
-16.1250,66.2750,0.1121
-16.0750,66.2750,0.0977
-16.0250,66.2750,0.0977
-15.9750,66.2750,0.0900
-15.9250,66.2750,0.0921
-15.8750,66.2750,0.0826
-15.8250,66.2750,0.0830
-15.7750,66.2750,0.0830
-15.7250,66.2750,0.0827
-15.6750,66.2750,0.0746
-15.3250,66.2750,0.0558
-15.2750,66.2750,0.0558
-15.2250,66.2750,0.0520
-15.1750,66.2750,0.0520
-15.1250,66.2750,0.0482
-15.0750,66.2750,0.0482
-15.0250,66.2750,0.0441
-14.9750,66.2750,0.0443
-14.9250,66.2750,0.0443
-23.4750,66.2250,0.0195
-23.4250,66.2250,0.0195
-22.9750,66.2250,0.0222
-22.9250,66.2250,0.0222
-22.8750,66.2250,0.0223
-22.8250,66.2250,0.0229
-22.7750,66.2250,0.0229
-22.7250,66.2250,0.0232
-22.6750,66.2250,0.0236
-22.6250,66.2250,0.0236
-22.5750,66.2250,0.0239
-22.5250,66.2250,0.0242
-22.4750,66.2250,0.0243
-22.4250,66.2250,0.0250
-22.3750,66.2250,0.0250
-22.3250,66.2250,0.0259
-22.2750,66.2250,0.0264
-22.2250,66.2250,0.0264
-22.1750,66.2250,0.0273
-22.1250,66.2250,0.0277
-22.0750,66.2250,0.0277
-22.0250,66.2250,0.0289
-21.9750,66.2250,0.0289
-21.9250,66.2250,0.0292
-21.8750,66.2250,0.0299
-18.8250,66.2250,0.1970
-18.7750,66.2250,0.1971
-17.2250,66.2250,0.3020
-17.1750,66.2250,0.2874
-17.1250,66.2250,0.2659
-17.0750,66.2250,0.2620
-17.0250,66.2250,0.2620
-16.9750,66.2250,0.2631
-16.5250,66.2250,0.1459
-16.4750,66.2250,0.1459
-16.4250,66.2250,0.1263
-16.3750,66.2250,0.1261
-16.3250,66.2250,0.1307
-16.2750,66.2250,0.1169
-16.2250,66.2250,0.1203
-16.1750,66.2250,0.1122
-16.1250,66.2250,0.1122
-16.0750,66.2250,0.1124
-16.0250,66.2250,0.1043
-15.9750,66.2250,0.1043
-15.9250,66.2250,0.0947
-15.8750,66.2250,0.0947
-15.8250,66.2250,0.0830
-15.7750,66.2250,0.0849
-15.7250,66.2250,0.0849
-15.6750,66.2250,0.0746
-15.6250,66.2250,0.0746
-15.5750,66.2250,0.0686
-15.5250,66.2250,0.0678
-15.3750,66.2250,0.0558
-15.3250,66.2250,0.0558
-15.2750,66.2250,0.0558
-15.2250,66.2250,0.0520
-15.1750,66.2250,0.0520
-15.1250,66.2250,0.0482
-15.0750,66.2250,0.0483
-15.0250,66.2250,0.0483
-14.9750,66.2250,0.0443
-14.9250,66.2250,0.0441
-23.5750,66.1750,0.0192
-23.5250,66.1750,0.0195
-23.4750,66.1750,0.0195
-23.4250,66.1750,0.0195
-23.3750,66.1750,0.0201
-23.3250,66.1750,0.0201
-23.2750,66.1750,0.0201
-23.2250,66.1750,0.0208
-23.1750,66.1750,0.0208
-22.9250,66.1750,0.0223
-22.8750,66.1750,0.0225
-22.8250,66.1750,0.0225
-22.7750,66.1750,0.0232
-22.7250,66.1750,0.0232
-22.6750,66.1750,0.0234
-22.6250,66.1750,0.0238
-22.5750,66.1750,0.0238
-22.5250,66.1750,0.0241
-22.4750,66.1750,0.0245
-22.4250,66.1750,0.0245
-22.3750,66.1750,0.0255
-22.3250,66.1750,0.0255
-22.2750,66.1750,0.0264
-22.2250,66.1750,0.0268
-22.1750,66.1750,0.0268
-22.1250,66.1750,0.0277
-22.0750,66.1750,0.0280
-22.0250,66.1750,0.0286
-21.9750,66.1750,0.0292
-21.9250,66.1750,0.0292
-21.8750,66.1750,0.0300
-21.8250,66.1750,0.0304
-21.7750,66.1750,0.0304
-21.7250,66.1750,0.0307
-19.0750,66.1750,0.1580
-19.0250,66.1750,0.1610
-18.9750,66.1750,0.1821
-18.9250,66.1750,0.1821
-18.8750,66.1750,0.1970
-18.8250,66.1750,0.1970
-18.7750,66.1750,0.1970
-18.7250,66.1750,0.2131
-18.6750,66.1750,0.2131
-18.6250,66.1750,0.2130
-18.2750,66.1750,0.4585
-18.2250,66.1750,0.4585
-18.1750,66.1750,0.4568
-18.1250,66.1750,0.5512
-18.0750,66.1750,0.5512
-18.0250,66.1750,0.6456
-17.9750,66.1750,0.6456
-17.9250,66.1750,0.6454
-17.8750,66.1750,0.4661
-17.8250,66.1750,0.4842
-17.2750,66.1750,0.4033
-17.2250,66.1750,0.4019
-17.1750,66.1750,0.2874
-17.1250,66.1750,0.2874
-17.0750,66.1750,0.2620
-17.0250,66.1750,0.2653
-16.9750,66.1750,0.2694
-16.6750,66.1750,0.1920
-16.6250,66.1750,0.1900
-16.5750,66.1750,0.1681
-16.5250,66.1750,0.1681
-16.4750,66.1750,0.1459
-16.4250,66.1750,0.1448
-16.3750,66.1750,0.1307
-16.3250,66.1750,0.1309
-16.2750,66.1750,0.1330
-16.2250,66.1750,0.1206
-16.1750,66.1750,0.1282
-16.1250,66.1750,0.1159
-16.0750,66.1750,0.1159
-16.0250,66.1750,0.1065
-15.9750,66.1750,0.1085
-15.9250,66.1750,0.1045
-15.8750,66.1750,0.0962
-15.8250,66.1750,0.0962
-15.7750,66.1750,0.0849
-15.7250,66.1750,0.0861
-15.6750,66.1750,0.0746
-15.6250,66.1750,0.0746
-15.5750,66.1750,0.0764
-15.5250,66.1750,0.0678
-15.4750,66.1750,0.0686
-15.4250,66.1750,0.0685
-15.3750,66.1750,0.0626
-15.3250,66.1750,0.0558
-15.2750,66.1750,0.0554
-15.2250,66.1750,0.0553
-15.1750,66.1750,0.0518
-15.1250,66.1750,0.0518
-15.0750,66.1750,0.0483
-15.0250,66.1750,0.0483
-14.9750,66.1750,0.0441
-14.9250,66.1750,0.0441
-23.6750,66.1250,0.0188
-23.6250,66.1250,0.0189
-23.5750,66.1250,0.0192
-23.5250,66.1250,0.0192
-23.4750,66.1250,0.0195
-23.4250,66.1250,0.0198
-23.3750,66.1250,0.0199
-23.3250,66.1250,0.0201
-23.2750,66.1250,0.0205
-23.2250,66.1250,0.0208
-23.1750,66.1250,0.0208
-23.1250,66.1250,0.0211
-23.0750,66.1250,0.0215
-23.0250,66.1250,0.0218
-22.7750,66.1250,0.0232
-22.7250,66.1250,0.0234
-22.6750,66.1250,0.0234
-22.6250,66.1250,0.0234
-22.5750,66.1250,0.0241
-22.5250,66.1250,0.0241
-22.4750,66.1250,0.0245
-22.4250,66.1250,0.0247
-22.3750,66.1250,0.0247
-22.3250,66.1250,0.0259
-22.2750,66.1250,0.0259
-22.2250,66.1250,0.0268
-22.1750,66.1250,0.0272
-22.1250,66.1250,0.0272
-22.0750,66.1250,0.0280
-22.0250,66.1250,0.0284
-21.9750,66.1250,0.0286
-21.9250,66.1250,0.0295
-21.8750,66.1250,0.0296
-21.8250,66.1250,0.0304
-21.7750,66.1250,0.0307
-21.7250,66.1250,0.0307
-20.3250,66.1250,0.0604
-20.2750,66.1250,0.0622
-20.2250,66.1250,0.0622
-20.1750,66.1250,0.0678
-20.1250,66.1250,0.0678
-20.0750,66.1250,0.0678
-19.0750,66.1250,0.1580
-19.0250,66.1250,0.1580
-18.9750,66.1250,0.1821
-18.9250,66.1250,0.1820
-18.8750,66.1250,0.1761
-18.8250,66.1250,0.1970
-18.7750,66.1250,0.1793
-18.7250,66.1250,0.2131
-18.6750,66.1250,0.2131
-18.6250,66.1250,0.1988
-18.3250,66.1250,0.2431
-18.2750,66.1250,0.4547
-18.2250,66.1250,0.4565
-18.1750,66.1250,0.3318
-18.1250,66.1250,0.5512
-18.0750,66.1250,0.3657
-18.0250,66.1250,0.3887
-17.9750,66.1250,0.6456
-17.9250,66.1250,0.4209
-17.8750,66.1250,0.4279
-17.8250,66.1250,0.4842
-17.3750,66.1250,0.6560
-17.3250,66.1250,0.6560
-17.2750,66.1250,0.4033
-17.2250,66.1250,0.4033
-17.1750,66.1250,0.2874
-17.1250,66.1250,0.2874
-17.0750,66.1250,0.3462
-17.0250,66.1250,0.2694
-16.9750,66.1250,0.3033
-16.9250,66.1250,0.3044
-16.8750,66.1250,0.2773
-16.8250,66.1250,0.2709
-16.7750,66.1250,0.2301
-16.7250,66.1250,0.2301
-16.6750,66.1250,0.1920
-16.6250,66.1250,0.1920
-16.5750,66.1250,0.1681
-16.5250,66.1250,0.1594
-16.4750,66.1250,0.1557
-16.4250,66.1250,0.1448
-16.3750,66.1250,0.1476
-16.3250,66.1250,0.1337
-16.2750,66.1250,0.1372
-16.2250,66.1250,0.1283
-16.1750,66.1250,0.1283
-16.1250,66.1250,0.1351
-16.0750,66.1250,0.1206
-16.0250,66.1250,0.1206
-15.9750,66.1250,0.1147
-15.9250,66.1250,0.1148
-15.8750,66.1250,0.0962
-15.8250,66.1250,0.0997
-15.7750,66.1250,0.0997
-15.7250,66.1250,0.0861
-15.6750,66.1250,0.0873
-15.6250,66.1250,0.0764
-15.5750,66.1250,0.0765
-15.5250,66.1250,0.0687
-15.4750,66.1250,0.0686
-15.4250,66.1250,0.0681
-15.3750,66.1250,0.0626
-15.3250,66.1250,0.0626
-15.2750,66.1250,0.0558
-15.2250,66.1250,0.0558
-15.1750,66.1250,0.0518
-15.1250,66.1250,0.0518
-15.0750,66.1250,0.0495
-23.8250,66.0750,0.0186
-23.7750,66.0750,0.0186
-23.7250,66.0750,0.0186
-23.6750,66.0750,0.0188
-23.6250,66.0750,0.0189
-23.5750,66.0750,0.0190
-23.5250,66.0750,0.0192
-23.4750,66.0750,0.0192
-23.4250,66.0750,0.0198
-23.3750,66.0750,0.0199
-23.3250,66.0750,0.0202
-23.2750,66.0750,0.0205
-23.2250,66.0750,0.0208
-23.1750,66.0750,0.0211
-23.1250,66.0750,0.0211
-23.0750,66.0750,0.0215
-23.0250,66.0750,0.0218
-22.9750,66.0750,0.0218
-22.9250,66.0750,0.0221
-22.8250,66.0750,0.0229
-22.7750,66.0750,0.0232
-22.7250,66.0750,0.0234
-22.6750,66.0750,0.0234
-22.5750,66.0750,0.0241
-22.5250,66.0750,0.0241
-22.4750,66.0750,0.0245
-22.4250,66.0750,0.0246
-22.3750,66.0750,0.0251
-22.3250,66.0750,0.0251
-22.2750,66.0750,0.0260
-22.2250,66.0750,0.0263
-22.1750,66.0750,0.0271
-22.1250,66.0750,0.0276
-22.0750,66.0750,0.0276
-22.0250,66.0750,0.0284
-21.9750,66.0750,0.0287
-21.9250,66.0750,0.0288
-21.8750,66.0750,0.0296
-21.8250,66.0750,0.0299
-21.7750,66.0750,0.0307
-21.7250,66.0750,0.0310
-21.6750,66.0750,0.0310
-21.6250,66.0750,0.0320
-21.5750,66.0750,0.0320
-21.5250,66.0750,0.0320
-21.4750,66.0750,0.0322
-20.4250,66.0750,0.0566
-20.3750,66.0750,0.0566
-20.3250,66.0750,0.0566
-20.2750,66.0750,0.0622
-20.2250,66.0750,0.0628
-20.1750,66.0750,0.0630
-20.1250,66.0750,0.0678
-20.0750,66.0750,0.0687
-20.0250,66.0750,0.0687
-19.4250,66.0750,0.1319
-19.3750,66.0750,0.1319
-19.3250,66.0750,0.1319
-19.2750,66.0750,0.1353
-19.2250,66.0750,0.1353
-19.1750,66.0750,0.1377
-19.1250,66.0750,0.1451
-19.0750,66.0750,0.1452
-19.0250,66.0750,0.1580
-18.9750,66.0750,0.1481
-18.9250,66.0750,0.1760
-18.8750,66.0750,0.1752
-18.8250,66.0750,0.1606
-18.7750,66.0750,0.1793
-18.7250,66.0750,0.1623
-18.6750,66.0750,0.1988
-18.6250,66.0750,0.1988
-18.5750,66.0750,0.1750
-18.5250,66.0750,0.1742
-18.3250,66.0750,0.2396
-18.2750,66.0750,0.2396
-18.2250,66.0750,0.2816
-18.1750,66.0750,0.3183
-18.1250,66.0750,0.2565
-18.0750,66.0750,0.3657
-18.0250,66.0750,0.2755
-17.9750,66.0750,0.4200
-17.9250,66.0750,0.4209
