lon,lat,pga_g
-7.4250,55.3750,0.0000
-7.3750,55.3750,0.0000
-7.3250,55.3750,0.0000
-7.2750,55.3750,0.0000
-7.2250,55.3750,0.0000
-7.1750,55.3750,0.0000
-5.8250,55.3750,0.0000
-5.7750,55.3750,0.0000
-5.7250,55.3750,0.0000
-5.6750,55.3750,0.0000
-5.6250,55.3750,0.0000
-5.5750,55.3750,0.0000
-5.5250,55.3750,0.0051
-7.4750,55.3250,0.0000
-7.4250,55.3250,0.0000
-7.3750,55.3250,0.0000
-7.3250,55.3250,0.0000
-7.2750,55.3250,0.0000
-7.2250,55.3250,0.0000
-7.1750,55.3250,0.0000
-7.1250,55.3250,0.0000
-6.2750,55.3250,0.0000
-6.2250,55.3250,0.0000
-6.1750,55.3250,0.0000
-5.8250,55.3250,0.0000
-5.7750,55.3250,0.0000
-5.7250,55.3250,0.0000
-5.6750,55.3250,0.0000
-5.6250,55.3250,0.0000
-5.5750,55.3250,0.0000
-5.5250,55.3250,0.0020
-8.2750,55.2750,0.0000
-8.2250,55.2750,0.0000
-8.1750,55.2750,0.0000
-7.8250,55.2750,0.0000
-7.7750,55.2750,0.0000
-7.7250,55.2750,0.0000
-7.6750,55.2750,0.0000
-7.6250,55.2750,0.0000
-7.5250,55.2750,0.0000
-7.4750,55.2750,0.0000
-7.4250,55.2750,0.0000
-7.3750,55.2750,0.0000
-7.3250,55.2750,0.0000
-7.2750,55.2750,0.0000
-7.2250,55.2750,0.0000
-7.1750,55.2750,0.0000
-7.1250,55.2750,0.0000
-7.0750,55.2750,0.0000
-7.0250,55.2750,0.0000
-6.9750,55.2750,0.0000
-6.9250,55.2750,0.0000
-6.5250,55.2750,0.0000
-6.4750,55.2750,0.0000
-6.3750,55.2750,0.0000
-6.2750,55.2750,0.0000
-6.2250,55.2750,0.0000
-6.1750,55.2750,0.0000
-5.7750,55.2750,0.0000
-5.7250,55.2750,0.0000
-5.5750,55.2750,0.0000
-8.1750,55.2250,0.0000
-8.0250,55.2250,0.0000
-7.9750,55.2250,0.0000
-7.9250,55.2250,0.0000
-7.8750,55.2250,0.0000
-7.8250,55.2250,0.0000
-7.7750,55.2250,0.0000
-7.7250,55.2250,0.0000
-7.6750,55.2250,0.0000
-7.6250,55.2250,0.0000
-7.5750,55.2250,0.0000
-7.5250,55.2250,0.0000
-7.4750,55.2250,0.0000
-7.4250,55.2250,0.0000
-7.3750,55.2250,0.0000
-7.3250,55.2250,0.0000
-7.2750,55.2250,0.0000
-7.2250,55.2250,0.0000
-7.1750,55.2250,0.0000
-7.1250,55.2250,0.0000
-7.0750,55.2250,0.0000
-7.0250,55.2250,0.0000
-6.9750,55.2250,0.0000
-6.9250,55.2250,0.0000
-6.7250,55.2250,0.0000
-6.6750,55.2250,0.0000
-6.6250,55.2250,0.0000
-6.5750,55.2250,0.0000
-6.5250,55.2250,0.0000
-6.4750,55.2250,0.0000
-6.4250,55.2250,0.0000
-6.3750,55.2250,0.0000
-6.3250,55.2250,0.0000
-6.2750,55.2250,0.0000
-6.2250,55.2250,0.0000
-6.1750,55.2250,0.0000
-6.1250,55.2250,0.0000
-6.0750,55.2250,0.0000
-8.2750,55.1750,0.0000
-8.2250,55.1750,0.0000
-8.1750,55.1750,0.0000
-8.1250,55.1750,0.0000
-8.0750,55.1750,0.0000
-8.0250,55.1750,0.0000
-7.9750,55.1750,0.0000
-7.9250,55.1750,0.0000
-7.8750,55.1750,0.0000
-7.8250,55.1750,0.0000
-7.7750,55.1750,0.0000
-7.7250,55.1750,0.0000
-7.6750,55.1750,0.0000
-7.6250,55.1750,0.0000
-7.5750,55.1750,0.0000
-7.5250,55.1750,0.0000
-7.4750,55.1750,0.0000
-7.4250,55.1750,0.0000
-7.3750,55.1750,0.0000
-7.3250,55.1750,0.0000
-7.2750,55.1750,0.0000
-7.2250,55.1750,0.0000
-7.1750,55.1750,0.0000
-7.1250,55.1750,0.0000
-7.0750,55.1750,0.0000
-7.0250,55.1750,0.0000
