lon,lat,pga_g
35.2250,33.3750,0.2146
35.2750,33.3750,0.2427
35.3250,33.3750,0.2408
35.3750,33.3750,0.2643
35.4250,33.3750,0.3154
35.4750,33.3750,0.3953
35.5250,33.3750,0.3953
35.5750,33.3750,0.4851
35.6250,33.3750,0.4838
35.6750,33.3750,0.4250
35.7250,33.3750,0.4135
35.7750,33.3750,0.3895
35.8250,33.3750,0.3260
35.8750,33.3750,0.3044
35.2250,33.3250,0.2146
35.2750,33.3250,0.2146
35.3250,33.3250,0.2408
35.3750,33.3250,0.2619
35.4250,33.3250,0.3154
35.4750,33.3250,0.3954
35.5250,33.3250,0.3954
35.5750,33.3250,0.4823
35.6250,33.3250,0.4459
35.6750,33.3250,0.4049
35.7250,33.3250,0.3499
35.7750,33.3250,0.3470
35.8250,33.3250,0.3038
35.8750,33.3250,0.2724
35.1750,33.2750,0.2084
35.2250,33.2750,0.2052
35.2750,33.2750,0.2051
35.3250,33.2750,0.2333
35.3750,33.2750,0.2611
35.4250,33.2750,0.3135
35.4750,33.2750,0.3148
35.5250,33.2750,0.3823
35.5750,33.2750,0.4542
35.6250,33.2750,0.4185
35.6750,33.2750,0.3895
35.7250,33.2750,0.3885
35.7750,33.2750,0.3270
35.8250,33.2750,0.3038
35.8750,33.2750,0.2609
35.1750,33.2250,0.2002
35.2250,33.2250,0.2052
35.2750,33.2250,0.2052
35.3250,33.2250,0.2333
35.3750,33.2250,0.2615
35.4250,33.2250,0.3128
35.4750,33.2250,0.3128
35.5250,33.2250,0.3691
35.5750,33.2250,0.4255
35.6250,33.2250,0.3894
35.6750,33.2250,0.3532
35.7250,33.2250,0.3532
35.7750,33.2250,0.3135
35.8250,33.2250,0.2882
35.8750,33.2250,0.2581
35.1750,33.1750,0.2001
35.2250,33.1750,0.2003
35.2750,33.1750,0.2110
35.3250,33.1750,0.2368
35.3750,33.1750,0.2636
35.4250,33.1750,0.3148
35.4750,33.1750,0.3148
35.5250,33.1750,0.3691
35.5750,33.1750,0.3995
35.6250,33.1750,0.3893
35.6750,33.1750,0.3423
35.7250,33.1750,0.3423
35.7750,33.1750,0.3132
35.8250,33.1750,0.2830
35.8750,33.1750,0.2635
35.1250,33.1250,0.1920
35.1750,33.1250,0.1951
35.2250,33.1250,0.2054
35.2750,33.1250,0.2126
35.3250,33.1250,0.2353
35.3750,33.1250,0.2610
35.4250,33.1250,0.2646
35.4750,33.1250,0.3115
35.5250,33.1250,0.3540
35.5750,33.1250,0.3940
35.6250,33.1250,0.3739
35.6750,33.1250,0.3718
35.7250,33.1250,0.3421
35.7750,33.1250,0.3080
35.8250,33.1250,0.2875
35.8750,33.1250,0.2673
35.0750,33.0750,0.1929
35.1250,33.0750,0.1929
35.1750,33.0750,0.2008
35.2250,33.0750,0.2014
35.2750,33.0750,0.2118
35.3250,33.0750,0.2353
35.3750,33.0750,0.2594
35.4250,33.0750,0.2594
