province,region,nuts_level,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
ITC11,ITC1 Piemonte,3,30800.0,6.9,25.3,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC12,ITC1 Piemonte,3,24400.0,7.4,27.8,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC13,ITC1 Piemonte,3,25100.0,7.5,27.1,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC14,ITC1 Piemonte,3,24800.0,6.8,27.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC15,ITC1 Piemonte,3,27400.0,6.9,24.7,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC16,ITC1 Piemonte,3,27200.0,4.6,24.9,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC17,ITC1 Piemonte,3,24100.0,7.6,26.3,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC18,ITC1 Piemonte,3,25800.0,7.6,27.5,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC20,ITC2 Valle d'Aosta,3,33900.0,6.9,24.1,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC31,ITC3 Liguria,3,24300.0,8.9,28.2,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC32,ITC3 Liguria,3,26200.0,8.2,29.1,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC33,ITC3 Liguria,3,28300.0,7.6,28.9,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC34,ITC3 Liguria,3,25400.0,8.1,27.8,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC41,ITC4 Lombardia,3,26400.0,5.8,22.6,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC42,ITC4 Lombardia,3,28100.0,5.4,22.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC43,ITC4 Lombardia,3,27500.0,4.4,23.0,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC44,ITC4 Lombardia,3,26900.0,4.8,24.2,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC46,ITC4 Lombardia,3,30200.0,5.0,22.3,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC47,ITC4 Lombardia,3,31300.0,5.4,22.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC48,ITC4 Lombardia,3,27800.0,6.7,25.4,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC49,ITC4 Lombardia,3,27400.0,5.9,22.5,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
ITC4A,ITC4 Lombardia,3,28500.0,5.8,24.9,8.5,0.5,TODO_ISTAT_CN_2023_LFS_2024_POP_2024
