lon,lat,pga_g
6.0,35.0,0.05
6.05,35.0,0.05
6.1,35.0,0.05
6.15,35.0,0.05
6.2,35.0,0.05
6.25,35.0,0.05
6.3,35.0,0.05
6.35,35.0,0.05
6.4,35.0,0.05
6.45,35.0,0.05
6.5,35.0,0.05
6.55,35.0,0.05
6.6,35.0,0.05
6.65,35.0,0.05
6.7,35.0,0.05
6.75,35.0,0.05
6.8,35.0,0.05
6.85,35.0,0.05
6.9,35.0,0.05
6.95,35.0,0.05
7.0,35.0,0.05
7.05,35.0,0.05
7.1,35.0,0.05
7.15,35.0,0.05
7.2,35.0,0.05
7.25,35.0,0.05
7.3,35.0,0.05
7.35,35.0,0.05
7.4,35.0,0.05
7.45,35.0,0.05
7.5,35.0,0.05
7.55,35.0,0.05
7.6,35.0,0.05
7.65,35.0,0.05
7.7,35.0,0.05
7.75,35.0,0.05
7.8,35.0,0.05
7.85,35.0,0.05
7.9,35.0,0.05
7.95,35.0,0.05
8.0,35.0,0.05
8.05,35.0,0.05
8.1,35.0,0.05
8.15,35.0,0.05
8.2,35.0,0.05
8.25,35.0,0.05
8.3,35.0,0.05
8.35,35.0,0.05
8.4,35.0,0.05
8.45,35.0,0.05
8.5,35.0,0.05
8.55,35.0,0.05
8.6,35.0,0.05
8.65,35.0,0.05
8.7,35.0,0.05
8.75,35.0,0.05
8.8,35.0,0.05
8.85,35.0,0.05
8.9,35.0,0.05
8.95,35.0,0.05
9.0,35.0,0.05
9.05,35.0,0.05
9.1,35.0,0.05
9.15,35.0,0.05
9.2,35.0,0.05
9.25,35.0,0.05
9.3,35.0,0.05
9.35,35.0,0.05
9.4,35.0,0.05
9.45,35.0,0.05
9.5,35.0,0.05
9.55,35.0,0.05
9.6,35.0,0.05
9.65,35.0,0.05
9.7,35.0,0.05
9.75,35.0,0.05
9.8,35.0,0.05
9.85,35.0,0.05
9.9,35.0,0.05
9.95,35.0,0.05
10.0,35.0,0.05
10.05,35.0,0.05
10.1,35.0,0.05
10.15,35.0,0.05
10.2,35.0,0.05
10.25,35.0,0.05
10.3,35.0,0.05
10.35,35.0,0.05
10.4,35.0,0.05
10.45,35.0,0.05
10.5,35.0,0.05
10.55,35.0,0.05
10.6,35.0,0.05
10.65,35.0,0.05
10.7,35.0,0.05
10.75,35.0,0.05
10.8,35.0,0.05
10.85,35.0,0.05
10.9,35.0,0.05
10.95,35.0,0.05
11.0,35.0,0.05
11.05,35.0,0.05
11.1,35.0,0.05
11.15,35.0,0.05
11.2,35.0,0.05
11.25,35.0,0.05
11.3,35.0,0.05
11.35,35.0,0.05
11.4,35.0,0.05
11.45,35.0,0.05
11.5,35.0,0.05
11.55,35.0,0.05
11.6,35.0,0.05
11.65,35.0,0.05
11.7,35.0,0.05
11.75,35.0,0.05
11.8,35.0,0.05
11.85,35.0,0.05
11.9,35.0,0.05
11.95,35.0,0.05
12.0,35.0,0.12
12.05,35.0,0.12
12.1,35.0,0.12
12.15,35.0,0.12
12.2,35.0,0.12
12.25,35.0,0.12
12.3,35.0,0.12
12.35,35.0,0.12
12.4,35.0,0.12
12.45,35.0,0.12
12.5,35.0,0.12
12.55,35.0,0.12
12.6,35.0,0.12
12.65,35.0,0.12
12.7,35.0,0.12
12.75,35.0,0.12
12.8,35.0,0.12
12.85,35.0,0.12
12.9,35.0,0.12
12.95,35.0,0.12
13.0,35.0,0.12
13.05,35.0,0.12
13.1,35.0,0.12
13.15,35.0,0.12
13.2,35.0,0.12
13.25,35.0,0.12
13.3,35.0,0.12
13.35,35.0,0.12
13.4,35.0,0.12
13.45,35.0,0.12
13.5,35.0,0.12
13.55,35.0,0.12
