province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
Hokkaido,01,26189.0,2.6,33.6,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Aomori,02,22838.0,2.8,35.3,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Iwate,03,23875.0,2.4,34.9,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Miyagi,04,25249.0,2.7,29.2,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Akita,05,22911.0,2.4,39.0,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Yamagata,06,24736.0,2.3,35.4,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Fukushima,07,25743.0,2.4,32.9,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Ibaraki,08,27440.0,2.5,30.8,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Tochigi,09,29570.0,2.5,30.4,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Gunma,10,28264.0,2.4,31.2,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Saitama,11,23772.0,2.7,28.0,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Chiba,12,25249.0,2.7,28.7,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Tokyo,13,46695.0,2.8,23.5,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Kanagawa,14,28996.0,2.7,26.0,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Niigata,15,26421.0,2.4,33.6,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Toyama,16,29435.0,2.1,33.7,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Ishikawa,17,28245.0,2.0,31.2,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Fukui,18,30131.0,1.9,31.5,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Yamanashi,19,26372.0,2.0,32.0,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Nagano,20,26903.0,2.0,33.2,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Gifu,21,26115.0,2.0,31.4,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Shizuoka,22,28148.0,2.1,31.1,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Aichi,23,33006.0,2.2,26.0,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Mie,24,29521.0,2.0,31.0,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Shiga,25,30046.0,2.0,27.0,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
Kyoto,26,25841.0,2.9,30.3,10.0,0.5,P15-F-5 Cabinet Office Pref Accounts FY2021 + MIC LFS/Pop 2024
