lon,lat,pga_g
122.0250,45.9750,0.0102
122.0750,45.9750,0.0105
122.1250,45.9750,0.0105
122.1750,45.9750,0.0108
122.2250,45.9750,0.0113
122.2750,45.9750,0.0113
122.3250,45.9750,0.0118
122.3750,45.9750,0.0126
122.4250,45.9750,0.0131
122.4750,45.9750,0.0131
122.5250,45.9750,0.0135
122.5750,45.9750,0.0142
122.6250,45.9750,0.0145
122.6750,45.9750,0.0145
122.7250,45.9750,0.0151
122.7750,45.9750,0.0162
122.8250,45.9750,0.0157
122.8750,45.9750,0.0167
122.9250,45.9750,0.0172
122.9750,45.9750,0.0179
123.0250,45.9750,0.0176
123.0750,45.9750,0.0185
123.1250,45.9750,0.0189
123.1750,45.9750,0.0189
123.2250,45.9750,0.0196
123.2750,45.9750,0.0211
123.3250,45.9750,0.0217
123.3750,45.9750,0.0217
123.4250,45.9750,0.0222
123.4750,45.9750,0.0235
123.5250,45.9750,0.0238
123.5750,45.9750,0.0239
123.6250,45.9750,0.0244
123.6750,45.9750,0.0265
123.7250,45.9750,0.0252
123.7750,45.9750,0.0272
123.8250,45.9750,0.0279
123.8750,45.9750,0.0280
123.9250,45.9750,0.0285
123.9750,45.9750,0.0305
124.0250,45.9750,0.0308
124.0750,45.9750,0.0308
124.1250,45.9750,0.0312
124.1750,45.9750,0.0337
124.2250,45.9750,0.0341
124.2750,45.9750,0.0341
124.3250,45.9750,0.0346
124.3750,45.9750,0.0377
124.4250,45.9750,0.0369
124.4750,45.9750,0.0375
124.5250,45.9750,0.0373
124.5750,45.9750,0.0382
124.6250,45.9750,0.0373
124.6750,45.9750,0.0387
124.7250,45.9750,0.0377
124.7750,45.9750,0.0377
124.8250,45.9750,0.0364
124.8750,45.9750,0.0378
124.9250,45.9750,0.0363
124.9750,45.9750,0.0362
125.0250,45.9750,0.0345
125.0750,45.9750,0.0359
125.1250,45.9750,0.0343
125.1750,45.9750,0.0335
125.2250,45.9750,0.0318
125.2750,45.9750,0.0318
125.3250,45.9750,0.0307
125.3750,45.9750,0.0310
125.4250,45.9750,0.0296
125.4750,45.9750,0.0296
125.5250,45.9750,0.0281
125.5750,45.9750,0.0281
125.6250,45.9750,0.0268
125.6750,45.9750,0.0266
125.7250,45.9750,0.0249
125.7750,45.9750,0.0247
125.8250,45.9750,0.0240
125.8750,45.9750,0.0238
125.9250,45.9750,0.0228
125.9750,45.9750,0.0228
126.0250,45.9750,0.0218
126.0750,45.9750,0.0216
126.1250,45.9750,0.0206
126.1750,45.9750,0.0206
126.2250,45.9750,0.0197
126.2750,45.9750,0.0194
126.3250,45.9750,0.0189
126.3750,45.9750,0.0187
126.4250,45.9750,0.0183
126.4750,45.9750,0.0182
126.5250,45.9750,0.0179
126.5750,45.9750,0.0179
126.6250,45.9750,0.0177
126.6750,45.9750,0.0177
126.7250,45.9750,0.0176
126.7750,45.9750,0.0174
126.8250,45.9750,0.0175
126.8750,45.9750,0.0172
126.9250,45.9750,0.0171
126.9750,45.9750,0.0171
127.0250,45.9750,0.0171
127.0750,45.9750,0.0169
127.1250,45.9750,0.0168
127.1750,45.9750,0.0168
127.2250,45.9750,0.0168
127.2750,45.9750,0.0167
127.3250,45.9750,0.0166
127.3750,45.9750,0.0168
127.4250,45.9750,0.0163
127.4750,45.9750,0.0162
127.5250,45.9750,0.0162
127.5750,45.9750,0.0162
127.6250,45.9750,0.0158
127.6750,45.9750,0.0161
127.7250,45.9750,0.0157
127.7750,45.9750,0.0156
127.8250,45.9750,0.0155
127.8750,45.9750,0.0156
127.9250,45.9750,0.0153
127.9750,45.9750,0.0153
128.0250,45.9750,0.0153
128.0750,45.9750,0.0154
128.1250,45.9750,0.0152
128.1750,45.9750,0.0154
128.2250,45.9750,0.0154
128.2750,45.9750,0.0155
128.3250,45.9750,0.0156
128.3750,45.9750,0.0156
128.4250,45.9750,0.0159
128.4750,45.9750,0.0161
128.5250,45.9750,0.0162
128.5750,45.9750,0.0165
128.6250,45.9750,0.0170
128.6750,45.9750,0.0170
128.7250,45.9750,0.0174
128.7750,45.9750,0.0179
128.8250,45.9750,0.0185
128.8750,45.9750,0.0185
128.9250,45.9750,0.0192
128.9750,45.9750,0.0202
129.0250,45.9750,0.0203
129.0750,45.9750,0.0213
129.1250,45.9750,0.0223
129.1750,45.9750,0.0223
129.2250,45.9750,0.0234
129.2750,45.9750,0.0245
129.3250,45.9750,0.0250
129.3750,45.9750,0.0263
129.4250,45.9750,0.0281
129.4750,45.9750,0.0301
129.5250,45.9750,0.0301
129.5750,45.9750,0.0318
129.6250,45.9750,0.0340
129.6750,45.9750,0.0346
129.7250,45.9750,0.0370
129.7750,45.9750,0.0396
129.8250,45.9750,0.0396
129.8750,45.9750,0.0421
129.9250,45.9750,0.0452
129.9750,45.9750,0.0488
130.0250,45.9750,0.0490
130.0750,45.9750,0.0519
130.1250,45.9750,0.0544
130.1750,45.9750,0.0544
130.2250,45.9750,0.0574
130.2750,45.9750,0.0599
130.3250,45.9750,0.0602
130.3750,45.9750,0.0625
