province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
Seoul,11,33013.0,3.5,18.5,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
Busan,26,21825.0,3.4,23.4,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
Daegu,27,20289.0,3.3,21.6,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
Incheon,28,25317.0,3.4,17.2,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
Gwangju,29,19798.0,3.4,17.2,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
Daejeon,30,23468.0,3.4,17.4,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
Ulsan,31,49995.0,2.9,17.0,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
Sejong,36,25979.0,2.4,12.5,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
Gyeonggi,41,26466.0,2.9,16.0,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
Gangwon,42,21859.0,2.4,24.8,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
Chungbuk,43,28791.0,2.4,22.0,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
Chungnam,44,36933.0,2.5,22.2,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
Jeonbuk,45,20540.0,2.4,25.3,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
Jeonnam,46,27088.0,2.0,26.3,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
Gyeongbuk,47,29614.0,2.2,25.4,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
Gyeongnam,48,25917.0,2.7,21.7,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
Jeju,50,22037.0,2.4,18.0,11.0,0.5,P15-F-6 KOSIS Regional Income GRDP 2022 + EAPS 2024 + Pop 2024
