lon,lat,pga_g
124.9750,38.6750,0.1537
125.0250,38.6750,0.1537
125.1250,38.6750,0.1533
125.1750,38.6750,0.1530
125.2250,38.6750,0.1530
125.2750,38.6750,0.1527
125.3250,38.6750,0.1527
125.3750,38.6750,0.1525
125.4250,38.6750,0.1524
125.4750,38.6750,0.1523
125.5250,38.6750,0.1521
125.5750,38.6750,0.1521
125.6250,38.6750,0.1518
125.6750,38.6750,0.1519
125.7250,38.6750,0.1517
125.7750,38.6750,0.1517
125.8250,38.6750,0.1517
125.8750,38.6750,0.1515
125.9250,38.6750,0.1516
125.9750,38.6750,0.1514
126.0250,38.6750,0.1514
126.0750,38.6750,0.1513
126.1250,38.6750,0.1512
126.1750,38.6750,0.1511
126.2250,38.6750,0.1510
126.2750,38.6750,0.1509
126.3250,38.6750,0.1506
126.3750,38.6750,0.1502
126.4250,38.6750,0.1495
126.4750,38.6750,0.1479
126.5250,38.6750,0.1449
126.5750,38.6750,0.1442
126.6250,38.6750,0.1354
126.6750,38.6750,0.1187
126.7250,38.6750,0.1001
126.7750,38.6750,0.0839
126.8250,38.6750,0.0741
126.8750,38.6750,0.0661
126.9250,38.6750,0.0598
126.9750,38.6750,0.0548
127.0250,38.6750,0.0530
127.0750,38.6750,0.0517
127.1250,38.6750,0.0507
127.1750,38.6750,0.0501
127.2250,38.6750,0.0499
127.2750,38.6750,0.0493
127.3250,38.6750,0.0489
127.3750,38.6750,0.0485
127.4250,38.6750,0.0482
127.4750,38.6750,0.0480
127.5250,38.6750,0.0480
127.5750,38.6750,0.0478
127.6250,38.6750,0.0477
127.6750,38.6750,0.0475
127.7250,38.6750,0.0474
127.7750,38.6750,0.0473
127.8250,38.6750,0.0473
127.8750,38.6750,0.0471
127.9250,38.6750,0.0471
127.9750,38.6750,0.0470
128.0250,38.6750,0.0469
128.0750,38.6750,0.0469
128.1250,38.6750,0.0468
128.1750,38.6750,0.0472
128.2250,38.6750,0.0469
128.2750,38.6750,0.0468
128.3250,38.6750,0.0468
128.3750,38.6750,0.0473
124.9750,38.6250,0.1537
125.0250,38.6250,0.1537
125.0750,38.6250,0.1533
125.1250,38.6250,0.1533
125.1750,38.6250,0.1530
125.2250,38.6250,0.1530
125.2750,38.6250,0.1529
125.3250,38.6250,0.1527
125.3750,38.6250,0.1526
125.4250,38.6250,0.1524
125.4750,38.6250,0.1523
125.5250,38.6250,0.1521
125.5750,38.6250,0.1521
125.6250,38.6250,0.1520
125.6750,38.6250,0.1519
125.7250,38.6250,0.1519
125.7750,38.6250,0.1517
125.8250,38.6250,0.1517
125.8750,38.6250,0.1515
125.9250,38.6250,0.1515
125.9750,38.6250,0.1514
126.0250,38.6250,0.1513
126.0750,38.6250,0.1513
126.1250,38.6250,0.1512
126.1750,38.6250,0.1512
126.2250,38.6250,0.1510
126.2750,38.6250,0.1509
126.3250,38.6250,0.1508
126.3750,38.6250,0.1504
126.4250,38.6250,0.1498
126.4750,38.6250,0.1486
126.5250,38.6250,0.1459
126.5750,38.6250,0.1396
126.6250,38.6250,0.1245
126.6750,38.6250,0.1145
126.7250,38.6250,0.0938
126.7750,38.6250,0.0801
126.8250,38.6250,0.0687
126.8750,38.6250,0.0621
126.9250,38.6250,0.0609
126.9750,38.6250,0.0565
127.0250,38.6250,0.0537
127.0750,38.6250,0.0523
127.1250,38.6250,0.0512
127.1750,38.6250,0.0503
127.2250,38.6250,0.0497
127.2750,38.6250,0.0492
127.3250,38.6250,0.0491
127.3750,38.6250,0.0488
127.4250,38.6250,0.0486
127.4750,38.6250,0.0483
127.5250,38.6250,0.0481
127.5750,38.6250,0.0482
127.6250,38.6250,0.0480
127.6750,38.6250,0.0479
127.7250,38.6250,0.0478
127.7750,38.6250,0.0477
127.8250,38.6250,0.0476
127.8750,38.6250,0.0475
127.9250,38.6250,0.0474
127.9750,38.6250,0.0474
128.0250,38.6250,0.0474
128.0750,38.6250,0.0473
128.1250,38.6250,0.0473
128.1750,38.6250,0.0473
128.2250,38.6250,0.0476
128.2750,38.6250,0.0478
128.3250,38.6250,0.0478
128.3750,38.6250,0.0473
124.7750,38.5750,0.1548
124.8250,38.5750,0.1548
124.8750,38.5750,0.1548
124.9750,38.5750,0.1537
125.0250,38.5750,0.1537
125.0750,38.5750,0.1533
125.1250,38.5750,0.1533
125.1750,38.5750,0.1531
125.2250,38.5750,0.1529
125.2750,38.5750,0.1528
125.3250,38.5750,0.1526
125.3750,38.5750,0.1525
125.4250,38.5750,0.1524
125.4750,38.5750,0.1522
125.5250,38.5750,0.1522
125.5750,38.5750,0.1520
125.6250,38.5750,0.1519
125.6750,38.5750,0.1518
125.7250,38.5750,0.1518
125.7750,38.5750,0.1518
125.8250,38.5750,0.1516
125.8750,38.5750,0.1516
125.9250,38.5750,0.1515
125.9750,38.5750,0.1515
126.0250,38.5750,0.1514
126.0750,38.5750,0.1512
126.1250,38.5750,0.1513
126.1750,38.5750,0.1510
126.2250,38.5750,0.1510
126.2750,38.5750,0.1507
126.3250,38.5750,0.1506
126.3750,38.5750,0.1500
126.4250,38.5750,0.1495
126.4750,38.5750,0.1492
126.5250,38.5750,0.1471
126.5750,38.5750,0.1427
126.6250,38.5750,0.1314
126.6750,38.5750,0.1146
126.7250,38.5750,0.1021
126.7750,38.5750,0.0853
126.8250,38.5750,0.0713
126.8750,38.5750,0.0645
126.9250,38.5750,0.0585
126.9750,38.5750,0.0545
127.0250,38.5750,0.0529
127.0750,38.5750,0.0517
127.1250,38.5750,0.0517
127.1750,38.5750,0.0508
127.2250,38.5750,0.0501
127.2750,38.5750,0.0496
127.3250,38.5750,0.0492
127.3750,38.5750,0.0489
127.4250,38.5750,0.0490
127.4750,38.5750,0.0488
127.5250,38.5750,0.0486
127.5750,38.5750,0.0484
127.6250,38.5750,0.0483
127.6750,38.5750,0.0482
127.7250,38.5750,0.0482
127.7750,38.5750,0.0481
127.8250,38.5750,0.0480
127.8750,38.5750,0.0479
127.9250,38.5750,0.0479
127.9750,38.5750,0.0478
128.0250,38.5750,0.0478
128.0750,38.5750,0.0483
128.1250,38.5750,0.0483
128.1750,38.5750,0.0482
128.2250,38.5750,0.0479
128.2750,38.5750,0.0478
128.3250,38.5750,0.0483
128.3750,38.5750,0.0484
128.4250,38.5750,0.0486
124.7750,38.5250,0.1548
124.8250,38.5250,0.1548
124.8750,38.5250,0.1548
124.9750,38.5250,0.1537
125.0250,38.5250,0.1537
125.0750,38.5250,0.1536
125.1250,38.5250,0.1534
125.1750,38.5250,0.1532
125.2250,38.5250,0.1530
125.2750,38.5250,0.1529
125.3250,38.5250,0.1527
125.3750,38.5250,0.1525
125.4250,38.5250,0.1526
125.4750,38.5250,0.1523
125.5250,38.5250,0.1523
125.5750,38.5250,0.1521
125.6250,38.5250,0.1521
125.6750,38.5250,0.1519
125.7250,38.5250,0.1518
125.7750,38.5250,0.1517
125.8250,38.5250,0.1516
125.8750,38.5250,0.1517
125.9250,38.5250,0.1514
125.9750,38.5250,0.1515
126.0250,38.5250,0.1513
126.0750,38.5250,0.1514
126.1250,38.5250,0.1513
126.1750,38.5250,0.1512
126.2250,38.5250,0.1512
126.2750,38.5250,0.1510
126.3250,38.5250,0.1508
126.3750,38.5250,0.1504
126.4250,38.5250,0.1496
126.4750,38.5250,0.1482
126.5250,38.5250,0.1448
126.5750,38.5250,0.1406
126.6250,38.5250,0.1265
126.6750,38.5250,0.1098
126.7250,38.5250,0.0904
126.7750,38.5250,0.0762
126.8250,38.5250,0.0717
126.8750,38.5250,0.0670
126.9250,38.5250,0.0608
126.9750,38.5250,0.0556
127.0250,38.5250,0.0536
127.0750,38.5250,0.0523
127.1250,38.5250,0.0513
127.1750,38.5250,0.0506
127.2250,38.5250,0.0504
127.2750,38.5250,0.0500
127.3250,38.5250,0.0497
127.3750,38.5250,0.0494
127.4250,38.5250,0.0491
