lon,lat,pga_g
22.0950,58.0650,0.0247
22.1450,58.0650,0.0247
22.1950,58.0650,0.0247
22.2450,58.0650,0.0244
22.2950,58.0650,0.0244
23.9450,58.0650,0.0180
24.4450,58.0650,0.0178
24.4950,58.0650,0.0178
24.5450,58.0650,0.0178
24.5950,58.0650,0.0178
24.6450,58.0650,0.0177
24.6950,58.0650,0.0177
24.7450,58.0650,0.0175
24.7950,58.0650,0.0175
24.8450,58.0650,0.0175
24.8950,58.0650,0.0174
24.9450,58.0650,0.0174
24.9950,58.0650,0.0173
25.0450,58.0650,0.0173
25.0950,58.0650,0.0172
25.1450,58.0650,0.0173
25.1950,58.0650,0.0172
25.2450,58.0650,0.0172
25.2950,58.0650,0.0172
25.3450,58.0650,0.0172
25.3950,58.0650,0.0171
25.4450,58.0650,0.0170
25.4950,58.0650,0.0170
25.5450,58.0650,0.0169
25.5950,58.0650,0.0170
25.6450,58.0650,0.0169
25.6950,58.0650,0.0169
25.7450,58.0650,0.0168
25.7950,58.0650,0.0167
25.8450,58.0650,0.0167
25.8950,58.0650,0.0166
25.9450,58.0650,0.0166
25.9950,58.0650,0.0165
26.0450,58.0650,0.0164
26.0950,58.0650,0.0164
26.1450,58.0650,0.0164
26.1950,58.0650,0.0163
26.2450,58.0650,0.0163
26.2950,58.0650,0.0161
26.3450,58.0650,0.0161
26.3950,58.0650,0.0160
26.4450,58.0650,0.0159
26.4950,58.0650,0.0159
26.5450,58.0650,0.0157
26.5950,58.0650,0.0157
26.6450,58.0650,0.0156
26.6950,58.0650,0.0153
26.7450,58.0650,0.0153
26.7950,58.0650,0.0152
26.8450,58.0650,0.0151
26.8950,58.0650,0.0149
26.9450,58.0650,0.0146
26.9950,58.0650,0.0146
27.0450,58.0650,0.0144
27.0950,58.0650,0.0159
27.1450,58.0650,0.0186
27.1950,58.0650,0.0187
27.2450,58.0650,0.0187
27.2950,58.0650,0.0187
27.3450,58.0650,0.0198
27.3950,58.0650,0.0186
27.4450,58.0650,0.0200
27.4950,58.0650,0.0200
27.5450,58.0650,0.0192
27.5950,58.0650,0.0201
27.6450,58.0650,0.0188
27.6950,58.0650,0.0193
27.7450,58.0650,0.0179
27.7950,58.0650,0.0182
27.8450,58.0650,0.0171
27.8950,58.0650,0.0171
27.9450,58.0650,0.0172
27.9950,58.0650,0.0158
28.0450,58.0650,0.0159
28.0950,58.0650,0.0183
28.1450,58.0650,0.0183
28.1950,58.0650,0.0169
22.0450,58.0150,0.0253
22.0950,58.0150,0.0253
22.1450,58.0150,0.0249
22.1950,58.0150,0.0249
22.2450,58.0150,0.0249
24.3950,58.0150,0.0180
24.4450,58.0150,0.0180
24.4950,58.0150,0.0178
24.5450,58.0150,0.0178
24.5950,58.0150,0.0178
24.6450,58.0150,0.0177
24.6950,58.0150,0.0177
24.7450,58.0150,0.0176
24.7950,58.0150,0.0176
24.8450,58.0150,0.0175
24.8950,58.0150,0.0175
24.9450,58.0150,0.0174
24.9950,58.0150,0.0174
25.0450,58.0150,0.0173
25.0950,58.0150,0.0173
25.1450,58.0150,0.0173
25.1950,58.0150,0.0173
25.2450,58.0150,0.0173
25.2950,58.0150,0.0172
25.3450,58.0150,0.0172
25.3950,58.0150,0.0171
25.4450,58.0150,0.0171
25.4950,58.0150,0.0171
25.5450,58.0150,0.0171
25.5950,58.0150,0.0170
25.6450,58.0150,0.0169
25.6950,58.0150,0.0169
25.7450,58.0150,0.0168
25.7950,58.0150,0.0168
25.8450,58.0150,0.0167
25.8950,58.0150,0.0166
25.9450,58.0150,0.0166
25.9950,58.0150,0.0165
26.0450,58.0150,0.0165
26.0950,58.0150,0.0165
26.1450,58.0150,0.0164
26.1950,58.0150,0.0164
26.2450,58.0150,0.0163
26.2950,58.0150,0.0162
26.3450,58.0150,0.0162
26.3950,58.0150,0.0160
26.4450,58.0150,0.0160
26.4950,58.0150,0.0159
26.5450,58.0150,0.0157
26.5950,58.0150,0.0157
26.6450,58.0150,0.0155
26.6950,58.0150,0.0155
26.7450,58.0150,0.0153
26.7950,58.0150,0.0151
26.8450,58.0150,0.0151
26.8950,58.0150,0.0149
26.9450,58.0150,0.0149
26.9950,58.0150,0.0146
27.0450,58.0150,0.0144
27.0950,58.0150,0.0144
27.1450,58.0150,0.0177
27.1950,58.0150,0.0176
27.2450,58.0150,0.0178
27.2950,58.0150,0.0176
27.3450,58.0150,0.0176
27.3950,58.0150,0.0186
27.4450,58.0150,0.0182
27.4950,58.0150,0.0182
27.5450,58.0150,0.0180
27.5950,58.0150,0.0180
27.6450,58.0150,0.0176
27.6950,58.0150,0.0179
27.7450,58.0150,0.0179
27.7950,58.0150,0.0169
27.8450,58.0150,0.0169
27.8950,58.0150,0.0157
27.9450,58.0150,0.0158
27.9950,58.0150,0.0145
28.0450,58.0150,0.0144
28.0950,58.0150,0.0144
28.1450,58.0150,0.0135
28.1950,58.0150,0.0168
21.9950,57.9650,0.0256
22.0450,57.9650,0.0256
22.0950,57.9650,0.0253
22.1450,57.9650,0.0252
22.1950,57.9650,0.0252
22.2450,57.9650,0.0252
24.3450,57.9650,0.0180
24.3950,57.9650,0.0180
24.4450,57.9650,0.0180
24.4950,57.9650,0.0179
24.5450,57.9650,0.0179
24.5950,57.9650,0.0178
24.6450,57.9650,0.0178
24.6950,57.9650,0.0177
24.7450,57.9650,0.0176
24.7950,57.9650,0.0176
24.8450,57.9650,0.0176
24.8950,57.9650,0.0176
24.9450,57.9650,0.0175
24.9950,57.9650,0.0175
25.0450,57.9650,0.0174
25.0950,57.9650,0.0174
25.1450,57.9650,0.0173
25.1950,57.9650,0.0173
25.2450,57.9650,0.0173
25.2950,57.9650,0.0172
25.3450,57.9650,0.0172
25.3950,57.9650,0.0171
25.4450,57.9650,0.0172
25.4950,57.9650,0.0171
25.5450,57.9650,0.0171
25.5950,57.9650,0.0170
25.6450,57.9650,0.0170
25.6950,57.9650,0.0169
25.7450,57.9650,0.0168
25.7950,57.9650,0.0168
25.8450,57.9650,0.0167
25.8950,57.9650,0.0168
25.9450,57.9650,0.0166
25.9950,57.9650,0.0165
26.0450,57.9650,0.0165
26.0950,57.9650,0.0165
26.1450,57.9650,0.0165
26.1950,57.9650,0.0164
26.2450,57.9650,0.0163
26.2950,57.9650,0.0163
26.3450,57.9650,0.0162
26.3950,57.9650,0.0162
26.4450,57.9650,0.0160
26.4950,57.9650,0.0159
26.5450,57.9650,0.0159
26.5950,57.9650,0.0157
26.6450,57.9650,0.0156
26.6950,57.9650,0.0156
26.7450,57.9650,0.0153
26.7950,57.9650,0.0154
26.8450,57.9650,0.0151
26.8950,57.9650,0.0148
26.9450,57.9650,0.0148
26.9950,57.9650,0.0146
27.0450,57.9650,0.0146
27.0950,57.9650,0.0144
27.1450,57.9650,0.0168
27.1950,57.9650,0.0168
27.2450,57.9650,0.0169
27.2950,57.9650,0.0169
27.3450,57.9650,0.0168
27.3950,57.9650,0.0175
27.4450,57.9650,0.0168
27.4950,57.9650,0.0173
27.5450,57.9650,0.0173
27.5950,57.9650,0.0170
27.6450,57.9650,0.0176
27.6950,57.9650,0.0164
27.7450,57.9650,0.0166
27.7950,57.9650,0.0155
27.8450,57.9650,0.0155
27.8950,57.9650,0.0145
27.9450,57.9650,0.0144
27.9950,57.9650,0.0144
28.0450,57.9650,0.0136
28.0950,57.9650,0.0136
28.1450,57.9650,0.0126
28.1950,57.9650,0.0126
21.9950,57.9150,0.0256
