lon,lat,pga_g
20.9750,56.4250,0.0299
21.0250,56.4250,0.0299
21.0750,56.4250,0.0298
21.1250,56.4250,0.0300
21.1750,56.4250,0.0299
21.2250,56.4250,0.0298
21.2750,56.4250,0.0298
21.3250,56.4250,0.0297
21.3750,56.4250,0.0298
21.4250,56.4250,0.0296
21.4750,56.4250,0.0296
21.5250,56.4250,0.0295
21.5750,56.4250,0.0295
21.6250,56.4250,0.0294
21.6750,56.4250,0.0293
21.7250,56.4250,0.0293
21.7750,56.4250,0.0291
21.8250,56.4250,0.0291
21.8750,56.4250,0.0290
21.9250,56.4250,0.0288
21.9750,56.4250,0.0287
22.0250,56.4250,0.0285
22.0750,56.4250,0.0285
22.1250,56.4250,0.0283
22.1750,56.4250,0.0282
22.2250,56.4250,0.0280
22.2750,56.4250,0.0280
22.3250,56.4250,0.0277
22.3750,56.4250,0.0277
22.4250,56.4250,0.0276
22.4750,56.4250,0.0274
22.5250,56.4250,0.0274
22.5750,56.4250,0.0274
22.6250,56.4250,0.0272
22.6750,56.4250,0.0271
22.7250,56.4250,0.0271
22.7750,56.4250,0.0266
22.8250,56.4250,0.0265
22.8750,56.4250,0.0263
22.9250,56.4250,0.0261
22.9750,56.4250,0.0261
23.0250,56.4250,0.0255
23.0750,56.4250,0.0255
23.1250,56.4250,0.0252
23.1750,56.4250,0.0249
23.2250,56.4250,0.0246
23.2750,56.4250,0.0244
23.3250,56.4250,0.0242
23.3750,56.4250,0.0240
23.4250,56.4250,0.0240
23.4750,56.4250,0.0235
23.5250,56.4250,0.0235
23.5750,56.4250,0.0230
23.6250,56.4250,0.0227
23.6750,56.4250,0.0226
23.7250,56.4250,0.0220
23.7750,56.4250,0.0220
23.8250,56.4250,0.0214
23.8750,56.4250,0.0213
23.9250,56.4250,0.0207
23.9750,56.4250,0.0207
24.0250,56.4250,0.0201
24.0750,56.4250,0.0196
24.1250,56.4250,0.0196
24.1750,56.4250,0.0190
24.2250,56.4250,0.0190
24.2750,56.4250,0.0188
24.3250,56.4250,0.0186
24.3750,56.4250,0.0185
24.4250,56.4250,0.0183
24.4750,56.4250,0.0181
24.5250,56.4250,0.0180
24.5750,56.4250,0.0180
24.6250,56.4250,0.0177
24.6750,56.4250,0.0177
24.7250,56.4250,0.0174
24.7750,56.4250,0.0174
24.8250,56.4250,0.0173
24.8750,56.4250,0.0170
24.9250,56.4250,0.0170
24.9750,56.4250,0.0169
25.0250,56.4250,0.0168
25.0750,56.4250,0.0167
25.1250,56.4250,0.0167
25.1750,56.4250,0.0165
25.2250,56.4250,0.0165
25.2750,56.4250,0.0165
25.3250,56.4250,0.0162
25.3750,56.4250,0.0162
25.4250,56.4250,0.0162
25.4750,56.4250,0.0161
25.5250,56.4250,0.0160
25.5750,56.4250,0.0160
25.6250,56.4250,0.0159
25.6750,56.4250,0.0158
25.7250,56.4250,0.0158
25.7750,56.4250,0.0156
25.8250,56.4250,0.0156
25.8750,56.4250,0.0156
25.9250,56.4250,0.0155
25.9750,56.4250,0.0154
26.0250,56.4250,0.0155
26.0750,56.4250,0.0153
26.1250,56.4250,0.0153
26.1750,56.4250,0.0153
26.2250,56.4250,0.0151
26.2750,56.4250,0.0151
26.3250,56.4250,0.0151
26.3750,56.4250,0.0149
26.4250,56.4250,0.0149
26.4750,56.4250,0.0148
26.5250,56.4250,0.0147
26.5750,56.4250,0.0146
26.6250,56.4250,0.0146
26.6750,56.4250,0.0144
26.7250,56.4250,0.0143
26.7750,56.4250,0.0143
26.8250,56.4250,0.0141
20.9750,56.3750,0.0300
21.0250,56.3750,0.0300
21.0750,56.3750,0.0300
21.1250,56.3750,0.0301
21.1750,56.3750,0.0300
21.2250,56.3750,0.0300
21.2750,56.3750,0.0299
21.3250,56.3750,0.0298
21.3750,56.3750,0.0298
21.4250,56.3750,0.0297
21.4750,56.3750,0.0297
21.5250,56.3750,0.0295
21.5750,56.3750,0.0295
21.6250,56.3750,0.0294
21.6750,56.3750,0.0294
21.7250,56.3750,0.0293
21.7750,56.3750,0.0290
21.8250,56.3750,0.0290
21.8750,56.3750,0.0288
21.9250,56.3750,0.0288
21.9750,56.3750,0.0287
22.0250,56.3750,0.0287
22.0750,56.3750,0.0283
22.1250,56.3750,0.0283
22.1750,56.3750,0.0281
22.2250,56.3750,0.0278
22.2750,56.3750,0.0278
22.3250,56.3750,0.0275
22.3750,56.3750,0.0275
22.4250,56.3750,0.0274
22.4750,56.3750,0.0272
22.5250,56.3750,0.0272
22.5750,56.3750,0.0272
22.6250,56.3750,0.0269
22.6750,56.3750,0.0268
22.7250,56.3750,0.0268
22.7750,56.3750,0.0265
22.8250,56.3750,0.0265
22.8750,56.3750,0.0262
22.9250,56.3750,0.0258
22.9750,56.3750,0.0257
23.0250,56.3750,0.0252
23.0750,56.3750,0.0252
23.1250,56.3750,0.0249
23.1750,56.3750,0.0247
23.2250,56.3750,0.0245
23.2750,56.3750,0.0245
23.3250,56.3750,0.0241
23.3750,56.3750,0.0239
23.4250,56.3750,0.0238
23.4750,56.3750,0.0233
23.5250,56.3750,0.0233
23.5750,56.3750,0.0230
23.6250,56.3750,0.0228
23.6750,56.3750,0.0224
23.7250,56.3750,0.0224
23.7750,56.3750,0.0217
23.8250,56.3750,0.0213
23.8750,56.3750,0.0211
23.9250,56.3750,0.0205
23.9750,56.3750,0.0205
24.0250,56.3750,0.0198
24.0750,56.3750,0.0198
24.1250,56.3750,0.0194
24.1750,56.3750,0.0188
24.2250,56.3750,0.0188
24.2750,56.3750,0.0186
24.3250,56.3750,0.0185
24.3750,56.3750,0.0183
24.4250,56.3750,0.0183
24.4750,56.3750,0.0180
24.5250,56.3750,0.0180
24.5750,56.3750,0.0178
24.6250,56.3750,0.0175
24.6750,56.3750,0.0175
24.7250,56.3750,0.0174
24.7750,56.3750,0.0172
24.8250,56.3750,0.0171
24.8750,56.3750,0.0171
24.9250,56.3750,0.0168
24.9750,56.3750,0.0168
25.0250,56.3750,0.0167
25.0750,56.3750,0.0165
25.1250,56.3750,0.0165
25.1750,56.3750,0.0163
25.2250,56.3750,0.0163
25.2750,56.3750,0.0162
25.3250,56.3750,0.0161
25.3750,56.3750,0.0161
25.4250,56.3750,0.0161
25.4750,56.3750,0.0159
25.5250,56.3750,0.0159
25.5750,56.3750,0.0159
25.6250,56.3750,0.0156
25.6750,56.3750,0.0156
25.7250,56.3750,0.0157
25.7750,56.3750,0.0154
25.8250,56.3750,0.0154
25.8750,56.3750,0.0154
25.9250,56.3750,0.0153
25.9750,56.3750,0.0153
26.0250,56.3750,0.0153
26.0750,56.3750,0.0151
26.1250,56.3750,0.0151
26.1750,56.3750,0.0151
26.2250,56.3750,0.0149
26.2750,56.3750,0.0149
26.3250,56.3750,0.0149
26.3750,56.3750,0.0148
26.4250,56.3750,0.0147
26.4750,56.3750,0.0147
26.5250,56.3750,0.0145
26.5750,56.3750,0.0145
26.6250,56.3750,0.0145
26.6750,56.3750,0.0143
26.7250,56.3750,0.0143
26.7750,56.3750,0.0142
26.8250,56.3750,0.0140
20.9750,56.3250,0.0301
21.0250,56.3250,0.0301
21.0750,56.3250,0.0301
21.1250,56.3250,0.0301
21.1750,56.3250,0.0301
21.2250,56.3250,0.0301
21.2750,56.3250,0.0299
21.3250,56.3250,0.0299
21.3750,56.3250,0.0298
21.4250,56.3250,0.0298
21.4750,56.3250,0.0297
21.5250,56.3250,0.0295
21.5750,56.3250,0.0295
21.6250,56.3250,0.0294
21.6750,56.3250,0.0294
21.7250,56.3250,0.0292
21.7750,56.3250,0.0292
21.8250,56.3250,0.0289
21.8750,56.3250,0.0289
21.9250,56.3250,0.0287
21.9750,56.3250,0.0285
22.0250,56.3250,0.0285
22.0750,56.3250,0.0281
22.1250,56.3250,0.0281
22.1750,56.3250,0.0280
22.2250,56.3250,0.0277
22.2750,56.3250,0.0276
22.3250,56.3250,0.0275
22.3750,56.3250,0.0272
22.4250,56.3250,0.0272
22.4750,56.3250,0.0271
22.5250,56.3250,0.0269
22.5750,56.3250,0.0269
22.6250,56.3250,0.0266
22.6750,56.3250,0.0266
22.7250,56.3250,0.0266
22.7750,56.3250,0.0261
22.8250,56.3250,0.0261
22.8750,56.3250,0.0258
22.9250,56.3250,0.0256
22.9750,56.3250,0.0254
23.0250,56.3250,0.0254
23.0750,56.3250,0.0248
23.1250,56.3250,0.0247
23.1750,56.3250,0.0246
23.2250,56.3250,0.0243
23.2750,56.3250,0.0243
23.3250,56.3250,0.0238
23.3750,56.3250,0.0238
23.4250,56.3250,0.0236
23.4750,56.3250,0.0233
23.5250,56.3250,0.0232
23.5750,56.3250,0.0228
23.6250,56.3250,0.0226
23.6750,56.3250,0.0222
23.7250,56.3250,0.0222
23.7750,56.3250,0.0215
23.8250,56.3250,0.0215
23.8750,56.3250,0.0210
23.9250,56.3250,0.0203
23.9750,56.3250,0.0203
24.0250,56.3250,0.0196
24.0750,56.3250,0.0195
24.1250,56.3250,0.0191
24.1750,56.3250,0.0190
24.2250,56.3250,0.0186
24.2750,56.3250,0.0186
24.3250,56.3250,0.0183
24.3750,56.3250,0.0181
24.4250,56.3250,0.0181
24.4750,56.3250,0.0178
24.5250,56.3250,0.0178
24.5750,56.3250,0.0176
24.6250,56.3250,0.0175
24.6750,56.3250,0.0173
24.7250,56.3250,0.0172
24.7750,56.3250,0.0170
24.8250,56.3250,0.0169
24.8750,56.3250,0.0169
24.9250,56.3250,0.0166
24.9750,56.3250,0.0166
25.0250,56.3250,0.0166
25.0750,56.3250,0.0163
25.1250,56.3250,0.0163
25.1750,56.3250,0.0162
25.2250,56.3250,0.0160
25.2750,56.3250,0.0161
25.3250,56.3250,0.0161
25.3750,56.3250,0.0158
25.4250,56.3250,0.0158
25.4750,56.3250,0.0159
25.5250,56.3250,0.0156
25.5750,56.3250,0.0156
25.6250,56.3250,0.0155
25.6750,56.3250,0.0154
25.7250,56.3250,0.0154
25.7750,56.3250,0.0154
25.8250,56.3250,0.0152
25.8750,56.3250,0.0152
25.9250,56.3250,0.0152
25.9750,56.3250,0.0150
26.0250,56.3250,0.0150
26.0750,56.3250,0.0149
26.1250,56.3250,0.0149
26.1750,56.3250,0.0149
26.2250,56.3250,0.0147
26.2750,56.3250,0.0147
26.3250,56.3250,0.0147
26.3750,56.3250,0.0147
26.4250,56.3250,0.0145
26.4750,56.3250,0.0145
26.5250,56.3250,0.0144
26.5750,56.3250,0.0143
26.6250,56.3250,0.0143
26.6750,56.3250,0.0141
26.7250,56.3250,0.0141
26.7750,56.3250,0.0141
26.8250,56.3250,0.0141
20.9750,56.2750,0.0301
21.0250,56.2750,0.0302
21.0750,56.2750,0.0302
21.1250,56.2750,0.0301
21.1750,56.2750,0.0301
21.2250,56.2750,0.0300
21.2750,56.2750,0.0300
21.3250,56.2750,0.0300
21.3750,56.2750,0.0299
21.4250,56.2750,0.0298
21.4750,56.2750,0.0296
21.5250,56.2750,0.0296
21.5750,56.2750,0.0295
21.6250,56.2750,0.0295
21.6750,56.2750,0.0293
21.7250,56.2750,0.0291
21.7750,56.2750,0.0291
21.8250,56.2750,0.0289
21.8750,56.2750,0.0289
21.9250,56.2750,0.0287
21.9750,56.2750,0.0285
22.0250,56.2750,0.0283
22.0750,56.2750,0.0279
22.1250,56.2750,0.0278
22.1750,56.2750,0.0277
22.2250,56.2750,0.0274
22.2750,56.2750,0.0273
22.3250,56.2750,0.0273
22.3750,56.2750,0.0269
22.4250,56.2750,0.0269
22.4750,56.2750,0.0269
22.5250,56.2750,0.0266
22.5750,56.2750,0.0266
22.6250,56.2750,0.0264
22.6750,56.2750,0.0262
22.7250,56.2750,0.0262
22.7750,56.2750,0.0259
22.8250,56.2750,0.0257
22.8750,56.2750,0.0256
22.9250,56.2750,0.0252
22.9750,56.2750,0.0249
23.0250,56.2750,0.0249
23.0750,56.2750,0.0245
23.1250,56.2750,0.0245
23.1750,56.2750,0.0244
23.2250,56.2750,0.0241
23.2750,56.2750,0.0240
23.3250,56.2750,0.0236
23.3750,56.2750,0.0236
23.4250,56.2750,0.0234
23.4750,56.2750,0.0232
23.5250,56.2750,0.0229
23.5750,56.2750,0.0229
23.6250,56.2750,0.0223
23.6750,56.2750,0.0219
23.7250,56.2750,0.0219
23.7750,56.2750,0.0212
23.8250,56.2750,0.0212
23.8750,56.2750,0.0207
23.9250,56.2750,0.0204
23.9750,56.2750,0.0199
24.0250,56.2750,0.0198
