lon,lat,pga_g
5.7550,50.1550,0.0476
5.8050,50.1550,0.0487
5.8550,50.1550,0.0487
5.9050,50.1550,0.0495
5.9550,50.1550,0.0497
6.0050,50.1550,0.0504
6.0550,50.1550,0.0554
6.1050,50.1550,0.0515
6.1550,50.1550,0.0576
6.2050,50.1550,0.0592
6.2550,50.1550,0.0581
6.3050,50.1550,0.0591
6.3550,50.1550,0.0570
6.4050,50.1550,0.0582
6.4550,50.1550,0.0570
6.5050,50.1550,0.0570
5.7550,50.1050,0.0442
5.8050,50.1050,0.0442
5.8550,50.1050,0.0454
5.9050,50.1050,0.0463
5.9550,50.1050,0.0462
6.0050,50.1050,0.0471
6.0550,50.1050,0.0471
6.1050,50.1050,0.0479
6.1550,50.1050,0.0529
6.2050,50.1050,0.0484
6.2550,50.1050,0.0533
6.3050,50.1050,0.0530
6.3550,50.1050,0.0533
6.4050,50.1050,0.0530
6.4550,50.1050,0.0530
6.5050,50.1050,0.0523
5.7550,50.0550,0.0386
5.8050,50.0550,0.0411
5.8550,50.0550,0.0416
5.9050,50.0550,0.0416
5.9550,50.0550,0.0420
6.0050,50.0550,0.0421
6.0550,50.0550,0.0427
6.1050,50.0550,0.0476
6.1550,50.0550,0.0434
6.2050,50.0550,0.0482
6.2550,50.0550,0.0484
6.3050,50.0550,0.0478
6.3550,50.0550,0.0482
6.4050,50.0550,0.0470
6.4550,50.0550,0.0479
6.5050,50.0550,0.0475
5.7550,50.0050,0.0385
5.8050,50.0050,0.0392
5.8550,50.0050,0.0392
5.9050,50.0050,0.0397
5.9550,50.0050,0.0401
6.0050,50.0050,0.0401
6.0550,50.0050,0.0404
6.1050,50.0050,0.0404
6.1550,50.0050,0.0406
6.2050,50.0050,0.0439
6.2550,50.0050,0.0407
6.3050,50.0050,0.0440
6.3550,50.0050,0.0439
6.4050,50.0050,0.0441
6.4550,50.0050,0.0441
6.5050,50.0050,0.0441
5.7550,49.9550,0.0360
5.8050,49.9550,0.0337
5.8550,49.9550,0.0368
5.9050,49.9550,0.0372
5.9550,49.9550,0.0372
6.0050,49.9550,0.0376
6.0550,49.9550,0.0376
6.1050,49.9550,0.0379
6.1550,49.9550,0.0405
6.2050,49.9550,0.0381
6.2550,49.9550,0.0406
6.3050,49.9550,0.0407
6.3550,49.9550,0.0405
6.4050,49.9550,0.0407
6.4550,49.9550,0.0402
6.5050,49.9550,0.0408
5.7550,49.9050,0.0314
5.8050,49.9050,0.0336
5.8550,49.9050,0.0341
5.9050,49.9050,0.0341
5.9550,49.9050,0.0348
6.0050,49.9050,0.0352
6.0550,49.9050,0.0352
6.1050,49.9050,0.0354
6.1550,49.9050,0.0354
6.2050,49.9050,0.0355
6.2550,49.9050,0.0382
6.3050,49.9050,0.0357
6.3550,49.9050,0.0383
6.4050,49.9050,0.0384
6.4550,49.9050,0.0386
6.5050,49.9050,0.0388
5.7550,49.8550,0.0296
5.8050,49.8550,0.0316
5.8550,49.8550,0.0299
5.9050,49.8550,0.0318
5.9550,49.8550,0.0320
6.0050,49.8550,0.0320
6.0550,49.8550,0.0321
6.1050,49.8550,0.0321
6.1550,49.8550,0.0323
6.2050,49.8550,0.0355
6.2550,49.8550,0.0325
6.3050,49.8550,0.0357
6.3550,49.8550,0.0358
6.4050,49.8550,0.0357
6.4550,49.8550,0.0361
6.5050,49.8550,0.0357
5.7550,49.8050,0.0296
5.8050,49.8050,0.0279
5.8550,49.8050,0.0299
5.9050,49.8050,0.0302
5.9550,49.8050,0.0302
6.0050,49.8050,0.0304
6.0550,49.8050,0.0306
6.1050,49.8050,0.0306
6.1550,49.8050,0.0308
6.2050,49.8050,0.0308
6.2550,49.8050,0.0309
6.3050,49.8050,0.0327
6.3550,49.8050,0.0310
6.4050,49.8050,0.0330
6.4550,49.8050,0.0334
6.5050,49.8050,0.0335
5.7550,49.7550,0.0271
5.8050,49.7550,0.0260
5.8550,49.7550,0.0282
5.9050,49.7550,0.0264
5.9550,49.7550,0.0285
6.0050,49.7550,0.0287
6.0550,49.7550,0.0287
6.1050,49.7550,0.0289
6.1550,49.7550,0.0290
6.2050,49.7550,0.0291
6.2550,49.7550,0.0309
6.3050,49.7550,0.0293
6.3550,49.7550,0.0310
6.4050,49.7550,0.0312
6.4550,49.7550,0.0312
6.5050,49.7550,0.0316
5.7550,49.7050,0.0241
5.8050,49.7050,0.0260
5.8550,49.7050,0.0244
5.9050,49.7050,0.0264
5.9550,49.7050,0.0267
6.0050,49.7050,0.0267
6.0550,49.7050,0.0269
6.1050,49.7050,0.0272
6.1550,49.7050,0.0272
6.2050,49.7050,0.0274
6.2550,49.7050,0.0274
6.3050,49.7050,0.0276
6.3550,49.7050,0.0295
6.4050,49.7050,0.0279
6.4550,49.7050,0.0298
6.5050,49.7050,0.0302
5.7550,49.6550,0.0230
5.8050,49.6550,0.0237
5.8550,49.6550,0.0232
5.9050,49.6550,0.0245
5.9550,49.6550,0.0235
6.0050,49.6550,0.0247
6.0550,49.6550,0.0250
6.1050,49.6550,0.0250
6.1550,49.6550,0.0253
6.2050,49.6550,0.0253
6.2550,49.6550,0.0256
6.3050,49.6550,0.0276
6.3550,49.6550,0.0258
6.4050,49.6550,0.0279
6.4550,49.6550,0.0283
6.5050,49.6550,0.0283
5.7550,49.6050,0.0229
5.8050,49.6050,0.0216
5.8550,49.6050,0.0231
5.9050,49.6050,0.0220
5.9550,49.6050,0.0234
6.0050,49.6050,0.0236
6.0550,49.6050,0.0236
6.1050,49.6050,0.0238
6.1550,49.6050,0.0240
6.2050,49.6050,0.0240
6.2550,49.6050,0.0241
6.3050,49.6050,0.0241
6.3550,49.6050,0.0244
6.4050,49.6050,0.0263
6.4550,49.6050,0.0247
6.5050,49.6050,0.0268
5.7550,49.5550,0.0199
5.8050,49.5550,0.0206
5.8550,49.5550,0.0211
5.9050,49.5550,0.0207
5.9550,49.5550,0.0222
6.0050,49.5550,0.0211
6.0550,49.5550,0.0225
6.1050,49.5550,0.0227
6.1550,49.5550,0.0227
6.2050,49.5550,0.0229
6.2550,49.5550,0.0229
6.3050,49.5550,0.0232
6.3550,49.5550,0.0244
6.4050,49.5550,0.0235
6.4550,49.5550,0.0247
6.5050,49.5550,0.0253
5.7550,49.5050,0.0187
5.8050,49.5050,0.0202
5.8550,49.5050,0.0189
5.9050,49.5050,0.0206
5.9550,49.5050,0.0193
6.0050,49.5050,0.0210
6.0550,49.5050,0.0212
6.1050,49.5050,0.0212
6.1550,49.5050,0.0216
6.2050,49.5050,0.0219
6.2550,49.5050,0.0219
6.3050,49.5050,0.0223
6.3550,49.5050,0.0223
6.4050,49.5050,0.0227
6.4550,49.5050,0.0239
6.5050,49.5050,0.0232
5.7550,49.4550,0.0185
5.8050,49.4550,0.0179
5.8550,49.4550,0.0185
5.9050,49.4550,0.0187
5.9550,49.4550,0.0185
6.0050,49.4550,0.0196
6.0550,49.4550,0.0188
6.1050,49.4550,0.0200
6.1550,49.4550,0.0204
6.2050,49.4550,0.0204
6.2550,49.4550,0.0209
6.3050,49.4550,0.0209
6.3550,49.4550,0.0214
6.4050,49.4550,0.0227
6.4550,49.4550,0.0220
6.5050,49.4550,0.0232
