# GEM Global Seismic Hazard Map v2023.1 — PGA 475yr return period (rock site)
# Source: https://doi.org/10.5281/zenodo.8409647
# License: CC BY-NC-SA 4.0
# Bounding box: lat [14.5, 32.8], lon [-118.5, -86.5]
# Resolution: 0.05° (~5.5 km)
# Extracted: 2026-03-29
lon,lat,pga_g
-117.2750,32.7750,0.212592
-117.2250,32.7750,0.205317
-117.1750,32.7750,0.205298
-117.1250,32.7750,0.183975
-117.0750,32.7750,0.173024
-117.0250,32.7750,0.157359
-116.9750,32.7750,0.157350
-116.9250,32.7750,0.154919
-116.8750,32.7750,0.157093
-116.8250,32.7750,0.157056
-116.7750,32.7750,0.165010
-116.7250,32.7750,0.160060
-116.6750,32.7750,0.175459
-116.6250,32.7750,0.175463
-116.5750,32.7750,0.190599
-116.5250,32.7750,0.204466
-116.4750,32.7750,0.201188
-116.4250,32.7750,0.221329
-116.3750,32.7750,0.221339
-116.3250,32.7750,0.249125
-116.2750,32.7750,0.275570
-116.2250,32.7750,0.276094
-116.1750,32.7750,0.320600
-116.1250,32.7750,0.323302
-116.0750,32.7750,0.355367
-116.0250,32.7750,0.355367
-115.9750,32.7750,0.398050
-115.9250,32.7750,0.405632
-115.8750,32.7750,0.422794
-115.8250,32.7750,0.420631
-115.7750,32.7750,0.426022
-115.7250,32.7750,0.460627
-115.6750,32.7750,0.496531
-115.6250,32.7750,0.566806
-115.5750,32.7750,0.749752
-115.5250,32.7750,0.785266
-115.4750,32.7750,1.223242
-115.4250,32.7750,1.223258
-115.3750,32.7750,0.976641
-115.3250,32.7750,0.647021
-115.2750,32.7750,0.646854
-115.2250,32.7750,0.475585
-115.1750,32.7750,0.486887
-115.1250,32.7750,0.399805
-115.0750,32.7750,0.399788
-115.0250,32.7750,0.334249
-114.9750,32.7750,0.281222
-114.9250,32.7750,0.287117
-114.8750,32.7750,0.248411
-114.8250,32.7750,0.250994
-114.7750,32.7750,0.215627
-114.7250,32.7750,0.193616
-114.6750,32.7750,0.193295
-114.6250,32.7750,0.166649
-114.5750,32.7750,0.159501
-114.5250,32.7750,0.142906
-114.4750,32.7750,0.142897
-114.4250,32.7750,0.120830
-114.3750,32.7750,0.106308
-114.3250,32.7750,0.106308
-114.2750,32.7750,0.080681
-114.2250,32.7750,0.078229
-114.1750,32.7750,0.070873
-114.1250,32.7750,0.070820
-114.0750,32.7750,0.066715
-114.0250,32.7750,0.062102
-113.9750,32.7750,0.061880
-113.9250,32.7750,0.056941
-113.8750,32.7750,0.055150
-113.8250,32.7750,0.052577
-113.7750,32.7750,0.049757
-113.7250,32.7750,0.049754
-113.6750,32.7750,0.046714
-113.6250,32.7750,0.043564
-113.5750,32.7750,0.043368
-113.5250,32.7750,0.041158
-113.4750,32.7750,0.040637
-113.4250,32.7750,0.038953
-113.3750,32.7750,0.038953
-113.3250,32.7750,0.037165
-113.2750,32.7750,0.035233
-113.2250,32.7750,0.035156
-113.1750,32.7750,0.033171
-113.1250,32.7750,0.032660
-113.0750,32.7750,0.031496
-113.0250,32.7750,0.031470
-112.9750,32.7750,0.030530
-112.9250,32.7750,0.029468
-112.8750,32.7750,0.029304
-112.8250,32.7750,0.028461
-112.7750,32.7750,0.028286
-112.7250,32.7750,0.027308
-112.6750,32.7750,0.026381
-112.6250,32.7750,0.026380
-112.5750,32.7750,0.025462
-112.5250,32.7750,0.024821
-112.4750,32.7750,0.024689
-112.4250,32.7750,0.024313
-112.3750,32.7750,0.024273
-112.3250,32.7750,0.024056
-112.2750,32.7750,0.024056
-112.2250,32.7750,0.023904
-112.1750,32.7750,0.023886
-112.1250,32.7750,0.023887
-112.0750,32.7750,0.023909
-112.0250,32.7750,0.024099
-111.9750,32.7750,0.024198
-111.9250,32.7750,0.024202
-111.8750,32.7750,0.024491
-111.8250,32.7750,0.024981
-111.7750,32.7750,0.025017
-111.7250,32.7750,0.025941
-111.6750,32.7750,0.026816
-111.6250,32.7750,0.027779
-111.5750,32.7750,0.028852
-111.5250,32.7750,0.028865
-111.4750,32.7750,0.029992
-111.4250,32.7750,0.031102
-111.3750,32.7750,0.031108
-111.3250,32.7750,0.032171
-111.2750,32.7750,0.033134
-111.2250,32.7750,0.034623
-111.1750,32.7750,0.034634
-111.1250,32.7750,0.035903
-111.0750,32.7750,0.036878
-111.0250,32.7750,0.036878
-110.9750,32.7750,0.037489
-110.9250,32.7750,0.037949
-110.8750,32.7750,0.038071
-110.8250,32.7750,0.038392
-110.7750,32.7750,0.038341
-110.7250,32.7750,0.038568
-110.6750,32.7750,0.038568
-110.6250,32.7750,0.038647
-110.5750,32.7750,0.038697
-110.5250,32.7750,0.038659
-110.4750,32.7750,0.038848
-110.4250,32.7750,0.038674
-110.3750,32.7750,0.038707
-110.3250,32.7750,0.038728
-110.2750,32.7750,0.038726
-110.2250,32.7750,0.038722
-110.1750,32.7750,0.038737
-110.1250,32.7750,0.038739
-110.0750,32.7750,0.038739
-110.0250,32.7750,0.038618
-109.9750,32.7750,0.038679
-109.9250,32.7750,0.038633
-109.8750,32.7750,0.038838
-109.8250,32.7750,0.039090
-109.7750,32.7750,0.039090
-109.7250,32.7750,0.039267
-109.6750,32.7750,0.039382
-109.6250,32.7750,0.039382
-109.5750,32.7750,0.039645
-109.5250,32.7750,0.039738
-109.4750,32.7750,0.040011
-109.4250,32.7750,0.040011
-109.3750,32.7750,0.040210
-109.3250,32.7750,0.040407
-109.2750,32.7750,0.040407
-109.2250,32.7750,0.040588
-109.1750,32.7750,0.040630
-109.1250,32.7750,0.040779
-109.0750,32.7750,0.040587
-109.0250,32.7750,0.040694
-108.9750,32.7750,0.040478
-108.9250,32.7750,0.040381
-108.8750,32.7750,0.040243
-108.8250,32.7750,0.039984
-108.7750,32.7750,0.039923
-108.7250,32.7750,0.039750
-108.6750,32.7750,0.039393
-108.6250,32.7750,0.039369
-108.5750,32.7750,0.039074
-108.5250,32.7750,0.039056
-108.4750,32.7750,0.038772
-108.4250,32.7750,0.038441
-108.3750,32.7750,0.038441
-108.3250,32.7750,0.038214
-108.2750,32.7750,0.038105
-108.2250,32.7750,0.038106
-108.1750,32.7750,0.038031
-108.1250,32.7750,0.038006
-108.0750,32.7750,0.038098
-108.0250,32.7750,0.038098
-107.9750,32.7750,0.038187
-107.9250,32.7750,0.038328
-107.8750,32.7750,0.038328
-107.8250,32.7750,0.038439
-107.7750,32.7750,0.038641
-107.7250,32.7750,0.038640
-107.6750,32.7750,0.038938
-107.6250,32.7750,0.038945
-107.5750,32.7750,0.039189
-107.5250,32.7750,0.039249
-107.4750,32.7750,0.039547
-107.4250,32.7750,0.039892
-107.3750,32.7750,0.039900
-107.3250,32.7750,0.040162
-107.2750,32.7750,0.040430
-107.2250,32.7750,0.040417
-107.1750,32.7750,0.040685
-107.1250,32.7750,0.040747
-107.0750,32.7750,0.040931
-107.0250,32.7750,0.041154
-106.9750,32.7750,0.041156
-106.9250,32.7750,0.041368
-106.8750,32.7750,0.041603
-106.8250,32.7750,0.041604
-106.7750,32.7750,0.041766
-106.7250,32.7750,0.041898
-106.6750,32.7750,0.041896
-106.6250,32.7750,0.041917
-106.5750,32.7750,0.042149
-106.5250,32.7750,0.042157
-106.4750,32.7750,0.042158
-106.4250,32.7750,0.042138
-106.3750,32.7750,0.042013
-106.3250,32.7750,0.042013
-106.2750,32.7750,0.041940
-106.2250,32.7750,0.041791
-106.1750,32.7750,0.041791
-106.1250,32.7750,0.041475
-106.0750,32.7750,0.041117
-106.0250,32.7750,0.040973
-105.9750,32.7750,0.040567
-105.9250,32.7750,0.040421
-105.8750,32.7750,0.039880
-105.8250,32.7750,0.039829
-105.7750,32.7750,0.039257
-105.7250,32.7750,0.038492
-105.6750,32.7750,0.038444
-105.6250,32.7750,0.037591
-105.5750,32.7750,0.036457
-105.5250,32.7750,0.036175
-105.4750,32.7750,0.035029
-105.4250,32.7750,0.033175
-105.3750,32.7750,0.032593
-105.3250,32.7750,0.031105
-105.2750,32.7750,0.031004
-105.2250,32.7750,0.029268
-105.1750,32.7750,0.027159
-105.1250,32.7750,0.027159
-105.0750,32.7750,0.024801
-105.0250,32.7750,0.023342
-104.9750,32.7750,0.023342
-104.9250,32.7750,0.021826
-104.8750,32.7750,0.021040
-104.8250,32.7750,0.020186
-104.7750,32.7750,0.018759
-104.7250,32.7750,0.018582
-104.6750,32.7750,0.017729
-104.6250,32.7750,0.017724
-104.5750,32.7750,0.016887
-104.5250,32.7750,0.016055
-104.4750,32.7750,0.016054
-104.4250,32.7750,0.015231
-104.3750,32.7750,0.014474
-104.3250,32.7750,0.014474
-104.2750,32.7750,0.014063
-104.2250,32.7750,0.013668
-104.1750,32.7750,0.013687
-104.1250,32.7750,0.013281
-104.0750,32.7750,0.013320
-104.0250,32.7750,0.012973
-103.9750,32.7750,0.012621
-103.9250,32.7750,0.012645
-103.8750,32.7750,0.012345
-103.8250,32.7750,0.012067
-103.7750,32.7750,0.012066
-103.7250,32.7750,0.011804
-103.6750,32.7750,0.011555
-103.6250,32.7750,0.011554
-103.5750,32.7750,0.011317
-103.5250,32.7750,0.011229
-103.4750,32.7750,0.011111
-103.4250,32.7750,0.011006
-103.3750,32.7750,0.011099
-103.3250,32.7750,0.010995
-103.2750,32.7750,0.010946
-103.2250,32.7750,0.010907
-103.1750,32.7750,0.010818
-103.1250,32.7750,0.010818
-103.0750,32.7750,0.010727
-103.0250,32.7750,0.010631
-102.9750,32.7750,0.010631
-102.9250,32.7750,0.010547
-102.8750,32.7750,0.010475
-102.8250,32.7750,0.010475
-102.7750,32.7750,0.010413
-102.7250,32.7750,0.010345
-102.6750,32.7750,0.010387
-102.6250,32.7750,0.010269
-102.5750,32.7750,0.010299
-102.5250,32.7750,0.010245
-102.4750,32.7750,0.010138
-102.4250,32.7750,0.010147
-102.3750,32.7750,0.010088
-102.3250,32.7750,0.010015
-102.2750,32.7750,0.010015
-102.2250,32.7750,0.009948
-102.1750,32.7750,0.009889
-102.1250,32.7750,0.009889
-102.0750,32.7750,0.009834
-102.0250,32.7750,0.009785
-101.9750,32.7750,0.009785
-101.9250,32.7750,0.009723
-101.8750,32.7750,0.009670
-101.8250,32.7750,0.009667
-101.7750,32.7750,0.009633
-101.7250,32.7750,0.009609
-101.6750,32.7750,0.009564
-101.6250,32.7750,0.009587
-101.5750,32.7750,0.009540
-101.5250,32.7750,0.009513
-101.4750,32.7750,0.009506
-101.4250,32.7750,0.009487
-101.3750,32.7750,0.009460
-101.3250,32.7750,0.009446
-101.2750,32.7750,0.009443
-101.2250,32.7750,0.009430
-101.1750,32.7750,0.009420
-101.1250,32.7750,0.009420
-101.0750,32.7750,0.009415
-101.0250,32.7750,0.009678
-100.9750,32.7750,0.009686
-100.9250,32.7750,0.009728
-100.8750,32.7750,0.009667
-100.8250,32.7750,0.009759
-100.7750,32.7750,0.009779
-100.7250,32.7750,0.010053
-100.6750,32.7750,0.010083
-100.6250,32.7750,0.010182
-100.5750,32.7750,0.010117
-100.5250,32.7750,0.010156
-100.4750,32.7750,0.010161
-100.4250,32.7750,0.010201
-100.3750,32.7750,0.010245
-100.3250,32.7750,0.010257
-100.2750,32.7750,0.010296
-100.2250,32.7750,0.010351
-100.1750,32.7750,0.010400
-100.1250,32.7750,0.010409
-100.0750,32.7750,0.010470
-100.0250,32.7750,0.010538
-99.9750,32.7750,0.010539
-99.9250,32.7750,0.010713
-99.8750,32.7750,0.010783
-99.8250,32.7750,0.010793
-99.7750,32.7750,0.010884
-99.7250,32.7750,0.010820
-99.6750,32.7750,0.011041
-99.6250,32.7750,0.011314
-99.5750,32.7750,0.011182
-99.5250,32.7750,0.011471
-99.4750,32.7750,0.011798
-99.4250,32.7750,0.011673
-99.3750,32.7750,0.011843
-99.3250,32.7750,0.012056
-99.2750,32.7750,0.012026
-99.2250,32.7750,0.012201
-99.1750,32.7750,0.012380
-99.1250,32.7750,0.012381
-99.0750,32.7750,0.012561
-99.0250,32.7750,0.012741
-98.9750,32.7750,0.012741
-98.9250,32.7750,0.012924
-98.8750,32.7750,0.013108
-98.8250,32.7750,0.013108
-98.7750,32.7750,0.013293
-98.7250,32.7750,0.013477
-98.6750,32.7750,0.013477
-98.6250,32.7750,0.013660
-98.5750,32.7750,0.013842
-98.5250,32.7750,0.013841
-98.4750,32.7750,0.014020
-98.4250,32.7750,0.014196
-98.3750,32.7750,0.014073
-98.3250,32.7750,0.014369
-98.2750,32.7750,0.014555
-98.2250,32.7750,0.014405
-98.1750,32.7750,0.014851
-98.1250,32.7750,0.015137
-98.0750,32.7750,0.014900
-98.0250,32.7750,0.015203
-97.9750,32.7750,0.015654
-97.9250,32.7750,0.015460
-97.8750,32.7750,0.015728
-97.8250,32.7750,0.015993
-97.7750,32.7750,0.015987
-97.7250,32.7750,0.016242
-97.6750,32.7750,0.016391
-97.6250,32.7750,0.016491
-97.5750,32.7750,0.016731
-97.5250,32.7750,0.016962
-97.4750,32.7750,0.016964
-97.4250,32.7750,0.017185
-97.3750,32.7750,0.017401
-97.3250,32.7750,0.017401
-97.2750,32.7750,0.017613
-97.2250,32.7750,0.017813
-97.1750,32.7750,0.017813
-97.1250,32.7750,0.018006
-97.0750,32.7750,0.018191
-97.0250,32.7750,0.018191
-96.9750,32.7750,0.018373
-96.9250,32.7750,0.018545
-96.8750,32.7750,0.018557
-96.8250,32.7750,0.018714
-96.7750,32.7750,0.018877
-96.7250,32.7750,0.019080
-96.6750,32.7750,0.019087
-96.6250,32.7750,0.019344
-96.5750,32.7750,0.019590
-96.5250,32.7750,0.019590
-96.4750,32.7750,0.019821
-96.4250,32.7750,0.020047
-96.3750,32.7750,0.020047
-96.3250,32.7750,0.020259
-96.2750,32.7750,0.020458
-96.2250,32.7750,0.020297
-96.1750,32.7750,0.020639
-96.1250,32.7750,0.020813
-96.0750,32.7750,0.020494
-96.0250,32.7750,0.020979
-95.9750,32.7750,0.021135
-95.9250,32.7750,0.020831
-95.8750,32.7750,0.021271
-95.8250,32.7750,0.021408
-95.7750,32.7750,0.021131
-95.7250,32.7750,0.021282
-95.6750,32.7750,0.021683
-95.6250,32.7750,0.021505
-95.5750,32.7750,0.021544
-95.5250,32.7750,0.021936
-95.4750,32.7750,0.022002
-95.4250,32.7750,0.021822
-95.3750,32.7750,0.022172
-95.3250,32.7750,0.022324
-95.2750,32.7750,0.022106
-95.2250,32.7750,0.022245
-95.1750,32.7750,0.022592
-95.1250,32.7750,0.022392
-95.0750,32.7750,0.022544
-95.0250,32.7750,0.022880
-94.9750,32.7750,0.022689
-94.9250,32.7750,0.022839
-94.8750,32.7750,0.023119
-94.8250,32.7750,0.023017
-94.7750,32.7750,0.023151
-94.7250,32.7750,0.023307
-94.6750,32.7750,0.023575
-94.6250,32.7750,0.023457
-94.5750,32.7750,0.023607
-94.5250,32.7750,0.023912
-94.4750,32.7750,0.023764
-94.4250,32.7750,0.023914
