lon,lat,pga_g
-117.2750,32.7750,0.2126
-117.2250,32.7750,0.2053
-117.1750,32.7750,0.2053
-117.1250,32.7750,0.1840
-117.0750,32.7750,0.1730
-117.0250,32.7750,0.1574
-116.9750,32.7750,0.1573
-116.9250,32.7750,0.1549
-116.8750,32.7750,0.1571
-116.8250,32.7750,0.1571
-116.7750,32.7750,0.1650
-116.7250,32.7750,0.1601
-116.6750,32.7750,0.1755
-116.6250,32.7750,0.1755
-116.5750,32.7750,0.1906
-116.5250,32.7750,0.2045
-116.4750,32.7750,0.2012
-116.4250,32.7750,0.2213
-116.3750,32.7750,0.2213
-116.3250,32.7750,0.2491
-116.2750,32.7750,0.2756
-116.2250,32.7750,0.2761
-116.1750,32.7750,0.3206
-116.1250,32.7750,0.3233
-116.0750,32.7750,0.3554
-116.0250,32.7750,0.3554
-115.9750,32.7750,0.3981
-115.9250,32.7750,0.4056
-115.8750,32.7750,0.4228
-115.8250,32.7750,0.4206
-115.7750,32.7750,0.4260
-115.7250,32.7750,0.4606
-115.6750,32.7750,0.4965
-115.6250,32.7750,0.5668
-115.5750,32.7750,0.7498
-115.5250,32.7750,0.7853
-115.4750,32.7750,1.2232
-115.4250,32.7750,1.2233
-115.3750,32.7750,0.9766
-115.3250,32.7750,0.6470
-115.2750,32.7750,0.6469
-115.2250,32.7750,0.4756
-115.1750,32.7750,0.4869
-115.1250,32.7750,0.3998
-115.0750,32.7750,0.3998
-115.0250,32.7750,0.3342
-114.9750,32.7750,0.2812
-114.9250,32.7750,0.2871
-114.8750,32.7750,0.2484
-114.8250,32.7750,0.2510
-114.7750,32.7750,0.2156
-114.7250,32.7750,0.1936
-114.6750,32.7750,0.1933
-114.6250,32.7750,0.1666
-114.5750,32.7750,0.1595
-114.5250,32.7750,0.1429
-114.4750,32.7750,0.1429
-114.4250,32.7750,0.1208
-114.3750,32.7750,0.1063
-114.3250,32.7750,0.1063
-114.2750,32.7750,0.0807
-114.2250,32.7750,0.0782
-114.1750,32.7750,0.0709
-114.1250,32.7750,0.0708
-114.0750,32.7750,0.0667
-114.0250,32.7750,0.0621
-113.9750,32.7750,0.0619
-113.9250,32.7750,0.0569
-113.8750,32.7750,0.0551
-113.8250,32.7750,0.0526
-113.7750,32.7750,0.0498
-113.7250,32.7750,0.0498
-113.6750,32.7750,0.0467
-113.6250,32.7750,0.0436
-113.5750,32.7750,0.0434
-113.5250,32.7750,0.0412
-113.4750,32.7750,0.0406
-113.4250,32.7750,0.0390
-113.3750,32.7750,0.0390
-113.3250,32.7750,0.0372
-113.2750,32.7750,0.0352
-113.2250,32.7750,0.0352
-113.1750,32.7750,0.0332
-113.1250,32.7750,0.0327
-113.0750,32.7750,0.0315
-113.0250,32.7750,0.0315
-112.9750,32.7750,0.0305
-112.9250,32.7750,0.0295
-112.8750,32.7750,0.0293
-112.8250,32.7750,0.0285
-112.7750,32.7750,0.0283
-112.7250,32.7750,0.0273
-112.6750,32.7750,0.0264
-112.6250,32.7750,0.0264
-112.5750,32.7750,0.0255
-112.5250,32.7750,0.0248
-112.4750,32.7750,0.0247
-112.4250,32.7750,0.0243
-112.3750,32.7750,0.0243
-112.3250,32.7750,0.0241
-112.2750,32.7750,0.0241
-112.2250,32.7750,0.0239
-112.1750,32.7750,0.0239
-112.1250,32.7750,0.0239
-112.0750,32.7750,0.0239
-112.0250,32.7750,0.0241
-111.9750,32.7750,0.0242
-111.9250,32.7750,0.0242
-111.8750,32.7750,0.0245
-111.8250,32.7750,0.0250
-111.7750,32.7750,0.0250
-111.7250,32.7750,0.0259
-111.6750,32.7750,0.0268
-111.6250,32.7750,0.0278
-111.5750,32.7750,0.0289
-111.5250,32.7750,0.0289
-111.4750,32.7750,0.0300
-111.4250,32.7750,0.0311
-111.3750,32.7750,0.0311
-111.3250,32.7750,0.0322
-111.2750,32.7750,0.0331
-111.2250,32.7750,0.0346
-111.1750,32.7750,0.0346
-111.1250,32.7750,0.0359
-111.0750,32.7750,0.0369
-111.0250,32.7750,0.0369
-110.9750,32.7750,0.0375
-110.9250,32.7750,0.0379
-110.8750,32.7750,0.0381
-110.8250,32.7750,0.0384
-110.7750,32.7750,0.0383
-110.7250,32.7750,0.0386
-110.6750,32.7750,0.0386
-110.6250,32.7750,0.0386
-110.5750,32.7750,0.0387
-110.5250,32.7750,0.0387
-110.4750,32.7750,0.0388
-110.4250,32.7750,0.0387
-110.3750,32.7750,0.0387
-110.3250,32.7750,0.0387
-110.2750,32.7750,0.0387
-110.2250,32.7750,0.0387
-110.1750,32.7750,0.0387
-110.1250,32.7750,0.0387
-110.0750,32.7750,0.0387
-110.0250,32.7750,0.0386
-109.9750,32.7750,0.0387
-109.9250,32.7750,0.0386
-109.8750,32.7750,0.0388
-109.8250,32.7750,0.0391
-109.7750,32.7750,0.0391
-109.7250,32.7750,0.0393
-109.6750,32.7750,0.0394
-109.6250,32.7750,0.0394
-109.5750,32.7750,0.0396
-109.5250,32.7750,0.0397
-109.4750,32.7750,0.0400
-109.4250,32.7750,0.0400
-109.3750,32.7750,0.0402
-109.3250,32.7750,0.0404
-109.2750,32.7750,0.0404
-109.2250,32.7750,0.0406
-109.1750,32.7750,0.0406
-109.1250,32.7750,0.0408
-109.0750,32.7750,0.0406
-109.0250,32.7750,0.0407
-108.9750,32.7750,0.0405
-108.9250,32.7750,0.0404
-108.8750,32.7750,0.0402
-108.8250,32.7750,0.0400
-108.7750,32.7750,0.0399
-108.7250,32.7750,0.0397
-108.6750,32.7750,0.0394
-108.6250,32.7750,0.0394
-108.5750,32.7750,0.0391
-108.5250,32.7750,0.0391
-108.4750,32.7750,0.0388
-108.4250,32.7750,0.0384
-108.3750,32.7750,0.0384
-108.3250,32.7750,0.0382
-108.2750,32.7750,0.0381
-108.2250,32.7750,0.0381
-108.1750,32.7750,0.0380
-108.1250,32.7750,0.0380
-108.0750,32.7750,0.0381
-108.0250,32.7750,0.0381
-107.9750,32.7750,0.0382
-107.9250,32.7750,0.0383
-107.8750,32.7750,0.0383
-107.8250,32.7750,0.0384
-107.7750,32.7750,0.0386
-107.7250,32.7750,0.0386
-107.6750,32.7750,0.0389
-107.6250,32.7750,0.0389
-107.5750,32.7750,0.0392
-107.5250,32.7750,0.0392
-107.4750,32.7750,0.0395
-107.4250,32.7750,0.0399
-107.3750,32.7750,0.0399
-107.3250,32.7750,0.0402
-107.2750,32.7750,0.0404
-107.2250,32.7750,0.0404
-107.1750,32.7750,0.0407
-107.1250,32.7750,0.0407
-107.0750,32.7750,0.0409
-107.0250,32.7750,0.0412
-106.9750,32.7750,0.0412
-106.9250,32.7750,0.0414
-106.8750,32.7750,0.0416
-106.8250,32.7750,0.0416
-106.7750,32.7750,0.0418
-106.7250,32.7750,0.0419
-106.6750,32.7750,0.0419
-106.6250,32.7750,0.0419
-106.5750,32.7750,0.0421
-106.5250,32.7750,0.0422
-106.4750,32.7750,0.0422
-106.4250,32.7750,0.0421
-106.3750,32.7750,0.0420
-106.3250,32.7750,0.0420
-106.2750,32.7750,0.0419
-106.2250,32.7750,0.0418
-106.1750,32.7750,0.0418
-106.1250,32.7750,0.0415
-106.0750,32.7750,0.0411
-106.0250,32.7750,0.0410
-105.9750,32.7750,0.0406
-105.9250,32.7750,0.0404
-105.8750,32.7750,0.0399
-105.8250,32.7750,0.0398
-105.7750,32.7750,0.0393
-105.7250,32.7750,0.0385
-105.6750,32.7750,0.0384
-105.6250,32.7750,0.0376
-105.5750,32.7750,0.0365
-105.5250,32.7750,0.0362
-105.4750,32.7750,0.0350
-105.4250,32.7750,0.0332
-105.3750,32.7750,0.0326
-105.3250,32.7750,0.0311
-105.2750,32.7750,0.0310
-105.2250,32.7750,0.0293
-105.1750,32.7750,0.0272
-105.1250,32.7750,0.0272
-105.0750,32.7750,0.0248
-105.0250,32.7750,0.0233
-104.9750,32.7750,0.0233
-104.9250,32.7750,0.0218
-104.8750,32.7750,0.0210
-104.8250,32.7750,0.0202
-104.7750,32.7750,0.0188
-104.7250,32.7750,0.0186
-104.6750,32.7750,0.0177
-104.6250,32.7750,0.0177
-104.5750,32.7750,0.0169
-104.5250,32.7750,0.0161
-104.4750,32.7750,0.0161
-104.4250,32.7750,0.0152
-104.3750,32.7750,0.0145
-104.3250,32.7750,0.0145
-104.2750,32.7750,0.0141
-104.2250,32.7750,0.0137
-104.1750,32.7750,0.0137
-104.1250,32.7750,0.0133
-104.0750,32.7750,0.0133
-104.0250,32.7750,0.0130
-103.9750,32.7750,0.0126
-103.9250,32.7750,0.0126
-103.8750,32.7750,0.0123
-103.8250,32.7750,0.0121
-103.7750,32.7750,0.0121
-103.7250,32.7750,0.0118
-103.6750,32.7750,0.0116
-103.6250,32.7750,0.0116
-103.5750,32.7750,0.0113
-103.5250,32.7750,0.0112
-103.4750,32.7750,0.0111
-103.4250,32.7750,0.0110
-103.3750,32.7750,0.0111
-103.3250,32.7750,0.0110
-103.2750,32.7750,0.0109
-103.2250,32.7750,0.0109
-103.1750,32.7750,0.0108
-103.1250,32.7750,0.0108
-103.0750,32.7750,0.0107
-103.0250,32.7750,0.0106
-102.9750,32.7750,0.0106
-102.9250,32.7750,0.0105
-102.8750,32.7750,0.0105
-102.8250,32.7750,0.0105
-102.7750,32.7750,0.0104
-102.7250,32.7750,0.0103
-102.6750,32.7750,0.0104
-102.6250,32.7750,0.0103
-102.5750,32.7750,0.0103
-102.5250,32.7750,0.0102
-102.4750,32.7750,0.0101
-102.4250,32.7750,0.0101
-102.3750,32.7750,0.0101
-102.3250,32.7750,0.0100
-102.2750,32.7750,0.0100
-102.2250,32.7750,0.0099
-102.1750,32.7750,0.0099
-102.1250,32.7750,0.0099
-102.0750,32.7750,0.0098
-102.0250,32.7750,0.0098
-101.9750,32.7750,0.0098
-101.9250,32.7750,0.0097
-101.8750,32.7750,0.0097
-101.8250,32.7750,0.0097
-101.7750,32.7750,0.0096
-101.7250,32.7750,0.0096
-101.6750,32.7750,0.0096
-101.6250,32.7750,0.0096
-101.5750,32.7750,0.0095
-101.5250,32.7750,0.0095
-101.4750,32.7750,0.0095
-101.4250,32.7750,0.0095
-101.3750,32.7750,0.0095
-101.3250,32.7750,0.0094
-101.2750,32.7750,0.0094
-101.2250,32.7750,0.0094
-101.1750,32.7750,0.0094
-101.1250,32.7750,0.0094
-101.0750,32.7750,0.0094
-101.0250,32.7750,0.0097
-100.9750,32.7750,0.0097
-100.9250,32.7750,0.0097
-100.8750,32.7750,0.0097
-100.8250,32.7750,0.0098
-100.7750,32.7750,0.0098
-100.7250,32.7750,0.0101
-100.6750,32.7750,0.0101
-100.6250,32.7750,0.0102
-100.5750,32.7750,0.0101
-100.5250,32.7750,0.0102
-100.4750,32.7750,0.0102
-100.4250,32.7750,0.0102
-100.3750,32.7750,0.0102
-100.3250,32.7750,0.0103
-100.2750,32.7750,0.0103
-100.2250,32.7750,0.0104
-100.1750,32.7750,0.0104
-100.1250,32.7750,0.0104
-100.0750,32.7750,0.0105
-100.0250,32.7750,0.0105
-99.9750,32.7750,0.0105
-99.9250,32.7750,0.0107
-99.8750,32.7750,0.0108
-99.8250,32.7750,0.0108
-99.7750,32.7750,0.0109
-99.7250,32.7750,0.0108
-99.6750,32.7750,0.0110
-99.6250,32.7750,0.0113
-99.5750,32.7750,0.0112
-99.5250,32.7750,0.0115
-99.4750,32.7750,0.0118
-99.4250,32.7750,0.0117
-99.3750,32.7750,0.0118
-99.3250,32.7750,0.0121
-99.2750,32.7750,0.0120
-99.2250,32.7750,0.0122
-99.1750,32.7750,0.0124
-99.1250,32.7750,0.0124
-99.0750,32.7750,0.0126
-99.0250,32.7750,0.0127
-98.9750,32.7750,0.0127
-98.9250,32.7750,0.0129
-98.8750,32.7750,0.0131
-98.8250,32.7750,0.0131
-98.7750,32.7750,0.0133
-98.7250,32.7750,0.0135
-98.6750,32.7750,0.0135
-98.6250,32.7750,0.0137
-98.5750,32.7750,0.0138
-98.5250,32.7750,0.0138
-98.4750,32.7750,0.0140
-98.4250,32.7750,0.0142
-98.3750,32.7750,0.0141
-98.3250,32.7750,0.0144
-98.2750,32.7750,0.0146
-98.2250,32.7750,0.0144
-98.1750,32.7750,0.0149
-98.1250,32.7750,0.0151
-98.0750,32.7750,0.0149
-98.0250,32.7750,0.0152
-97.9750,32.7750,0.0157
-97.9250,32.7750,0.0155
-97.8750,32.7750,0.0157
-97.8250,32.7750,0.0160
-97.7750,32.7750,0.0160
-97.7250,32.7750,0.0162
-97.6750,32.7750,0.0164
-97.6250,32.7750,0.0165
-97.5750,32.7750,0.0167
-97.5250,32.7750,0.0170
-97.4750,32.7750,0.0170
-97.4250,32.7750,0.0172
-97.3750,32.7750,0.0174
-97.3250,32.7750,0.0174
-97.2750,32.7750,0.0176
-97.2250,32.7750,0.0178
-97.1750,32.7750,0.0178
-97.1250,32.7750,0.0180
-97.0750,32.7750,0.0182
-97.0250,32.7750,0.0182
-96.9750,32.7750,0.0184
-96.9250,32.7750,0.0185
-96.8750,32.7750,0.0186
-96.8250,32.7750,0.0187
-96.7750,32.7750,0.0189
-96.7250,32.7750,0.0191
-96.6750,32.7750,0.0191
-96.6250,32.7750,0.0193
-96.5750,32.7750,0.0196
-96.5250,32.7750,0.0196
-96.4750,32.7750,0.0198
-96.4250,32.7750,0.0200
-96.3750,32.7750,0.0200
-96.3250,32.7750,0.0203
-96.2750,32.7750,0.0205
-96.2250,32.7750,0.0203
-96.1750,32.7750,0.0206
-96.1250,32.7750,0.0208
-96.0750,32.7750,0.0205
-96.0250,32.7750,0.0210
-95.9750,32.7750,0.0211
-95.9250,32.7750,0.0208
-95.8750,32.7750,0.0213
-95.8250,32.7750,0.0214
-95.7750,32.7750,0.0211
-95.7250,32.7750,0.0213
-95.6750,32.7750,0.0217
-95.6250,32.7750,0.0215
-95.5750,32.7750,0.0215
-95.5250,32.7750,0.0219
-95.4750,32.7750,0.0220
-95.4250,32.7750,0.0218
-95.3750,32.7750,0.0222
-95.3250,32.7750,0.0223
-95.2750,32.7750,0.0221
-95.2250,32.7750,0.0222
-95.1750,32.7750,0.0226
-95.1250,32.7750,0.0224
-95.0750,32.7750,0.0225
-95.0250,32.7750,0.0229
-94.9750,32.7750,0.0227
-94.9250,32.7750,0.0228
-94.8750,32.7750,0.0231
-94.8250,32.7750,0.0230
-94.7750,32.7750,0.0232
-94.7250,32.7750,0.0233
-94.6750,32.7750,0.0236
-94.6250,32.7750,0.0235
-94.5750,32.7750,0.0236
-94.5250,32.7750,0.0239
-94.4750,32.7750,0.0238
-94.4250,32.7750,0.0239
-94.3750,32.7750,0.0242
-94.3250,32.7750,0.0241
-94.2750,32.7750,0.0242
-94.2250,32.7750,0.0244
-94.1750,32.7750,0.0245
-94.1250,32.7750,0.0245
-94.0750,32.7750,0.0247
-94.0250,32.7750,0.0252
-93.9750,32.7750,0.0249
-93.9250,32.7750,0.0252
-93.8750,32.7750,0.0257
-93.8250,32.7750,0.0255
-93.7750,32.7750,0.0257
-93.7250,32.7750,0.0260
-93.6750,32.7750,0.0265
-93.6250,32.7750,0.0263
-93.5750,32.7750,0.0266
-93.5250,32.7750,0.0271
-93.4750,32.7750,0.0269
-93.4250,32.7750,0.0272
-93.3750,32.7750,0.0277
-93.3250,32.7750,0.0277
-93.2750,32.7750,0.0278
-93.2250,32.7750,0.0281
-93.1750,32.7750,0.0287
-93.1250,32.7750,0.0284
-93.0750,32.7750,0.0287
-93.0250,32.7750,0.0293
-92.9750,32.7750,0.0292
-92.9250,32.7750,0.0293
-92.8750,32.7750,0.0299
-92.8250,32.7750,0.0302
-92.7750,32.7750,0.0299
-92.7250,32.7750,0.0304
-92.6750,32.7750,0.0308
-92.6250,32.7750,0.0309
-92.5750,32.7750,0.0308
-92.5250,32.7750,0.0314
-92.4750,32.7750,0.0317
-92.4250,32.7750,0.0313
-92.3750,32.7750,0.0320
-92.3250,32.7750,0.0323
-92.2750,32.7750,0.0326
-92.2250,32.7750,0.0326
-92.1750,32.7750,0.0331
-92.1250,32.7750,0.0335
-92.0750,32.7750,0.0334
-92.0250,32.7750,0.0339
-91.9750,32.7750,0.0343
-91.9250,32.7750,0.0346
-91.8750,32.7750,0.0346
-91.8250,32.7750,0.0350
