lon,lat,pga_g
6.1350,53.5250,0.0000
6.1850,53.5250,0.0000
6.2350,53.5250,0.0000
6.2850,53.5250,0.0000
6.3350,53.5250,0.0000
6.4350,53.5250,0.0000
6.4850,53.5250,0.0000
6.5350,53.5250,0.0000
6.9850,53.5250,0.0000
7.0350,53.5250,0.0000
7.0850,53.5250,0.0000
7.1350,53.5250,0.0000
7.1850,53.5250,0.0000
5.4850,53.4750,0.0000
5.5350,53.4750,0.0000
5.5850,53.4750,0.0000
5.6350,53.4750,0.0000
5.6850,53.4750,0.0000
5.7350,53.4750,0.0000
5.7850,53.4750,0.0000
5.8350,53.4750,0.0000
5.8850,53.4750,0.0000
5.9350,53.4750,0.0000
5.9850,53.4750,0.0000
6.0350,53.4750,0.0000
6.0850,53.4750,0.0000
6.1350,53.4750,0.0000
6.1850,53.4750,0.0000
6.2350,53.4750,0.0000
6.5850,53.4750,0.0000
6.6350,53.4750,0.0000
6.6850,53.4750,0.0000
6.7350,53.4750,0.0000
6.7850,53.4750,0.0000
6.8350,53.4750,0.0000
6.9850,53.4750,0.0000
7.0350,53.4750,0.0000
7.0850,53.4750,0.0000
7.1350,53.4750,0.0000
7.1850,53.4750,0.0000
5.1850,53.4250,0.0000
5.2350,53.4250,0.0000
5.2850,53.4250,0.0000
5.3350,53.4250,0.0000
5.3850,53.4250,0.0000
5.4350,53.4250,0.0000
5.4850,53.4250,0.0000
5.5350,53.4250,0.0000
5.5850,53.4250,0.0000
5.6350,53.4250,0.0000
5.6850,53.4250,0.0000
5.7350,53.4250,0.0000
5.7850,53.4250,0.0000
5.8350,53.4250,0.0000
5.8850,53.4250,0.0000
5.9850,53.4250,0.0000
6.0350,53.4250,0.0000
6.0850,53.4250,0.0000
6.1350,53.4250,0.0000
6.1850,53.4250,0.0000
6.2350,53.4250,0.0000
6.2850,53.4250,0.0000
6.3350,53.4250,0.0000
6.3850,53.4250,0.0000
6.4350,53.4250,0.0000
6.4850,53.4250,0.0000
6.5350,53.4250,0.0000
6.5850,53.4250,0.0000
6.6350,53.4250,0.0000
6.6850,53.4250,0.0000
6.7350,53.4250,0.0000
6.7850,53.4250,0.0000
6.8350,53.4250,0.0000
6.9850,53.4250,0.0000
7.0350,53.4250,0.0000
7.0850,53.4250,0.0000
7.1350,53.4250,0.0000
7.1850,53.4250,0.0000
5.1850,53.3750,0.0000
5.2350,53.3750,0.0000
5.2850,53.3750,0.0000
5.3350,53.3750,0.0000
5.3850,53.3750,0.0000
5.7350,53.3750,0.0000
5.7850,53.3750,0.0000
5.8350,53.3750,0.0000
5.8850,53.3750,0.0000
5.9350,53.3750,0.0000
5.9850,53.3750,0.0000
6.0350,53.3750,0.0000
6.0850,53.3750,0.0000
6.1350,53.3750,0.0000
6.1850,53.3750,0.0000
6.2350,53.3750,0.0000
6.2850,53.3750,0.0000
6.3350,53.3750,0.0000
6.3850,53.3750,0.0000
6.4350,53.3750,0.0000
6.4850,53.3750,0.0000
6.5350,53.3750,0.0000
6.5850,53.3750,0.0000
6.6350,53.3750,0.0000
6.6850,53.3750,0.0000
6.7350,53.3750,0.0000
6.7850,53.3750,0.0000
6.8350,53.3750,0.0000
6.8850,53.3750,0.0000
6.9350,53.3750,0.0000
6.9850,53.3750,0.0000
7.0350,53.3750,0.0000
7.0850,53.3750,0.0000
7.1350,53.3750,0.0000
7.1850,53.3750,0.0000
5.0350,53.3250,0.0000
5.0850,53.3250,0.0000
5.1350,53.3250,0.0000
5.1850,53.3250,0.0000
5.5850,53.3250,0.0000
5.6350,53.3250,0.0000
5.6850,53.3250,0.0000
5.7350,53.3250,0.0000
5.7850,53.3250,0.0000
5.8350,53.3250,0.0000
5.8850,53.3250,0.0000
5.9350,53.3250,0.0000
5.9850,53.3250,0.0000
6.0350,53.3250,0.0000
6.0850,53.3250,0.0000
6.1350,53.3250,0.0000
6.1850,53.3250,0.0000
6.2350,53.3250,0.0000
6.2850,53.3250,0.0000
6.3350,53.3250,0.0000
6.3850,53.3250,0.0000
6.4350,53.3250,0.0000
6.4850,53.3250,0.0000
6.5350,53.3250,0.0000
6.5850,53.3250,0.0000
6.6350,53.3250,0.0000
6.6850,53.3250,0.0000
6.7350,53.3250,0.0000
6.7850,53.3250,0.0000
6.8350,53.3250,0.0000
6.8850,53.3250,0.0000
6.9350,53.3250,0.0000
6.9850,53.3250,0.0000
7.0350,53.3250,0.0000
7.0850,53.3250,0.0000
7.1350,53.3250,0.0000
7.1850,53.3250,0.0000
4.9350,53.2750,0.0000
4.9850,53.2750,0.0000
5.0350,53.2750,0.0000
5.0850,53.2750,0.0000
5.1350,53.2750,0.0000
5.1850,53.2750,0.0000
5.2350,53.2750,0.0000
5.2850,53.2750,0.0000
5.4850,53.2750,0.0000
5.5350,53.2750,0.0000
5.5850,53.2750,0.0000
5.6350,53.2750,0.0000
5.6850,53.2750,0.0000
5.7350,53.2750,0.0000
5.7850,53.2750,0.0000
5.8350,53.2750,0.0000
5.8850,53.2750,0.0000
5.9350,53.2750,0.0000
5.9850,53.2750,0.0000
6.0350,53.2750,0.0000
6.0850,53.2750,0.0000
6.1350,53.2750,0.0000
6.1850,53.2750,0.0000
6.2350,53.2750,0.0000
6.2850,53.2750,0.0000
6.3350,53.2750,0.0000
6.3850,53.2750,0.0000
6.4350,53.2750,0.0000
6.4850,53.2750,0.0000
6.5350,53.2750,0.0000
6.5850,53.2750,0.0000
6.6350,53.2750,0.0000
6.6850,53.2750,0.0000
6.7350,53.2750,0.0000
6.7850,53.2750,0.0000
6.8350,53.2750,0.0000
6.8850,53.2750,0.0000
6.9350,53.2750,0.0000
6.9850,53.2750,0.0000
7.0350,53.2750,0.0000
7.0850,53.2750,0.0000
7.1350,53.2750,0.0000
7.1850,53.2750,0.0000
4.8350,53.2250,0.0000
4.8850,53.2250,0.0000
4.9350,53.2250,0.0000
4.9850,53.2250,0.0000
5.4350,53.2250,0.0000
5.4850,53.2250,0.0000
5.5350,53.2250,0.0000
5.5850,53.2250,0.0000
5.6350,53.2250,0.0000
5.6850,53.2250,0.0000
5.7350,53.2250,0.0000
5.7850,53.2250,0.0000
5.8350,53.2250,0.0000
5.8850,53.2250,0.0000
5.9350,53.2250,0.0000
5.9850,53.2250,0.0000
6.0350,53.2250,0.0000
6.0850,53.2250,0.0000
6.1350,53.2250,0.0000
6.1850,53.2250,0.0000
6.2350,53.2250,0.0000
6.2850,53.2250,0.0000
6.3350,53.2250,0.0000
6.3850,53.2250,0.0000
6.4350,53.2250,0.0000
6.4850,53.2250,0.0000
6.5350,53.2250,0.0000
6.5850,53.2250,0.0000
6.6350,53.2250,0.0000
6.6850,53.2250,0.0000
6.7350,53.2250,0.0000
6.7850,53.2250,0.0000
6.8350,53.2250,0.0000
6.8850,53.2250,0.0000
6.9350,53.2250,0.0000
6.9850,53.2250,0.0000
7.0350,53.2250,0.0000
7.0850,53.2250,0.0000
7.1350,53.2250,0.0000
7.1850,53.2250,0.0000
4.7850,53.1750,0.0000
4.8350,53.1750,0.0000
4.8850,53.1750,0.0000
4.9350,53.1750,0.0000
5.4350,53.1750,0.0000
5.4850,53.1750,0.0000
5.5350,53.1750,0.0000
5.5850,53.1750,0.0000
5.6350,53.1750,0.0000
5.6850,53.1750,0.0000
5.7350,53.1750,0.0000
5.7850,53.1750,0.0000
5.8350,53.1750,0.0000
5.8850,53.1750,0.0000
5.9350,53.1750,0.0000
5.9850,53.1750,0.0000
6.0350,53.1750,0.0000
6.0850,53.1750,0.0000
6.1350,53.1750,0.0000
6.1850,53.1750,0.0000
6.2350,53.1750,0.0000
6.2850,53.1750,0.0000
6.3350,53.1750,0.0000
6.3850,53.1750,0.0000
6.4350,53.1750,0.0000
6.4850,53.1750,0.0000
6.5350,53.1750,0.0000
6.5850,53.1750,0.0000
6.6350,53.1750,0.0000
6.6850,53.1750,0.0000
6.7350,53.1750,0.0000
6.7850,53.1750,0.0000
6.8350,53.1750,0.0000
6.8850,53.1750,0.0000
6.9350,53.1750,0.0000
6.9850,53.1750,0.0000
7.0350,53.1750,0.0000
7.0850,53.1750,0.0000
7.1350,53.1750,0.0000
7.1850,53.1750,0.0000
4.7350,53.1250,0.0000
4.7850,53.1250,0.0000
4.8350,53.1250,0.0000
4.8850,53.1250,0.0000
4.9350,53.1250,0.0000
5.3850,53.1250,0.0000
5.4350,53.1250,0.0000
5.4850,53.1250,0.0000
5.5350,53.1250,0.0000
5.5850,53.1250,0.0000
5.6350,53.1250,0.0000
5.6850,53.1250,0.0000
5.7350,53.1250,0.0000
5.7850,53.1250,0.0000
5.8350,53.1250,0.0000
5.8850,53.1250,0.0000
5.9350,53.1250,0.0000
5.9850,53.1250,0.0000
6.0350,53.1250,0.0000
6.0850,53.1250,0.0000
6.1350,53.1250,0.0000
6.1850,53.1250,0.0000
6.2350,53.1250,0.0000
6.2850,53.1250,0.0000
6.3350,53.1250,0.0000
6.3850,53.1250,0.0000
6.4350,53.1250,0.0000
6.4850,53.1250,0.0000
6.5350,53.1250,0.0000
6.5850,53.1250,0.0000
6.6350,53.1250,0.0000
6.6850,53.1250,0.0000
6.7350,53.1250,0.0000
6.7850,53.1250,0.0000
6.8350,53.1250,0.0000
6.8850,53.1250,0.0000
6.9350,53.1250,0.0000
6.9850,53.1250,0.0000
7.0350,53.1250,0.0000
7.0850,53.1250,0.0000
7.1350,53.1250,0.0000
7.1850,53.1250,0.0000
4.7350,53.0750,0.0000
4.7850,53.0750,0.0000
4.8350,53.0750,0.0000
4.8850,53.0750,0.0000
5.2350,53.0750,0.0052
5.2850,53.0750,0.0000
5.3350,53.0750,0.0000
5.3850,53.0750,0.0000
5.4350,53.0750,0.0000
5.4850,53.0750,0.0000
5.5350,53.0750,0.0000
5.5850,53.0750,0.0000
5.6350,53.0750,0.0000
5.6850,53.0750,0.0000
5.7350,53.0750,0.0000
5.7850,53.0750,0.0000
5.8350,53.0750,0.0000
5.8850,53.0750,0.0000
5.9350,53.0750,0.0000
5.9850,53.0750,0.0000
6.0350,53.0750,0.0000
6.0850,53.0750,0.0000
6.1350,53.0750,0.0000
6.1850,53.0750,0.0000
6.2350,53.0750,0.0000
6.2850,53.0750,0.0000
6.3350,53.0750,0.0000
6.3850,53.0750,0.0000
6.4350,53.0750,0.0000
6.4850,53.0750,0.0000
6.5350,53.0750,0.0000
6.5850,53.0750,0.0000
6.6350,53.0750,0.0000
6.6850,53.0750,0.0000
6.7350,53.0750,0.0000
6.7850,53.0750,0.0000
6.8350,53.0750,0.0000
6.8850,53.0750,0.0000
6.9350,53.0750,0.0000
6.9850,53.0750,0.0000
7.0350,53.0750,0.0000
7.0850,53.0750,0.0000
7.1350,53.0750,0.0000
7.1850,53.0750,0.0000
4.7350,53.0250,0.0053
4.7850,53.0250,0.0000
4.8350,53.0250,0.0000
4.8850,53.0250,0.0000
5.1850,53.0250,0.0055
5.2350,53.0250,0.0052
5.2850,53.0250,0.0049
5.3350,53.0250,0.0052
5.3850,53.0250,0.0053
5.4350,53.0250,0.0053
5.4850,53.0250,0.0053
5.5350,53.0250,0.0053
5.5850,53.0250,0.0054
5.6350,53.0250,0.0000
5.6850,53.0250,0.0054
5.7350,53.0250,0.0000
5.7850,53.0250,0.0054
5.8350,53.0250,0.0000
5.8850,53.0250,0.0000
5.9350,53.0250,0.0000
5.9850,53.0250,0.0000
6.0350,53.0250,0.0000
6.0850,53.0250,0.0000
6.1350,53.0250,0.0000
6.1850,53.0250,0.0000
6.2350,53.0250,0.0000
6.2850,53.0250,0.0000
6.3350,53.0250,0.0000
6.3850,53.0250,0.0000
6.4350,53.0250,0.0000
6.4850,53.0250,0.0000
6.5350,53.0250,0.0000
6.5850,53.0250,0.0000
6.6350,53.0250,0.0000
6.6850,53.0250,0.0000
6.7350,53.0250,0.0000
6.7850,53.0250,0.0000
6.8350,53.0250,0.0000
6.8850,53.0250,0.0000
6.9350,53.0250,0.0000
6.9850,53.0250,0.0000
7.0350,53.0250,0.0000
7.0850,53.0250,0.0000
7.1350,53.0250,0.0000
7.1850,53.0250,0.0000
4.6850,52.9750,0.0053
4.7350,52.9750,0.0055
4.7850,52.9750,0.0056
4.8350,52.9750,0.0057
5.0850,52.9750,0.0058
5.1350,52.9750,0.0058
5.1850,52.9750,0.0055
5.2350,52.9750,0.0056
5.2850,52.9750,0.0056
5.3350,52.9750,0.0056
5.3850,52.9750,0.0056
5.4350,52.9750,0.0057
5.4850,52.9750,0.0054
5.5350,52.9750,0.0057
5.5850,52.9750,0.0054
5.6350,52.9750,0.0058
5.6850,52.9750,0.0054
5.7350,52.9750,0.0057
5.7850,52.9750,0.0054
5.8350,52.9750,0.0054
5.8850,52.9750,0.0055
5.9350,52.9750,0.0054
5.9850,52.9750,0.0056
6.0350,52.9750,0.0054
6.0850,52.9750,0.0054
6.1350,52.9750,0.0054
6.1850,52.9750,0.0054
6.2350,52.9750,0.0054
6.2850,52.9750,0.0001
6.3350,52.9750,0.0054
6.3850,52.9750,0.0000
6.4350,52.9750,0.0054
6.4850,52.9750,0.0000
6.5350,52.9750,0.0016
6.5850,52.9750,0.0000
6.6350,52.9750,0.0000
6.6850,52.9750,0.0000
6.7350,52.9750,0.0000
6.7850,52.9750,0.0000
6.8350,52.9750,0.0000
6.8850,52.9750,0.0000
6.9350,52.9750,0.0000
6.9850,52.9750,0.0000
7.0350,52.9750,0.0000
7.0850,52.9750,0.0000
7.1350,52.9750,0.0000
7.1850,52.9750,0.0000
4.7350,52.9250,0.0059
4.7850,52.9250,0.0059
4.8350,52.9250,0.0059
4.8850,52.9250,0.0063
4.9350,52.9250,0.0060
4.9850,52.9250,0.0060
5.0350,52.9250,0.0061
5.0850,52.9250,0.0060
5.1350,52.9250,0.0058
5.1850,52.9250,0.0059
5.2350,52.9250,0.0059
5.2850,52.9250,0.0059
5.3350,52.9250,0.0061
5.3850,52.9250,0.0060
5.4350,52.9250,0.0060
5.4850,52.9250,0.0060
5.5350,52.9250,0.0061
5.5850,52.9250,0.0061
5.6350,52.9250,0.0061
5.6850,52.9250,0.0058
5.7350,52.9250,0.0061
5.7850,52.9250,0.0058
5.8350,52.9250,0.0061
5.8850,52.9250,0.0058
5.9350,52.9250,0.0058
5.9850,52.9250,0.0058
6.0350,52.9250,0.0059
6.0850,52.9250,0.0059
6.1350,52.9250,0.0059
6.1850,52.9250,0.0059
6.2350,52.9250,0.0058
6.2850,52.9250,0.0058
6.3350,52.9250,0.0054
6.3850,52.9250,0.0058
6.4350,52.9250,0.0054
6.4850,52.9250,0.0053
6.5350,52.9250,0.0053
6.5850,52.9250,0.0052
6.6350,52.9250,0.0052
6.6850,52.9250,0.0051
6.7350,52.9250,0.0046
6.7850,52.9250,0.0050
6.8350,52.9250,0.0000
6.8850,52.9250,0.0000
6.9350,52.9250,0.0000
6.9850,52.9250,0.0000
7.0350,52.9250,0.0000
7.0850,52.9250,0.0000
7.1350,52.9250,0.0000
7.1850,52.9250,0.0000
4.6850,52.8750,0.0061
4.7350,52.8750,0.0061
4.7850,52.8750,0.0062
4.8350,52.8750,0.0062
4.8850,52.8750,0.0063
4.9350,52.8750,0.0063
4.9850,52.8750,0.0063
5.0350,52.8750,0.0061
5.0850,52.8750,0.0064
5.1350,52.8750,0.0062
5.1850,52.8750,0.0065
5.2350,52.8750,0.0062
5.2850,52.8750,0.0063
5.3350,52.8750,0.0063
5.3850,52.8750,0.0063
5.4350,52.8750,0.0063
5.4850,52.8750,0.0063
5.5350,52.8750,0.0063
5.5850,52.8750,0.0064
5.6350,52.8750,0.0062
5.6850,52.8750,0.0064
5.7350,52.8750,0.0063
5.7850,52.8750,0.0064
5.8350,52.8750,0.0064
5.8850,52.8750,0.0062
5.9350,52.8750,0.0065
5.9850,52.8750,0.0062
6.0350,52.8750,0.0065
6.0850,52.8750,0.0062
6.1350,52.8750,0.0062
6.1850,52.8750,0.0062
6.2350,52.8750,0.0062
6.2850,52.8750,0.0062
6.3350,52.8750,0.0061
6.3850,52.8750,0.0061
6.4350,52.8750,0.0057
6.4850,52.8750,0.0061
6.5350,52.8750,0.0057
6.5850,52.8750,0.0060
6.6350,52.8750,0.0056
6.6850,52.8750,0.0055
6.7350,52.8750,0.0055
6.7850,52.8750,0.0054
6.8350,52.8750,0.0054
6.8850,52.8750,0.0053
6.9350,52.8750,0.0002
6.9850,52.8750,0.0052
7.0350,52.8750,0.0000
7.0850,52.8750,0.0051
7.1350,52.8750,0.0000
7.1850,52.8750,0.0000
4.6850,52.8250,0.0068
4.7350,52.8250,0.0065
4.7850,52.8250,0.0065
4.8350,52.8250,0.0065
4.8850,52.8250,0.0065
4.9350,52.8250,0.0066
4.9850,52.8250,0.0064
5.0350,52.8250,0.0067
5.0850,52.8250,0.0064
5.1350,52.8250,0.0068
5.1850,52.8250,0.0066
5.2350,52.8250,0.0065
5.2850,52.8250,0.0069
5.3350,52.8250,0.0066
5.3850,52.8250,0.0070
5.4350,52.8250,0.0066
5.4850,52.8250,0.0067
5.5350,52.8250,0.0067
5.5850,52.8250,0.0068
5.6350,52.8250,0.0068
5.6850,52.8250,0.0069
5.7350,52.8250,0.0068
5.7850,52.8250,0.0070
5.8350,52.8250,0.0065
5.8850,52.8250,0.0070
5.9350,52.8250,0.0065
5.9850,52.8250,0.0070
6.0350,52.8250,0.0065
6.0850,52.8250,0.0065
6.1350,52.8250,0.0065
6.1850,52.8250,0.0065
6.2350,52.8250,0.0065
6.2850,52.8250,0.0063
6.3350,52.8250,0.0064
6.3850,52.8250,0.0062
6.4350,52.8250,0.0064
6.4850,52.8250,0.0061
6.5350,52.8250,0.0060
6.5850,52.8250,0.0061
6.6350,52.8250,0.0059
6.6850,52.8250,0.0060
6.7350,52.8250,0.0059
6.7850,52.8250,0.0059
6.8350,52.8250,0.0058
6.8850,52.8250,0.0057
6.9350,52.8250,0.0057
6.9850,52.8250,0.0056
7.0350,52.8250,0.0056
7.0850,52.8250,0.0055
7.1350,52.8250,0.0000
7.1850,52.8250,0.0053
4.6350,52.7751,0.0068
4.6850,52.7751,0.0068
4.7350,52.7751,0.0068
4.7850,52.7751,0.0069
4.8350,52.7751,0.0070
4.8850,52.7751,0.0070
4.9350,52.7751,0.0071
4.9850,52.7751,0.0071
5.0350,52.7751,0.0072
5.0850,52.7751,0.0072
5.1350,52.7751,0.0073
5.1850,52.7751,0.0069
5.2350,52.7751,0.0074
5.2850,52.7751,0.0070
5.3350,52.7751,0.0075
5.3850,52.7751,0.0071
5.4350,52.7751,0.0072
5.4850,52.7751,0.0072
5.5350,52.7751,0.0073
5.5850,52.7751,0.0073
5.6350,52.7751,0.0074
5.6850,52.7751,0.0073
5.7350,52.7751,0.0074
5.7850,52.7751,0.0074
5.8350,52.7751,0.0074
5.8850,52.7751,0.0075
5.9350,52.7751,0.0070
5.9850,52.7751,0.0075
6.0350,52.7751,0.0070
6.0850,52.7751,0.0075
6.1350,52.7751,0.0070
6.1850,52.7751,0.0071
6.2350,52.7751,0.0070
6.2850,52.7751,0.0069
6.3350,52.7751,0.0069
6.3850,52.7751,0.0069
6.4350,52.7751,0.0068
6.4850,52.7751,0.0064
6.5350,52.7751,0.0067
6.5850,52.7751,0.0063
6.6350,52.7751,0.0067
6.6850,52.7751,0.0062
6.7350,52.7751,0.0062
6.7850,52.7751,0.0062
6.8350,52.7751,0.0061
6.8850,52.7751,0.0061
6.9350,52.7751,0.0060
6.9850,52.7751,0.0058
7.0350,52.7751,0.0059
7.0850,52.7751,0.0055
7.1350,52.7751,0.0058
7.1850,52.7751,0.0054
4.6350,52.7251,0.0076
4.6850,52.7251,0.0076
4.7350,52.7251,0.0072
4.7850,52.7251,0.0074
4.8350,52.7251,0.0074
4.8850,52.7251,0.0075
4.9350,52.7251,0.0075
4.9850,52.7251,0.0076
5.0350,52.7251,0.0074
5.0850,52.7251,0.0077
5.1350,52.7251,0.0076
5.1850,52.7251,0.0078
5.2350,52.7251,0.0079
5.2850,52.7251,0.0076
5.3350,52.7251,0.0080
5.3850,52.7251,0.0076
5.4350,52.7251,0.0081
5.4850,52.7251,0.0077
