province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
Northland,NZ01,25668.0,5.4,19.2,12.0,0.5,P15-F-2e Stats NZ Regional GDP + HLFS + SPE 2023-2024
Auckland,NZ02,41927.0,4.4,13.5,12.0,0.5,P15-F-2e Stats NZ Regional GDP + HLFS + SPE 2023-2024
Waikato,NZ03,34243.0,4.0,16.5,12.0,0.5,P15-F-2e Stats NZ Regional GDP + HLFS + SPE 2023-2024
Bay of Plenty,NZ04,31347.0,4.8,19.0,12.0,0.5,P15-F-2e Stats NZ Regional GDP + HLFS + SPE 2023-2024
Gisborne,NZ05,26782.0,6.5,17.4,12.0,0.5,P15-F-2e Stats NZ Regional GDP + HLFS + SPE 2023-2024
Hawke's Bay,NZ06,31013.0,5.3,19.3,12.0,0.5,P15-F-2e Stats NZ Regional GDP + HLFS + SPE 2023-2024
Taranaki,NZ07,42149.0,4.0,17.4,12.0,0.5,P15-F-2e Stats NZ Regional GDP + HLFS + SPE 2023-2024
Manawatu-Whanganui,NZ08,31292.0,4.7,18.7,12.0,0.5,P15-F-2e Stats NZ Regional GDP + HLFS + SPE 2023-2024
Wellington,NZ09,43486.0,3.9,15.0,12.0,0.5,P15-F-2e Stats NZ Regional GDP + HLFS + SPE 2023-2024
West Coast,NZ12,29955.0,4.7,22.0,12.0,0.5,P15-F-2e Stats NZ Regional GDP + HLFS + SPE 2023-2024
Canterbury,NZ13,39198.0,3.9,17.3,12.0,0.5,P15-F-2e Stats NZ Regional GDP + HLFS + SPE 2023-2024
Otago,NZ14,36303.0,3.7,17.6,12.0,0.5,P15-F-2e Stats NZ Regional GDP + HLFS + SPE 2023-2024
Southland,NZ15,39644.0,3.6,17.8,12.0,0.5,P15-F-2e Stats NZ Regional GDP + HLFS + SPE 2023-2024
Tasman,NZ16,31682.0,3.7,22.7,12.0,0.5,P15-F-2e Stats NZ Regional GDP + HLFS + SPE 2023-2024
Nelson,NZ17,31403.0,4.0,21.5,12.0,0.5,P15-F-2e Stats NZ Regional GDP + HLFS + SPE 2023-2024
Marlborough,NZ18,34131.0,3.4,22.8,12.0,0.5,P15-F-2e Stats NZ Regional GDP + HLFS + SPE 2023-2024
