lon,lat,pga_g
172.1250,-34.1250,0.1252
172.1750,-34.1250,0.1250
172.0250,-34.1750,0.1254
172.0750,-34.1750,0.1252
172.1250,-34.1750,0.1251
172.1750,-34.1750,0.1250
173.0250,-34.3750,0.1334
172.6750,-34.4250,0.1242
172.7250,-34.4250,0.1280
172.7750,-34.4250,0.1281
172.8250,-34.4250,0.1306
172.8750,-34.4250,0.1323
172.9250,-34.4250,0.1333
172.9750,-34.4250,0.1334
173.0250,-34.4250,0.1334
173.0750,-34.4250,0.1334
172.6250,-34.4750,0.1242
172.6750,-34.4750,0.1242
172.7250,-34.4750,0.1280
172.7750,-34.4750,0.1314
172.8250,-34.4750,0.1306
172.8750,-34.4750,0.1333
172.9250,-34.4750,0.1347
172.9750,-34.4750,0.1334
173.0250,-34.4750,0.1334
172.6750,-34.5250,0.1315
172.7250,-34.5250,0.1315
172.7750,-34.5250,0.1330
172.8250,-34.5250,0.1350
172.8750,-34.5250,0.1340
172.9250,-34.5250,0.1347
172.9750,-34.5250,0.1356
173.0250,-34.5250,0.1356
172.7750,-34.5750,0.1350
172.8250,-34.5750,0.1350
172.8750,-34.5750,0.1357
172.9250,-34.5750,0.1359
172.9750,-34.5750,0.1356
173.0250,-34.5750,0.1356
172.7750,-34.6250,0.1351
172.8250,-34.6250,0.1359
172.8750,-34.6250,0.1359
172.9250,-34.6250,0.1360
172.9750,-34.6250,0.1362
173.0250,-34.6250,0.1362
172.8750,-34.6750,0.1362
172.9250,-34.6750,0.1362
172.9750,-34.6750,0.1362
173.0250,-34.6750,0.1364
173.0750,-34.6750,0.1364
172.9250,-34.7250,0.1364
172.9750,-34.7250,0.1364
173.0250,-34.7250,0.1364
173.0750,-34.7250,0.1363
173.1250,-34.7250,0.1363
173.1750,-34.7250,0.1364
172.9750,-34.7749,0.1364
173.0250,-34.7749,0.1364
173.0750,-34.7749,0.1363
173.1250,-34.7749,0.1364
173.1750,-34.7749,0.1364
173.3250,-34.7749,0.1362
173.3750,-34.7749,0.1361
173.4250,-34.7749,0.1361
173.0250,-34.8249,0.1364
173.0750,-34.8249,0.1364
173.1250,-34.8249,0.1364
173.1750,-34.8249,0.1363
173.3750,-34.8249,0.1361
173.4250,-34.8249,0.1361
173.4750,-34.8249,0.1361
173.0250,-34.8749,0.1364
173.0750,-34.8749,0.1364
173.1250,-34.8749,0.1364
173.1750,-34.8749,0.1363
173.2250,-34.8749,0.1363
173.2750,-34.8749,0.1363
173.3250,-34.8749,0.1362
173.3750,-34.8749,0.1362
173.4250,-34.8749,0.1361
173.4750,-34.8749,0.1361
173.0750,-34.9249,0.1364
173.1250,-34.9249,0.1364
173.1750,-34.9249,0.1363
173.2250,-34.9249,0.1363
173.2750,-34.9249,0.1363
173.3250,-34.9249,0.1362
173.3750,-34.9249,0.1362
173.5250,-34.9249,0.1362
173.5750,-34.9249,0.1362
173.6250,-34.9249,0.1362
173.6750,-34.9249,0.1362
173.7250,-34.9249,0.1362
173.1250,-34.9749,0.1363
173.1750,-34.9749,0.1363
173.2250,-34.9749,0.1364
173.2750,-34.9749,0.1363
173.3250,-34.9749,0.1363
173.3750,-34.9749,0.1362
173.4250,-34.9749,0.1362
173.4750,-34.9749,0.1362
173.5250,-34.9749,0.1362
173.5750,-34.9749,0.1362
173.6250,-34.9749,0.1362
173.6750,-34.9749,0.1362
173.7250,-34.9749,0.1362
173.7750,-34.9749,0.1363
173.8250,-34.9749,0.1363
173.8750,-34.9749,0.1363
173.9250,-34.9749,0.1363
173.9750,-34.9749,0.1363
173.1750,-35.0249,0.1364
173.2250,-35.0249,0.1364
173.2750,-35.0249,0.1363
173.3250,-35.0249,0.1363
173.3750,-35.0249,0.1362
173.4250,-35.0249,0.1362
173.4750,-35.0249,0.1362
173.5250,-35.0249,0.1362
173.5750,-35.0249,0.1362
173.6250,-35.0249,0.1362
173.6750,-35.0249,0.1362
173.7250,-35.0249,0.1362
173.7750,-35.0249,0.1363
173.8250,-35.0249,0.1363
173.8750,-35.0249,0.1363
173.9250,-35.0249,0.1363
173.9750,-35.0249,0.1364
173.1750,-35.0749,0.1364
173.2250,-35.0749,0.1363
173.2750,-35.0749,0.1363
173.3250,-35.0749,0.1363
173.3750,-35.0749,0.1363
173.4250,-35.0749,0.1363
173.4750,-35.0749,0.1363
173.5250,-35.0749,0.1363
173.5750,-35.0749,0.1363
173.6250,-35.0749,0.1363
173.6750,-35.0749,0.1363
173.7250,-35.0749,0.1363
