province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
Oslo,03,72031.0,2.5,12.6,7.0,0.5,P15-F-2d SSB Regional Accounts 2024 + LFS Q4 2024 (state-of-record fylke)
Rogaland,11,86661.0,2.2,14.7,7.0,0.5,P15-F-2d SSB Regional Accounts 2024 + LFS Q4 2024 (state-of-record fylke)
Møre og Romsdal,15,50000.0,1.9,19.7,7.0,0.5,P15-F-2d SSB Regional Accounts 2024 + LFS Q4 2024 (state-of-record fylke)
Nordland,18,48107.0,1.5,22.0,7.0,0.5,P15-F-2d SSB Regional Accounts 2024 + LFS Q4 2024 (state-of-record fylke)
Østfold,31,40448.0,2.3,20.6,7.0,0.5,P15-F-2d SSB Regional Accounts 2024 + LFS Q4 2024 (state-of-record fylke)
Akershus,32,49914.0,2.0,16.0,7.0,0.5,P15-F-2d SSB Regional Accounts 2024 + LFS Q4 2024 (state-of-record fylke)
Buskerud,33,44750.0,1.8,19.8,7.0,0.5,P15-F-2d SSB Regional Accounts 2024 + LFS Q4 2024 (state-of-record fylke)
Innlandet,34,38210.0,1.7,22.5,7.0,0.5,P15-F-2d SSB Regional Accounts 2024 + LFS Q4 2024 (state-of-record fylke)
Vestfold,39,40448.0,2.1,21.4,7.0,0.5,P15-F-2d SSB Regional Accounts 2024 + LFS Q4 2024 (state-of-record fylke)
Telemark,40,40448.0,1.8,21.5,7.0,0.5,P15-F-2d SSB Regional Accounts 2024 + LFS Q4 2024 (state-of-record fylke)
Agder,42,39501.0,2.4,18.0,7.0,0.5,P15-F-2d SSB Regional Accounts 2024 + LFS Q4 2024 (state-of-record fylke)
Vestland,46,58606.0,1.7,17.4,7.0,0.5,P15-F-2d SSB Regional Accounts 2024 + LFS Q4 2024 (state-of-record fylke)
Trøndelag,50,47074.0,1.6,17.9,7.0,0.5,P15-F-2d SSB Regional Accounts 2024 + LFS Q4 2024 (state-of-record fylke)
Troms,55,45611.0,1.5,16.8,7.0,0.5,P15-F-2d SSB Regional Accounts 2024 + LFS Q4 2024 (state-of-record fylke)
Finnmark,56,42169.0,1.6,16.2,7.0,0.5,P15-F-2d SSB Regional Accounts 2024 + LFS Q4 2024 (state-of-record fylke)
