lon,lat,pga_g
25.3250,71.1750,0.0055
25.5250,71.1750,0.0054
25.5750,71.1750,0.0054
25.6250,71.1750,0.0054
25.6750,71.1750,0.0054
25.7250,71.1750,0.0053
25.7750,71.1750,0.0053
25.8250,71.1750,0.0051
24.7250,71.1250,0.0057
24.7750,71.1250,0.0057
24.8250,71.1250,0.0057
25.2750,71.1250,0.0055
25.3250,71.1250,0.0055
25.3750,71.1250,0.0055
25.4250,71.1250,0.0054
25.4750,71.1250,0.0054
25.5250,71.1250,0.0054
25.5750,71.1250,0.0053
25.6250,71.1250,0.0053
25.6750,71.1250,0.0053
25.7250,71.1250,0.0053
25.7750,71.1250,0.0053
25.8250,71.1250,0.0052
25.8750,71.1250,0.0051
25.9250,71.1250,0.0051
25.9750,71.1250,0.0051
26.0250,71.1250,0.0047
27.5250,71.1250,0.0000
27.5750,71.1250,0.0000
27.6250,71.1250,0.0000
27.6750,71.1250,0.0000
27.7250,71.1250,0.0000
28.1750,71.1250,0.0000
28.2250,71.1250,0.0000
23.9250,71.0750,0.0059
23.9750,71.0750,0.0059
24.0250,71.0750,0.0059
24.0750,71.0750,0.0059
24.1250,71.0750,0.0059
24.1750,71.0750,0.0059
24.6250,71.0750,0.0057
24.6750,71.0750,0.0057
24.7250,71.0750,0.0057
24.7750,71.0750,0.0057
24.8250,71.0750,0.0057
24.9250,71.0750,0.0056
24.9750,71.0750,0.0056
25.2750,71.0750,0.0055
25.3250,71.0750,0.0055
25.3750,71.0750,0.0054
25.4250,71.0750,0.0054
25.4750,71.0750,0.0054
25.5250,71.0750,0.0053
25.5750,71.0750,0.0053
25.6250,71.0750,0.0053
25.6750,71.0750,0.0053
25.7250,71.0750,0.0052
25.7750,71.0750,0.0052
25.8250,71.0750,0.0052
25.8750,71.0750,0.0050
25.9250,71.0750,0.0050
25.9750,71.0750,0.0022
26.1250,71.0750,0.0000
26.1750,71.0750,0.0000
26.2250,71.0750,0.0000
27.2750,71.0750,0.0000
27.4750,71.0750,0.0000
27.5250,71.0750,0.0000
27.5750,71.0750,0.0000
27.6250,71.0750,0.0000
27.6750,71.0750,0.0000
27.7250,71.0750,0.0000
27.7750,71.0750,0.0000
27.8250,71.0750,0.0000
27.8750,71.0750,0.0000
27.9250,71.0750,0.0000
27.9750,71.0750,0.0000
28.0250,71.0750,0.0000
28.0750,71.0750,0.0000
28.1250,71.0750,0.0000
28.1750,71.0750,0.0000
28.2250,71.0750,0.0000
28.2750,71.0750,0.0000
23.8750,71.0250,0.0059
23.9250,71.0250,0.0059
23.9750,71.0250,0.0058
24.0250,71.0250,0.0058
24.0750,71.0250,0.0058
24.1250,71.0250,0.0058
24.1750,71.0250,0.0058
24.2250,71.0250,0.0058
24.5250,71.0250,0.0056
24.5750,71.0250,0.0056
24.6250,71.0250,0.0056
24.6750,71.0250,0.0057
24.7250,71.0250,0.0057
24.7750,71.0250,0.0056
24.9250,71.0250,0.0056
24.9750,71.0250,0.0056
25.0250,71.0250,0.0056
25.2750,71.0250,0.0055
25.3250,71.0250,0.0055
25.3750,71.0250,0.0054
25.4250,71.0250,0.0054
25.4750,71.0250,0.0053
25.5250,71.0250,0.0053
25.5750,71.0250,0.0053
25.6250,71.0250,0.0052
25.6750,71.0250,0.0052
25.7250,71.0250,0.0052
25.7750,71.0250,0.0039
25.8250,71.0250,0.0000
25.8750,71.0250,0.0050
25.9250,71.0250,0.0050
25.9750,71.0250,0.0000
26.0250,71.0250,0.0000
26.0750,71.0250,0.0000
26.1250,71.0250,0.0000
26.1750,71.0250,0.0000
26.2250,71.0250,0.0000
27.2250,71.0250,0.0000
27.2750,71.0250,0.0000
27.3250,71.0250,0.0000
27.3750,71.0250,0.0000
27.4250,71.0250,0.0000
27.4750,71.0250,0.0000
27.5250,71.0250,0.0000
27.5750,71.0250,0.0000
27.6250,71.0250,0.0000
27.6750,71.0250,0.0000
27.7250,71.0250,0.0000
27.7750,71.0250,0.0000
27.8250,71.0250,0.0000
27.8750,71.0250,0.0000
27.9250,71.0250,0.0000
27.9750,71.0250,0.0000
28.0250,71.0250,0.0000
28.0750,71.0250,0.0000
28.1250,71.0250,0.0000
28.1750,71.0250,0.0000
28.2250,71.0250,0.0000
28.2750,71.0250,0.0000
28.3250,71.0250,0.0000
28.3750,71.0250,0.0000
28.4250,71.0250,0.0000
28.4750,71.0250,0.0000
28.5250,71.0250,0.0000
23.8750,70.9750,0.0059
23.9250,70.9750,0.0059
23.9750,70.9750,0.0058
24.0250,70.9750,0.0058
24.0750,70.9750,0.0058
24.1250,70.9750,0.0058
24.1750,70.9750,0.0058
24.2250,70.9750,0.0058
24.2750,70.9750,0.0058
24.5250,70.9750,0.0056
24.5750,70.9750,0.0056
24.6250,70.9750,0.0056
24.6750,70.9750,0.0056
24.7250,70.9750,0.0056
24.7750,70.9750,0.0056
24.8250,70.9750,0.0056
24.9250,70.9750,0.0056
24.9750,70.9750,0.0055
25.0250,70.9750,0.0055
25.3250,70.9750,0.0053
25.3750,70.9750,0.0053
25.4250,70.9750,0.0053
25.4750,70.9750,0.0053
25.5250,70.9750,0.0052
25.5750,70.9750,0.0052
25.6250,70.9750,0.0052
25.6750,70.9750,0.0052
25.7250,70.9750,0.0052
25.7750,70.9750,0.0000
25.8250,70.9750,0.0000
25.8750,70.9750,0.0030
25.9250,70.9750,0.0001
25.9750,70.9750,0.0000
26.0250,70.9750,0.0000
26.0750,70.9750,0.0000
26.1250,70.9750,0.0000
26.5250,70.9750,0.0000
26.5750,70.9750,0.0000
26.6250,70.9750,0.0000
26.6750,70.9750,0.0000
26.7250,70.9750,0.0000
27.1250,70.9750,0.0000
27.1750,70.9750,0.0000
27.2250,70.9750,0.0000
27.2750,70.9750,0.0000
27.3250,70.9750,0.0000
27.3750,70.9750,0.0000
27.4250,70.9750,0.0000
27.4750,70.9750,0.0000
27.5250,70.9750,0.0000
27.5750,70.9750,0.0000
27.6250,70.9750,0.0000
27.6750,70.9750,0.0000
27.7250,70.9750,0.0000
27.7750,70.9750,0.0000
27.8250,70.9750,0.0000
27.8750,70.9750,0.0000
27.9250,70.9750,0.0000
27.9750,70.9750,0.0000
28.0250,70.9750,0.0000
28.0750,70.9750,0.0000
28.1250,70.9750,0.0000
28.1750,70.9750,0.0000
28.2250,70.9750,0.0000
28.2750,70.9750,0.0000
28.3250,70.9750,0.0000
28.3750,70.9750,0.0000
28.4250,70.9750,0.0000
28.4750,70.9750,0.0000
28.5250,70.9750,0.0000
23.6750,70.9250,0.0057
23.7250,70.9250,0.0057
23.9250,70.9250,0.0058
23.9750,70.9250,0.0058
24.0250,70.9250,0.0058
24.0750,70.9250,0.0058
24.1250,70.9250,0.0058
24.1750,70.9250,0.0058
24.2750,70.9250,0.0056
24.3250,70.9250,0.0056
24.4250,70.9250,0.0056
24.4750,70.9250,0.0056
24.5250,70.9250,0.0055
24.5750,70.9250,0.0056
24.6250,70.9250,0.0056
24.6750,70.9250,0.0056
24.7250,70.9250,0.0055
24.7750,70.9250,0.0055
24.8250,70.9250,0.0056
24.8750,70.9250,0.0055
24.9250,70.9250,0.0055
24.9750,70.9250,0.0055
25.0250,70.9250,0.0055
25.0750,70.9250,0.0054
25.1250,70.9250,0.0054
25.1750,70.9250,0.0053
25.2250,70.9250,0.0053
25.2750,70.9250,0.0052
25.3250,70.9250,0.0053
25.3750,70.9250,0.0053
25.4250,70.9250,0.0053
25.4750,70.9250,0.0051
25.5250,70.9250,0.0051
