lon,lat,pga_g
-8.9250,42.1750,0.0521
-8.8750,42.1750,0.0521
-8.8250,42.1750,0.0519
-8.7750,42.1750,0.0519
-8.7250,42.1750,0.0522
-8.6750,42.1750,0.0525
-8.6250,42.1750,0.0525
-8.5750,42.1750,0.0528
-8.5250,42.1750,0.0529
-8.4750,42.1750,0.0530
-8.4250,42.1750,0.0533
-8.3750,42.1750,0.0534
-8.3250,42.1750,0.0535
-8.2750,42.1750,0.0535
-8.2250,42.1750,0.0536
-8.1750,42.1750,0.0536
-8.1250,42.1750,0.0537
-8.0750,42.1750,0.0537
-8.0250,42.1750,0.0538
-7.9750,42.1750,0.0538
-7.9250,42.1750,0.0538
-7.8750,42.1750,0.0536
-7.8250,42.1750,0.0539
-7.7750,42.1750,0.0535
-7.7250,42.1750,0.0534
-7.6750,42.1750,0.0526
-7.6250,42.1750,0.0509
-7.5750,42.1750,0.0508
-7.5250,42.1750,0.0494
-7.4750,42.1750,0.0494
-7.4250,42.1750,0.0483
-7.3750,42.1750,0.0475
-7.3250,42.1750,0.0475
-7.2750,42.1750,0.0470
-7.2250,42.1750,0.0466
-7.1750,42.1750,0.0463
-7.1250,42.1750,0.0461
-7.0750,42.1750,0.0455
-7.0250,42.1750,0.0451
-6.9750,42.1750,0.0451
-6.9250,42.1750,0.0446
-6.8750,42.1750,0.0446
-6.8250,42.1750,0.0441
-6.7750,42.1750,0.0435
-6.7250,42.1750,0.0434
-6.6750,42.1750,0.0427
-6.6250,42.1750,0.0422
-6.5750,42.1750,0.0417
-6.5250,42.1750,0.0417
-6.4750,42.1750,0.0412
-6.4250,42.1750,0.0408
-6.3750,42.1750,0.0408
-6.3250,42.1750,0.0404
-6.2750,42.1750,0.0403
-6.2250,42.1750,0.0399
-6.1750,42.1750,0.0396
-6.1250,42.1750,0.0389
-8.9250,42.1250,0.0517
-8.8750,42.1250,0.0521
-8.8250,42.1250,0.0521
-8.7750,42.1250,0.0525
-8.7250,42.1250,0.0526
-8.6750,42.1250,0.0528
-8.6250,42.1250,0.0530
-8.5750,42.1250,0.0530
-8.5250,42.1250,0.0532
-8.4750,42.1250,0.0530
-8.4250,42.1250,0.0534
-8.3750,42.1250,0.0534
-8.3250,42.1250,0.0537
-8.2750,42.1250,0.0539
-8.2250,42.1250,0.0539
-8.1750,42.1250,0.0541
-8.1250,42.1250,0.0541
-8.0750,42.1250,0.0542
-8.0250,42.1250,0.0541
-7.9750,42.1250,0.0541
-7.9250,42.1250,0.0540
-7.8750,42.1250,0.0536
-7.8250,42.1250,0.0537
-7.7750,42.1250,0.0536
-7.7250,42.1250,0.0533
-7.6750,42.1250,0.0524
-7.6250,42.1250,0.0521
-7.5750,42.1250,0.0502
-7.5250,42.1250,0.0502
-7.4750,42.1250,0.0490
-7.4250,42.1250,0.0482
-7.3750,42.1250,0.0482
-7.3250,42.1250,0.0474
-7.2750,42.1250,0.0470
-7.2250,42.1250,0.0468
-7.1750,42.1250,0.0465
-7.1250,42.1250,0.0462
-7.0750,42.1250,0.0461
-7.0250,42.1250,0.0459
