lon,lat,pga_g
16.8250,49.6750,0.0135
16.8750,49.6750,0.0138
16.9250,49.6750,0.0141
16.9750,49.6750,0.0141
17.0250,49.6750,0.0144
17.0750,49.6750,0.0144
17.1250,49.6750,0.0150
17.1750,49.6750,0.0155
17.2250,49.6750,0.0155
17.2750,49.6750,0.0161
17.3250,49.6750,0.0165
17.3750,49.6750,0.0167
17.4250,49.6750,0.0174
17.4750,49.6750,0.0173
17.5250,49.6750,0.0179
17.5750,49.6750,0.0184
17.6250,49.6750,0.0183
17.6750,49.6750,0.0188
17.7250,49.6750,0.0192
17.7750,49.6750,0.0194
17.8250,49.6750,0.0202
17.8750,49.6750,0.0202
17.9250,49.6750,0.0210
17.9750,49.6750,0.0219
18.0250,49.6750,0.0219
18.0750,49.6750,0.0228
18.1250,49.6750,0.0228
18.1750,49.6750,0.0236
18.2250,49.6750,0.0240
18.2750,49.6750,0.0240
18.3250,49.6750,0.0246
18.3750,49.6750,0.0246
18.4250,49.6750,0.0256
18.4750,49.6750,0.0257
18.5250,49.6750,0.0265
18.5750,49.6750,0.0268
18.6250,49.6750,0.0277
18.6750,49.6750,0.0278
18.7250,49.6750,0.0274
18.7750,49.6750,0.0288
18.8250,49.6750,0.0284
18.8750,49.6750,0.0293
18.9250,49.6750,0.0293
18.9750,49.6750,0.0287
19.0250,49.6750,0.0294
19.0750,49.6750,0.0294
19.1250,49.6750,0.0302
19.1750,49.6750,0.0302
19.2250,49.6750,0.0311
19.2750,49.6750,0.0302
19.3250,49.6750,0.0302
19.3750,49.6750,0.0313
19.4250,49.6750,0.0313
19.4750,49.6750,0.0327
19.5250,49.6750,0.0314
19.5750,49.6750,0.0314
19.6250,49.6750,0.0327
19.6750,49.6750,0.0321
19.7250,49.6750,0.0353
19.7750,49.6750,0.0336
19.8250,49.6750,0.0347
19.8750,49.6750,0.0354
19.9250,49.6750,0.0351
19.9750,49.6750,0.0367
20.0250,49.6750,0.0334
20.0750,49.6750,0.0345
20.1250,49.6750,0.0345
20.1750,49.6750,0.0348
20.2250,49.6750,0.0348
20.2750,49.6750,0.0309
20.3250,49.6750,0.0307
20.3750,49.6750,0.0307
20.4250,49.6750,0.0307
20.4750,49.6750,0.0306
20.5250,49.6750,0.0276
20.5750,49.6750,0.0276
20.6250,49.6750,0.0276
20.6750,49.6750,0.0277
20.7250,49.6750,0.0249
20.7750,49.6750,0.0249
20.8250,49.6750,0.0251
20.8750,49.6750,0.0251
20.9250,49.6750,0.0254
20.9750,49.6750,0.0237
21.0250,49.6750,0.0237
21.0750,49.6750,0.0239
21.1250,49.6750,0.0238
21.1750,49.6750,0.0243
21.2250,49.6750,0.0229
21.2750,49.6750,0.0229
21.3250,49.6750,0.0232
21.3750,49.6750,0.0219
21.4250,49.6750,0.0235
21.4750,49.6750,0.0221
21.5250,49.6750,0.0223
21.5750,49.6750,0.0224
21.6250,49.6750,0.0207
21.6750,49.6750,0.0226
21.7250,49.6750,0.0208
21.7750,49.6750,0.0210
21.8250,49.6750,0.0210
21.8750,49.6750,0.0190
21.9250,49.6750,0.0210
21.9750,49.6750,0.0190
22.0250,49.6750,0.0189
22.0750,49.6750,0.0189
22.1250,49.6750,0.0177
22.1750,49.6750,0.0177
22.2250,49.6750,0.0177
22.2750,49.6750,0.0175
22.3250,49.6750,0.0175
22.3750,49.6750,0.0161
22.4250,49.6750,0.0160
22.4750,49.6750,0.0160
22.5250,49.6750,0.0158
22.5750,49.6750,0.0147
16.8250,49.6250,0.0136
16.8750,49.6250,0.0138
16.9250,49.6250,0.0138
16.9750,49.6250,0.0142
17.0250,49.6250,0.0145
17.0750,49.6250,0.0145
17.1250,49.6250,0.0149
17.1750,49.6250,0.0155
17.2250,49.6250,0.0156
17.2750,49.6250,0.0162
17.3250,49.6250,0.0162
17.3750,49.6250,0.0168
17.4250,49.6250,0.0173
17.4750,49.6250,0.0173
17.5250,49.6250,0.0178
17.5750,49.6250,0.0178
17.6250,49.6250,0.0184
17.6750,49.6250,0.0188
17.7250,49.6250,0.0188
17.7750,49.6250,0.0194
17.8250,49.6250,0.0195
17.8750,49.6250,0.0204
17.9250,49.6250,0.0211
17.9750,49.6250,0.0215
18.0250,49.6250,0.0221
18.0750,49.6250,0.0231
18.1250,49.6250,0.0231
18.1750,49.6250,0.0236
18.2250,49.6250,0.0240
18.2750,49.6250,0.0243
18.3250,49.6250,0.0251
18.3750,49.6250,0.0251
18.4250,49.6250,0.0264
18.4750,49.6250,0.0267
18.5250,49.6250,0.0267
18.5750,49.6250,0.0277
18.6250,49.6250,0.0277
18.6750,49.6250,0.0289
18.7250,49.6250,0.0289
18.7750,49.6250,0.0291
18.8250,49.6250,0.0299
18.8750,49.6250,0.0299
18.9250,49.6250,0.0309
18.9750,49.6250,0.0301
19.0250,49.6250,0.0318
19.0750,49.6250,0.0310
19.1250,49.6250,0.0319
19.1750,49.6250,0.0319
19.2250,49.6250,0.0311
19.2750,49.6250,0.0332
19.3250,49.6250,0.0321
19.3750,49.6250,0.0341
19.4250,49.6250,0.0341
19.4750,49.6250,0.0333
19.5250,49.6250,0.0349
19.5750,49.6250,0.0348
19.6250,49.6250,0.0369
19.6750,49.6250,0.0369
19.7250,49.6250,0.0386
19.7750,49.6250,0.0374
19.8250,49.6250,0.0374
19.8750,49.6250,0.0387
19.9250,49.6250,0.0387
19.9750,49.6250,0.0394
20.0250,49.6250,0.0376
20.0750,49.6250,0.0376
20.1250,49.6250,0.0380
20.1750,49.6250,0.0352
20.2250,49.6250,0.0381
20.2750,49.6250,0.0345
20.3250,49.6250,0.0347
20.3750,49.6250,0.0345
20.4250,49.6250,0.0311
20.4750,49.6250,0.0347
20.5250,49.6250,0.0307
20.5750,49.6250,0.0305
20.6250,49.6250,0.0305
20.6750,49.6250,0.0287
20.7250,49.6250,0.0304
20.7750,49.6250,0.0278
20.8250,49.6250,0.0279
