lon,lat,pga_g
13.4250,46.8750,0.1065
13.4750,46.8750,0.1099
13.5250,46.8750,0.1099
13.5750,46.8750,0.1147
13.6250,46.8750,0.1068
13.6750,46.8750,0.1073
13.7250,46.8750,0.1056
13.7750,46.8750,0.1058
13.8250,46.8750,0.1059
13.8750,46.8750,0.1008
13.9250,46.8750,0.0984
13.9750,46.8750,0.0983
14.0250,46.8750,0.1018
14.0750,46.8750,0.1018
14.1250,46.8750,0.1058
14.1750,46.8750,0.1047
14.2250,46.8750,0.1119
14.2750,46.8750,0.1063
14.3250,46.8750,0.1081
14.3750,46.8750,0.1081
14.4250,46.8750,0.1120
14.4750,46.8750,0.1108
14.5250,46.8750,0.1138
14.5750,46.8750,0.1110
14.6250,46.8750,0.1121
14.6750,46.8750,0.1122
14.7250,46.8750,0.1175
14.7750,46.8750,0.1175
14.8250,46.8750,0.1284
14.8750,46.8750,0.1198
14.9250,46.8750,0.1198
14.9750,46.8750,0.1147
15.0250,46.8750,0.0925
15.0750,46.8750,0.0933
15.1250,46.8750,0.0826
15.1750,46.8750,0.0757
15.2250,46.8750,0.0757
15.2750,46.8750,0.0712
15.3250,46.8750,0.0712
15.3750,46.8750,0.0695
15.4250,46.8750,0.0654
15.4750,46.8750,0.0654
15.5250,46.8750,0.0641
15.5750,46.8750,0.0637
15.6250,46.8750,0.0639
15.6750,46.8750,0.0603
15.7250,46.8750,0.0604
15.7750,46.8750,0.0604
15.8250,46.8750,0.0616
15.8750,46.8750,0.0611
15.9250,46.8750,0.0634
15.9750,46.8750,0.0570
16.0250,46.8750,0.0585
16.0750,46.8750,0.0576
16.1250,46.8750,0.0584
16.1750,46.8750,0.0584
16.2250,46.8750,0.0533
16.2750,46.8750,0.0534
16.3250,46.8750,0.0534
16.3750,46.8750,0.0566
16.4250,46.8750,0.0532
16.4750,46.8750,0.0594
16.5250,46.8750,0.0531
16.5750,46.8750,0.0537
13.4250,46.8250,0.1183
13.4750,46.8250,0.1177
13.5250,46.8250,0.1221
13.5750,46.8250,0.1147
13.6250,46.8250,0.1218
13.6750,46.8250,0.1197
13.7250,46.8250,0.1199
13.7750,46.8250,0.1199
13.8250,46.8250,0.1203
13.8750,46.8250,0.1115
13.9250,46.8250,0.1176
13.9750,46.8250,0.1131
14.0250,46.8250,0.1160
14.0750,46.8250,0.1160
14.1250,46.8250,0.1155
14.1750,46.8250,0.1134
14.2250,46.8250,0.1123
