lon,lat,pga_g
-1.3750,43.9750,0.0223
-1.3250,43.9750,0.0223
-1.2750,43.9750,0.0232
-1.2250,43.9750,0.0237
-1.1750,43.9750,0.0241
-1.1250,43.9750,0.0251
-1.0750,43.9750,0.0240
-1.0250,43.9750,0.0255
-0.9750,43.9750,0.0248
-0.9250,43.9750,0.0262
-0.8750,43.9750,0.0262
-0.8250,43.9750,0.0275
-0.7750,43.9750,0.0257
-0.7250,43.9750,0.0269
-0.6750,43.9750,0.0269
-0.6250,43.9750,0.0279
-0.5750,43.9750,0.0289
-0.5250,43.9750,0.0288
-0.4750,43.9750,0.0297
-0.4250,43.9750,0.0279
-0.3750,43.9750,0.0286
-0.3250,43.9750,0.0286
-0.2750,43.9750,0.0292
-0.2250,43.9750,0.0297
-0.1750,43.9750,0.0291
-0.1250,43.9750,0.0302
-0.0750,43.9750,0.0284
-0.0250,43.9750,0.0287
0.0250,43.9750,0.0287
0.0750,43.9750,0.0290
0.1250,43.9750,0.0283
0.1750,43.9750,0.0275
0.2250,43.9750,0.0279
0.2750,43.9750,0.0275
0.3250,43.9750,0.0274
0.3750,43.9750,0.0274
0.4250,43.9750,0.0271
0.4750,43.9750,0.0251
0.5250,43.9750,0.0247
0.5750,43.9750,0.0247
0.6250,43.9750,0.0244
0.6750,43.9750,0.0242
0.7250,43.9750,0.0241
0.7750,43.9750,0.0239
0.8250,43.9750,0.0227
0.8750,43.9750,0.0223
0.9250,43.9750,0.0223
0.9750,43.9750,0.0219
1.0250,43.9750,0.0213
1.0750,43.9750,0.0201
1.1250,43.9750,0.0204
1.1750,43.9750,0.0196
1.2250,43.9750,0.0191
1.2750,43.9750,0.0191
1.3250,43.9750,0.0188
1.3750,43.9750,0.0182
1.4250,43.9750,0.0182
1.4750,43.9750,0.0182
1.5250,43.9750,0.0182
1.5750,43.9750,0.0182
1.6250,43.9750,0.0179
1.6750,43.9750,0.0184
1.7250,43.9750,0.0181
1.7750,43.9750,0.0184
1.8250,43.9750,0.0184
1.8750,43.9750,0.0186
1.9250,43.9750,0.0189
1.9750,43.9750,0.0189
2.0250,43.9750,0.0191
2.0750,43.9750,0.0194
2.1250,43.9750,0.0193
2.1750,43.9750,0.0196
