province,region,nuts_level,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
SE110,SE110,3,72300.0,9.0,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE121,SE121,3,51200.0,9.4,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE122,SE122,3,38600.0,9.4,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE123,SE123,3,48600.0,9.4,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE124,SE124,3,45900.0,9.4,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE125,SE125,3,40000.0,9.4,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE211,SE211,3,44600.0,7.2,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE212,SE212,3,49800.0,7.2,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE213,SE213,3,39500.0,7.2,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE214,SE214,3,40000.0,7.2,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE221,SE221,3,45900.0,10.2,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE224,SE224,3,45200.0,10.2,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE231,SE231,3,40100.0,8.4,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE232,SE232,3,52600.0,8.4,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE311,SE311,3,42000.0,8.3,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE312,SE312,3,40100.0,8.3,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE313,SE313,3,38300.0,8.3,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE321,SE321,3,49900.0,6.5,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE322,SE322,3,41600.0,6.5,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE331,SE331,3,48400.0,7.2,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
SE332,SE332,3,53900.0,7.2,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
