lon,lat,pga_g
15.1750,69.0750,0.0126
15.5250,69.0750,0.0126
15.5750,69.0750,0.0125
15.6250,69.0750,0.0125
15.6750,69.0750,0.0125
15.7250,69.0750,0.0125
15.7750,69.0750,0.0125
15.8250,69.0750,0.0125
15.8750,69.0750,0.0125
15.9250,69.0750,0.0125
15.9750,69.0750,0.0125
16.4750,69.0750,0.0123
16.5250,69.0750,0.0123
16.5750,69.0750,0.0123
16.7750,69.0750,0.0120
16.8250,69.0750,0.0120
16.8750,69.0750,0.0120
16.9250,69.0750,0.0119
16.9750,69.0750,0.0119
17.0250,69.0750,0.0117
17.0750,69.0750,0.0117
17.1250,69.0750,0.0117
17.1750,69.0750,0.0117
17.2250,69.0750,0.0116
17.2750,69.0750,0.0117
17.3750,69.0750,0.0114
17.4250,69.0750,0.0112
17.4750,69.0750,0.0112
17.5250,69.0750,0.0112
17.5750,69.0750,0.0112
17.6250,69.0750,0.0109
17.6750,69.0750,0.0109
17.7250,69.0750,0.0108
17.7750,69.0750,0.0108
17.8250,69.0750,0.0107
17.8750,69.0750,0.0105
17.9250,69.0750,0.0105
17.9750,69.0750,0.0104
18.0250,69.0750,0.0102
18.0750,69.0750,0.0102
18.1250,69.0750,0.0100
18.1750,69.0750,0.0098
18.2250,69.0750,0.0098
18.2750,69.0750,0.0096
18.3250,69.0750,0.0095
18.3750,69.0750,0.0093
18.4250,69.0750,0.0091
18.4750,69.0750,0.0090
18.5250,69.0750,0.0087
18.5750,69.0750,0.0086
18.6250,69.0750,0.0085
18.6750,69.0750,0.0082
18.7250,69.0750,0.0082
18.7750,69.0750,0.0082
18.8250,69.0750,0.0077
18.8750,69.0750,0.0078
18.9250,69.0750,0.0078
18.9750,69.0750,0.0072
19.0250,69.0750,0.0073
19.0750,69.0750,0.0073
19.1250,69.0750,0.0068
19.1750,69.0750,0.0069
19.2250,69.0750,0.0069
19.2750,69.0750,0.0064
19.3250,69.0750,0.0064
19.3750,69.0750,0.0064
19.4250,69.0750,0.0061
19.4750,69.0750,0.0062
19.5250,69.0750,0.0062
19.5750,69.0750,0.0058
19.6250,69.0750,0.0059
