province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
Aargau,AG,74773.0,1.9,19.0,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Appenzell Innerrhoden,AI,65355.0,0.7,19.6,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Appenzell Ausserrhoden,AR,68678.0,1.0,21.4,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Bern,BE,78563.0,1.7,21.0,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Basel-Landschaft,BL,82149.0,1.9,22.1,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Basel-Stadt,BS,198696.0,3.2,21.2,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Fribourg,FR,66233.0,1.6,17.0,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Genève,GE,117981.0,3.7,17.6,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Glarus,GL,65600.0,1.7,20.5,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Graubünden,GR,80153.0,1.0,22.1,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Jura,JU,67420.0,2.7,22.3,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Luzern,LU,79100.0,1.6,18.7,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Neuchâtel,NE,90111.0,3.4,21.5,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Nidwalden,NW,93667.0,1.0,19.7,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Obwalden,OW,79541.0,1.0,19.6,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
St. Gallen,SG,73667.0,1.7,19.8,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Schaffhausen,SH,77841.0,1.7,21.7,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Solothurn,SO,71168.0,1.7,20.7,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Schwyz,SZ,90111.0,1.2,18.4,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Thurgau,TG,66868.0,1.8,19.7,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Ticino,TI,75692.0,2.4,24.0,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Uri,UR,68515.0,1.0,21.5,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Vaud,VD,84274.0,3.0,17.9,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Valais,VS,67231.0,2.2,20.8,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Zug,ZG,223436.0,1.6,17.2,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
Zürich,ZH,106779.0,2.6,18.3,6.0,0.5,P15-F-6 BFS Kantonale VGR 2022 + SECO 2024 + STATPOP 2023
