lon,lat,pga_g
5.5250,47.9750,0.0143
5.5750,47.9750,0.0153
5.6250,47.9750,0.0153
5.6750,47.9750,0.0166
5.7250,47.9750,0.0170
5.7750,47.9750,0.0177
5.8250,47.9750,0.0182
5.8750,47.9750,0.0195
5.9250,47.9750,0.0200
5.9750,47.9750,0.0215
6.0250,47.9750,0.0234
6.0750,47.9750,0.0234
6.1250,47.9750,0.0258
6.1750,47.9750,0.0258
6.2250,47.9750,0.0293
6.2750,47.9750,0.0311
6.3250,47.9750,0.0327
6.3750,47.9750,0.0353
6.4250,47.9750,0.0387
6.4750,47.9750,0.0387
6.5250,47.9750,0.0411
6.5750,47.9750,0.0439
6.6250,47.9750,0.0439
6.6750,47.9750,0.0473
6.7250,47.9750,0.0473
6.7750,47.9750,0.0510
6.8250,47.9750,0.0528
6.8750,47.9750,0.0546
6.9250,47.9750,0.0570
6.9750,47.9750,0.0627
7.0250,47.9750,0.0627
7.0750,47.9750,0.0683
7.1250,47.9750,0.0718
7.1750,47.9750,0.0743
7.2250,47.9750,0.0812
7.2750,47.9750,0.0812
7.3250,47.9750,0.0869
7.3750,47.9750,0.0889
7.4250,47.9750,0.0919
7.4750,47.9750,0.0928
7.5250,47.9750,0.0981
7.5750,47.9750,0.0981
7.6250,47.9750,0.1022
7.6750,47.9750,0.1026
7.7250,47.9750,0.1040
7.7750,47.9750,0.1022
7.8250,47.9750,0.1038
7.8750,47.9750,0.0989
7.9250,47.9750,0.0931
7.9750,47.9750,0.0931
8.0250,47.9750,0.0903
8.0750,47.9750,0.0862
8.1250,47.9750,0.0860
8.1750,47.9750,0.0808
8.2250,47.9750,0.0778
8.2750,47.9750,0.0750
8.3250,47.9750,0.0710
8.3750,47.9750,0.0705
8.4250,47.9750,0.0689
8.4750,47.9750,0.0671
8.5250,47.9750,0.0671
8.5750,47.9750,0.0664
8.6250,47.9750,0.0698
8.6750,47.9750,0.0667
8.7250,47.9750,0.0700
8.7750,47.9750,0.0705
8.8250,47.9750,0.0705
8.8750,47.9750,0.0712
8.9250,47.9750,0.0712
8.9750,47.9750,0.0720
9.0250,47.9750,0.0844
9.0750,47.9750,0.0736
9.1250,47.9750,0.0876
9.1750,47.9750,0.0865
9.2250,47.9750,0.0865
9.2750,47.9750,0.0820
9.3250,47.9750,0.0820
9.3750,47.9750,0.0761
9.4250,47.9750,0.0909
9.4750,47.9750,0.0703
9.5250,47.9750,0.0809
9.5750,47.9750,0.0685
9.6250,47.9750,0.0685
9.6750,47.9750,0.0548
9.7250,47.9750,0.0505
9.7750,47.9750,0.0480
9.8250,47.9750,0.0434
9.8750,47.9750,0.0419
9.9250,47.9750,0.0402
9.9750,47.9750,0.0366
10.0250,47.9750,0.0366
10.0750,47.9750,0.0330
10.1250,47.9750,0.0309
10.1750,47.9750,0.0309
10.2250,47.9750,0.0293
10.2750,47.9750,0.0282
10.3250,47.9750,0.0277
10.3750,47.9750,0.0262
10.4250,47.9750,0.0262
10.4750,47.9750,0.0250
5.5250,47.9250,0.0150
5.5750,47.9250,0.0150
5.6250,47.9250,0.0162
5.6750,47.9250,0.0174
5.7250,47.9250,0.0174
5.7750,47.9250,0.0185
5.8250,47.9250,0.0188
5.8750,47.9250,0.0200
5.9250,47.9250,0.0207
5.9750,47.9250,0.0226
6.0250,47.9250,0.0226
6.0750,47.9250,0.0245
6.1250,47.9250,0.0247
6.1750,47.9250,0.0277
6.2250,47.9250,0.0311
6.2750,47.9250,0.0311
6.3250,47.9250,0.0352
6.3750,47.9250,0.0371
6.4250,47.9250,0.0386
6.4750,47.9250,0.0400
6.5250,47.9250,0.0421
6.5750,47.9250,0.0421
6.6250,47.9250,0.0456
6.6750,47.9250,0.0457
6.7250,47.9250,0.0491
6.7750,47.9250,0.0515
6.8250,47.9250,0.0527
6.8750,47.9250,0.0552
6.9250,47.9250,0.0606
6.9750,47.9250,0.0614
7.0250,47.9250,0.0668
7.0750,47.9250,0.0721
7.1250,47.9250,0.0721
7.1750,47.9250,0.0787
7.2250,47.9250,0.0790
7.2750,47.9250,0.0846
7.3250,47.9250,0.0869
7.3750,47.9250,0.0895
7.4250,47.9250,0.0923
7.4750,47.9250,0.0994
7.5250,47.9250,0.0994
