province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
Adana,01,9689.0,12.5,10.7,22.0,0.5,P15-F-6 TÜİK Provincial GDP 2022 + HLFS 2024 + ADNKS 2024
Ankara,06,13884.0,9.4,11.1,22.0,0.5,P15-F-6 TÜİK Provincial GDP 2022 + HLFS 2024 + ADNKS 2024
Antalya,07,11150.0,8.6,12.4,22.0,0.5,P15-F-6 TÜİK Provincial GDP 2022 + HLFS 2024 + ADNKS 2024
Balıkesir,10,8606.0,8.5,17.2,22.0,0.5,P15-F-6 TÜİK Provincial GDP 2022 + HLFS 2024 + ADNKS 2024
Bursa,16,11583.0,8.3,11.5,22.0,0.5,P15-F-6 TÜİK Provincial GDP 2022 + HLFS 2024 + ADNKS 2024
Eskişehir,26,11150.0,8.2,12.7,22.0,0.5,P15-F-6 TÜİK Provincial GDP 2022 + HLFS 2024 + ADNKS 2024
Gaziantep,27,7361.0,13.4,6.2,22.0,0.5,P15-F-6 TÜİK Provincial GDP 2022 + HLFS 2024 + ADNKS 2024
Hatay,31,7226.0,13.2,9.7,22.0,0.5,P15-F-6 TÜİK Provincial GDP 2022 + HLFS 2024 + ADNKS 2024
Mersin,33,8796.0,12.3,12.0,22.0,0.5,P15-F-6 TÜİK Provincial GDP 2022 + HLFS 2024 + ADNKS 2024
İstanbul,34,17077.0,11.2,9.3,22.0,0.5,P15-F-6 TÜİK Provincial GDP 2022 + HLFS 2024 + ADNKS 2024
İzmir,35,13315.0,9.8,14.2,22.0,0.5,P15-F-6 TÜİK Provincial GDP 2022 + HLFS 2024 + ADNKS 2024
Kocaeli,41,19269.0,9.1,9.7,22.0,0.5,P15-F-6 TÜİK Provincial GDP 2022 + HLFS 2024 + ADNKS 2024
Konya,42,9256.0,8.5,11.5,22.0,0.5,P15-F-6 TÜİK Provincial GDP 2022 + HLFS 2024 + ADNKS 2024
Malatya,44,6495.0,11.4,11.0,22.0,0.5,P15-F-6 TÜİK Provincial GDP 2022 + HLFS 2024 + ADNKS 2024
Samsun,55,7930.0,9.5,14.3,22.0,0.5,P15-F-6 TÜİK Provincial GDP 2022 + HLFS 2024 + ADNKS 2024
Other 66 provinces (national-mean fallback),_national_mean,9175.0,9.6,10.8,22.0,0.5,P15-F-6 TÜİK national-mean fallback (66 remaining provinces)
