lon,lat,pga_g
26.0250,42.0750,0.1730
26.0750,42.0750,0.1694
26.1250,42.0750,0.1685
26.1750,42.0750,0.1660
26.2250,42.0750,0.1583
26.2750,42.0750,0.1617
26.3250,42.0750,0.1622
26.3750,42.0750,0.1556
26.4250,42.0750,0.1564
26.4750,42.0750,0.1564
26.5250,42.0750,0.1452
26.5750,42.0750,0.1340
26.6250,42.0750,0.1340
26.6750,42.0750,0.1222
26.7250,42.0750,0.1119
26.7750,42.0750,0.1100
26.8250,42.0750,0.1071
26.8750,42.0750,0.1004
26.9250,42.0750,0.0951
26.9750,42.0750,0.0951
27.0250,42.0750,0.0929
27.0750,42.0750,0.0898
27.1250,42.0750,0.0898
27.1750,42.0750,0.0882
27.2250,42.0750,0.0857
27.2750,42.0750,0.0858
27.3250,42.0750,0.0838
27.3750,42.0750,0.0826
27.4250,42.0750,0.0812
27.4750,42.0750,0.0803
27.5250,42.0750,0.0796
27.5750,42.0750,0.0780
27.6250,42.0750,0.0779
27.6750,42.0750,0.0779
27.7250,42.0750,0.0767
27.7750,42.0750,0.0785
27.8250,42.0750,0.0770
27.8750,42.0750,0.0789
27.9250,42.0750,0.0789
27.9750,42.0750,0.0823
28.0250,42.0750,0.0823
34.9250,42.0750,0.1104
34.9750,42.0750,0.1142
35.0250,42.0750,0.1150
35.0750,42.0750,0.1150
41.6750,42.0750,0.1631
41.7250,42.0750,0.1998
41.7750,42.0750,0.1998
41.8250,42.0750,0.1998
41.8750,42.0750,0.1950
41.9250,42.0750,0.2207
41.9750,42.0750,0.2064
42.0250,42.0750,0.2472
42.0750,42.0750,0.2473
42.1250,42.0750,0.2353
42.1750,42.0750,0.2693
42.2250,42.0750,0.2564
42.2750,42.0750,0.2564
42.3250,42.0750,0.2916
42.3750,42.0750,0.2684
42.4250,42.0750,0.2569
42.4750,42.0750,0.2413
42.5250,42.0750,0.2700
42.5750,42.0750,0.2466
42.6250,42.0750,0.2843
42.6750,42.0750,0.2844
42.7250,42.0750,0.2677
42.7750,42.0750,0.3085
42.8250,42.0750,0.2926
42.8750,42.0750,0.2926
42.9250,42.0750,0.3156
42.9750,42.0750,0.3005
43.0250,42.0750,0.2645
43.0750,42.0750,0.2728
43.1250,42.0750,0.2752
43.1750,42.0750,0.2418
43.2250,42.0750,0.2584
43.2750,42.0750,0.2560
43.3250,42.0750,0.2298
43.3750,42.0750,0.2562
43.4250,42.0750,0.2352
43.4750,42.0750,0.2363
43.5250,42.0750,0.2652
43.5750,42.0750,0.2408
43.6250,42.0750,0.2318
43.6750,42.0750,0.2405
43.7250,42.0750,0.2405
43.7750,42.0750,0.2349
43.8250,42.0750,0.2634
43.8750,42.0750,0.2699
43.9250,42.0750,0.2700
43.9750,42.0750,0.3205
44.0250,42.0750,0.3322
44.0750,42.0750,0.3679
44.1250,42.0750,0.3727
44.1750,42.0750,0.4050
44.2250,42.0750,0.4323
44.2750,42.0750,0.4713
44.3250,42.0750,0.4713
44.3750,42.0750,0.4691
44.4250,42.0750,0.5110
44.4750,42.0750,0.4456
44.5250,42.0750,0.4456
44.5750,42.0750,0.4446
44.6250,42.0750,0.3666
44.6750,42.0750,0.3641
44.7250,42.0750,0.3561
44.7750,42.0750,0.3371
26.0250,42.0250,0.1787
26.0750,42.0250,0.1753
26.1250,42.0250,0.1753
26.1750,42.0250,0.1711
26.2250,42.0250,0.1704
26.2750,42.0250,0.1704
26.3250,42.0250,0.1687
26.3750,42.0250,0.1700
26.4250,42.0250,0.1688
26.4750,42.0250,0.1663
26.5250,42.0250,0.1544
26.5750,42.0250,0.1428
