province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
North East England,UKC,27961.0,4.5,21.4,13.0,0.5,P15-F-2c UK ONS Regional Accounts 2022 + Nomis NM_17_1 (NUTS-1)
North West England,UKD,32881.0,4.5,19.5,13.0,0.5,P15-F-2c UK ONS Regional Accounts 2022 + Nomis NM_17_1 (NUTS-1)
Yorkshire and the Humber,UKE,33060.0,4.2,19.6,13.0,0.5,P15-F-2c UK ONS Regional Accounts 2022 + Nomis NM_17_1 (NUTS-1)
East Midlands,UKF,32249.0,4.1,20.6,13.0,0.5,P15-F-2c UK ONS Regional Accounts 2022 + Nomis NM_17_1 (NUTS-1)
West Midlands,UKG,33991.0,5.4,19.0,13.0,0.5,P15-F-2c UK ONS Regional Accounts 2022 + Nomis NM_17_1 (NUTS-1)
East of England,UKH,38540.0,3.4,19.7,13.0,0.5,P15-F-2c UK ONS Regional Accounts 2022 + Nomis NM_17_1 (NUTS-1)
London,UKI,78873.0,5.6,12.4,13.0,0.5,P15-F-2c UK ONS Regional Accounts 2022 + Nomis NM_17_1 (NUTS-1)
South East England,UKJ,42207.0,3.5,19.6,13.0,0.5,P15-F-2c UK ONS Regional Accounts 2022 + Nomis NM_17_1 (NUTS-1)
South West England,UKK,35336.0,3.0,22.7,13.0,0.5,P15-F-2c UK ONS Regional Accounts 2022 + Nomis NM_17_1 (NUTS-1)
Wales,UKL,30434.0,4.6,21.6,13.0,0.5,P15-F-2c UK ONS Regional Accounts 2022 + Nomis NM_17_1 (NUTS-1)
Scotland,UKM,36998.0,4.0,19.5,13.0,0.5,P15-F-2c UK ONS Regional Accounts 2022 + Nomis NM_17_1 (NUTS-1)
Northern Ireland,UKN,30394.0,2.4,17.0,13.0,0.5,P15-F-2c UK ONS Regional Accounts 2022 + Nomis NM_17_1 (NUTS-1)
