lon,lat,pga_g
-0.8750,60.8750,0.0000
-0.9750,60.8250,0.0000
-0.9250,60.8250,0.0000
-0.8750,60.8250,0.0000
-0.8250,60.8250,0.0000
-0.7750,60.8250,0.0000
-0.9750,60.7750,0.0000
-0.9250,60.7750,0.0000
-0.8750,60.7750,0.0000
-0.8250,60.7750,0.0000
-0.7750,60.7750,0.0000
-1.1250,60.7250,0.0000
-1.0750,60.7250,0.0000
-1.0250,60.7250,0.0000
-0.9750,60.7250,0.0000
-0.9250,60.7250,0.0000
-0.8750,60.7250,0.0000
-0.8250,60.7250,0.0000
-0.7750,60.7250,0.0000
-1.1750,60.6750,0.0000
-1.1250,60.6750,0.0000
-1.0750,60.6750,0.0000
-1.0250,60.6750,0.0000
-0.9750,60.6750,0.0000
-0.9250,60.6750,0.0000
-0.8750,60.6750,0.0000
-0.8250,60.6750,0.0000
-1.4250,60.6250,0.0000
-1.3750,60.6250,0.0000
-1.3250,60.6250,0.0000
-1.2750,60.6250,0.0000
-1.2250,60.6250,0.0000
-1.1750,60.6250,0.0000
-1.1250,60.6250,0.0000
-1.0750,60.6250,0.0000
-1.0250,60.6250,0.0000
-0.9750,60.6250,0.0000
-0.9250,60.6250,0.0000
-0.8750,60.6250,0.0000
-0.8250,60.6250,0.0000
-0.7750,60.6250,0.0000
-1.5750,60.5750,0.0000
-1.5250,60.5750,0.0000
-1.4750,60.5750,0.0000
-1.4250,60.5750,0.0000
-1.3750,60.5750,0.0000
-1.3250,60.5750,0.0000
-1.2250,60.5750,0.0000
-1.1750,60.5750,0.0000
-1.1250,60.5750,0.0000
-1.0750,60.5750,0.0000
-1.0250,60.5750,0.0000
-0.9250,60.5750,0.0000
-0.8750,60.5750,0.0000
-0.8250,60.5750,0.0000
-0.7750,60.5750,0.0000
-1.6250,60.5250,0.0000
-1.5750,60.5250,0.0000
-1.5250,60.5250,0.0000
-1.4750,60.5250,0.0000
-1.4250,60.5250,0.0000
-1.3750,60.5250,0.0000
-1.3250,60.5250,0.0000
-1.2750,60.5250,0.0000
-1.2250,60.5250,0.0000
-1.1750,60.5250,0.0000
-1.1250,60.5250,0.0000
-1.0750,60.5250,0.0000
-1.0250,60.5250,0.0000
-1.6250,60.4750,0.0000
-1.5750,60.4750,0.0000
-1.5250,60.4750,0.0000
-1.4750,60.4750,0.0000
-1.4250,60.4750,0.0000
-1.3750,60.4750,0.0000
-1.3250,60.4750,0.0000
-1.2750,60.4750,0.0000
-1.2250,60.4750,0.0000
-1.1750,60.4750,0.0000
-1.1250,60.4750,0.0000
-1.0750,60.4750,0.0000
-1.0250,60.4750,0.0000
-1.4750,60.4250,0.0000
-1.4250,60.4250,0.0000
-1.3750,60.4250,0.0000
-1.3250,60.4250,0.0000
-1.2750,60.4250,0.0000
-1.2250,60.4250,0.0000
-1.1750,60.4250,0.0000
-1.1250,60.4250,0.0000
-1.0750,60.4250,0.0000
-1.0250,60.4250,0.0000
-0.7750,60.4250,0.0000
-0.7250,60.4250,0.0000
-1.7250,60.3750,0.0000
-1.4750,60.3750,0.0000
-1.4250,60.3750,0.0000
-1.3750,60.3750,0.0000
-1.3250,60.3750,0.0000
-1.2750,60.3750,0.0000
-1.2250,60.3750,0.0000
-1.1750,60.3750,0.0000
-1.1250,60.3750,0.0000
-1.0750,60.3750,0.0000
-1.0250,60.3750,0.0000
-0.9750,60.3750,0.0000
-0.9250,60.3750,0.0000
-1.7250,60.3250,0.0000
-1.6750,60.3250,0.0000
-1.6250,60.3250,0.0000
-1.5750,60.3250,0.0000
-1.5250,60.3250,0.0000
-1.4750,60.3250,0.0000
-1.4250,60.3250,0.0000
-1.3750,60.3250,0.0000
-1.3250,60.3250,0.0000
-1.2750,60.3250,0.0000
-1.2250,60.3250,0.0000
-1.1750,60.3250,0.0000
-1.1250,60.3250,0.0000
-1.0750,60.3250,0.0000
-1.0250,60.3250,0.0000
-0.9750,60.3250,0.0000
-1.7250,60.2750,0.0000
-1.6750,60.2750,0.0000
-1.6250,60.2750,0.0000
-1.5750,60.2750,0.0000
-1.5250,60.2750,0.0000
-1.4750,60.2750,0.0000
-1.4250,60.2750,0.0000
-1.3750,60.2750,0.0000
-1.3250,60.2750,0.0000
-1.2750,60.2750,0.0000
-1.2250,60.2750,0.0000
-1.1750,60.2750,0.0000
-1.1250,60.2750,0.0000
-1.0750,60.2750,0.0000
-1.6750,60.2251,0.0000
-1.6250,60.2251,0.0000
-1.5750,60.2251,0.0000
-1.5250,60.2251,0.0000
-1.4750,60.2251,0.0000
-1.4250,60.2251,0.0000
-1.3750,60.2251,0.0000
-1.3250,60.2251,0.0000
-1.2750,60.2251,0.0000
-1.2250,60.2251,0.0000
-1.1750,60.2251,0.0000
-1.1250,60.2251,0.0000
-2.1250,60.1751,0.0000
-2.0750,60.1751,0.0000
-2.0250,60.1751,0.0000
-1.5250,60.1751,0.0000
-1.4750,60.1751,0.0000
-1.4250,60.1751,0.0000
-1.3750,60.1751,0.0000
-1.3250,60.1751,0.0000
-1.2750,60.1751,0.0000
