province,region,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
Alabama,AL,59609.0,5.12,17.32,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Alaska,AK,86370.0,6.01,12.81,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Arizona,AZ,72581.0,5.33,18.09,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Arkansas,AR,56335.0,5.13,17.21,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
California,CA,91905.0,6.36,14.9,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Colorado,CO,87598.0,4.48,14.82,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Connecticut,CT,90213.0,5.88,17.42,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Delaware,DE,79325.0,5.4,19.63,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
District of Columbia,DC,101722.0,7.05,12.59,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Florida,FL,67917.0,5.0,20.9,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Georgia,GA,71355.0,5.19,14.37,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Hawaii,HI,94814.0,4.72,19.28,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Idaho,ID,70214.0,3.74,16.32,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Illinois,IL,78433.0,5.94,16.23,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Indiana,IN,67173.0,4.49,16.17,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Iowa,IA,70571.0,3.82,17.57,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Kansas,KS,69747.0,3.95,16.31,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Kentucky,KY,60183.0,5.05,16.8,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Louisiana,LA,57852.0,6.52,16.02,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Maine,ME,68251.0,4.03,21.47,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Maryland,MD,98461.0,5.07,16.0,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Massachusetts,MA,96505.0,5.31,17.12,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Michigan,MI,68505.0,6.02,17.77,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Minnesota,MN,84313.0,3.96,16.49,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Mississippi,MS,52985.0,6.36,16.48,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Missouri,MO,65920.0,4.27,17.26,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Montana,MT,66341.0,3.87,19.37,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Nebraska,NE,71722.0,3.05,16.17,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
Nevada,NV,71646.0,6.96,16.21,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
New Hampshire,NH,90845.0,3.56,18.97,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
New Jersey,NJ,97126.0,6.23,16.57,10.0,0.5,P15-F-2b US Census ACS 5-year 2022 (state)
